instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,374,44,0,559793182,559793182,1,17726416,12606203,"[12604938, 12605002, 12605066, 12605130, 12605194, 12605258, 12605322, 12605386, 12605450, 12605514, 12605578, 12605610, 12605674, 12605738, 12605802, 12605866, 12605930, 12605994, 12606026, 12606090, 12606154, 12606218, 12606282, 12606346, 12606378, 12606442, 12606506, 12606570, 12606634, 12606666, 12606730, 12606794, 12606858, 12606922, 12606954, 12607018, 12607082, 12607146, 12607178, 12607242, 12607306, 12607370, 12607402]"
0,3,meta-llama/Llama-3.1-8B,91,16,2355213500,2563078079,207864579,3748668,17627895,12682445,"[12681588, 12681716, 12681812, 12681940, 12682068, 12682196, 12682324, 12682452, 12682580, 12682708, 12682804, 12682932, 12683060, 12683188, 12683316]"
0,2,meta-llama/Llama-3.1-8B,879,55,2270938500,2996239461,725300961,7537918,37216224,12742309,"[12701693, 12701789, 12701917, 12702045, 13879227, 12681588, 12681716, 12681812, 12681940, 12682068, 12682196, 12682324, 12682452, 12682580, 12682708, 12682804, 12682932, 12683060, 12683188, 12683316, 12704061, 12704189, 12704285, 12704413, 12704509, 12704637, 12704765, 12704893, 12704989, 12705085, 12705213, 12705341, 12705437, 12705565, 12705693, 12705789, 12705885, 12706013, 12706141, 12706269, 12706365, 12706493, 12706589, 12706717, 12706813, 12706909, 12707069, 12707165, 12707261, 12707389, 12707485, 13909243, 12686292, 12686420]"
0,4,meta-llama/Llama-3.1-8B,91,16,2946327500,3160899998,214572498,10630006,24539249,12668883,"[12686292, 12686420, 12665821, 12665917, 12665949, 12666013, 12666077, 12666141, 12666205, 12666269, 12666333, 12666365, 12666429, 12666493, 12666525]"
0,1,meta-llama/Llama-3.1-8B,396,109,2157289500,3571587648,1414298148,503682,20335094,12907065,"[12606282, 12606346, 12606378, 12606442, 12606506, 12606570, 12606634, 12606666, 29678306, 12701693, 12701789, 12701917, 12702045, 13879227, 12681588, 12681716, 12681812, 12681940, 12682068, 12682196, 12682324, 12682452, 12682580, 12682708, 12682804, 12682932, 12683060, 12683188, 12683316, 12704061, 12704189, 12704285, 12704413, 12704509, 12704637, 12704765, 12704893, 12704989, 12705085, 12705213, 12705341, 12705437, 12705565, 12705693, 12705789, 12705885, 12706013, 12706141, 12706269, 12706365, 12706493, 12706589, 12706717, 12706813, 12706909, 12707069, 12707165, 12707261, 12707389, 12707485, 13909243, 12686292, 12686420, 12665821, 12665917, 12665949, 12666013, 12666077, 12666141, 12666205, 12666269, 12666333, 12666365, 12666429, 12666493, 12666525, 17885503, 12670333, 12670397, 12670429, 12670493, 12670525, 12670589, 12670621, 12670685, 12670717, 12670781, 12670813, 12670845, 12670909, 12670941, 12671005, 12671037, 12671101, 12671133, 12671197, 12671229, 12671261, 12671325, 12671357, 12671389, 12671453, 12671485, 12671517, 12671581, 12671613, 12671677, 12671709]"
0,5,meta-llama/Llama-3.1-8B,381,84,3155764500,4270065018,1114300518,5135498,23021001,13147945,"[12670333, 12670397, 12670429, 12670493, 12670525, 12670589, 12670621, 12670685, 12670717, 12670781, 12670813, 12670845, 12670909, 12670941, 12671005, 12671037, 12671101, 12671133, 12671197, 12671229, 12671261, 12671325, 12671357, 12671389, 12671453, 12671485, 12671517, 12671581, 12671613, 12671677, 12671709, 12607178, 12607242, 12607306, 12607370, 12607402, 12607466, 12607530, 12607594, 12607626, 12607690, 12607754, 12607786, 12607850, 12607914, 12607978, 12608010, 12608074, 12608138, 12608170, 12608234, 12608298, 12608330, 12608394, 12608458, 40014305, 12727869, 12728029, 12728157, 12728317, 12728445, 12728573, 12728733, 12728861, 12729021, 12729149, 12729309, 12729437, 12729565, 12729725, 12729853, 12730013, 12730141, 19215736, 12714356, 12714452, 15718106, 12715027, 12715219, 12715379, 12715603, 15516345, 12741853]"
0,8,meta-llama/Llama-3.1-8B,242,14,4168539499,4359009183,190469684,6687987,22406093,12927968,"[12715027, 12715219, 12715379, 12715603, 15516345, 12741853, 12705651, 12705907, 12706099, 12706323, 12706515, 12706707, 12706963]"
0,7,meta-llama/Llama-3.1-8B,388,84,4125715500,5313385829,1187670329,4867442,24083178,14019122,"[12714356, 12714452, 15718106, 12715027, 12715219, 12715379, 12715603, 15516345, 12741853, 12705651, 12705907, 12706099, 12706323, 12706515, 12706707, 12706963, 20262365, 12713139, 12713363, 12713555, 12713747, 12713939, 12714163, 12714323, 12714515, 12714707, 12714931, 12715123, 12715315, 12715507, 12715699, 12715891, 12716083, 12716307, 12716467, 12716659, 12716851, 12717075, 12717235, 12717427, 12717619, 12717811, 12718003, 12718195, 20426040, 12754813, 12755069, 12755357, 12755645, 40403855, 12818578, 12818866, 12819154, 12819442, 12819730, 12820018, 12820338, 12820626, 12820914, 12821202, 12821490, 12821778, 12822066, 12822354, 12822642, 12822930, 12823218, 12823506, 55776002, 16359583, 12947175, 12947527, 12947879, 12948231, 12948583, 12948935, 12949287, 12949639, 12949959, 12950311, 12950663, 20606208, 12981019]"
0,13,meta-llama/Llama-3.1-8B,2221,15,5053189500,5326333420,273143920,67811330,84170913,13498071,"[12947175, 12947527, 12947879, 12948231, 12948583, 12948935, 12949287, 12949639, 12949959, 12950311, 12950663, 20606208, 12981019, 12947591]"
0,11,meta-llama/Llama-3.1-8B,394,59,4713734000,5570051170,856317170,8861197,29287237,14259136,"[12754813, 12755069, 12755357, 12755645, 40403855, 12818578, 12818866, 12819154, 12819442, 12819730, 12820018, 12820338, 12820626, 12820914, 12821202, 12821490, 12821778, 12822066, 12822354, 12822642, 12822930, 12823218, 12823506, 55776002, 16359583, 12947175, 12947527, 12947879, 12948231, 12948583, 12948935, 12949287, 12949639, 12949959, 12950311, 12950663, 20606208, 12981019, 12947591, 12824690, 12825010, 12825298, 12825586, 12825842, 12826130, 12826418, 12826706, 12826994, 12827250, 12827538, 12827826, 12828082, 12828370, 12828658, 12828914, 12829202, 12829490, 12829746]"
0,6,meta-llama/Llama-3.1-8B,1313,128,3872748500,5655242995,1782494495,1426940,41441245,13709080,"[12727869, 12728029, 12728157, 12728317, 12728445, 12728573, 12728733, 12728861, 12729021, 12729149, 12729309, 12729437, 12729565, 12729725, 12729853, 12730013, 12730141, 19215736, 12714356, 12714452, 15718106, 12715027, 12715219, 12715379, 12715603, 15516345, 12741853, 12705651, 12705907, 12706099, 12706323, 12706515, 12706707, 12706963, 20262365, 12713139, 12713363, 12713555, 12713747, 12713939, 12714163, 12714323, 12714515, 12714707, 12714931, 12715123, 12715315, 12715507, 12715699, 12715891, 12716083, 12716307, 12716467, 12716659, 12716851, 12717075, 12717235, 12717427, 12717619, 12717811, 12718003, 12718195, 20426040, 12754813, 12755069, 12755357, 12755645, 40403855, 12818578, 12818866, 12819154, 12819442, 12819730, 12820018, 12820338, 12820626, 12820914, 12821202, 12821490, 12821778, 12822066, 12822354, 12822642, 12822930, 12823218, 12823506, 55776002, 16359583, 12947175, 12947527, 12947879, 12948231, 12948583, 12948935, 12949287, 12949639, 12949959, 12950311, 12950663, 20606208, 12981019, 12947591, 12824690, 12825010, 12825298, 12825586, 12825842, 12826130, 12826418, 12826706, 12826994, 12827250, 12827538, 12827826, 12828082, 12828370, 12828658, 12828914, 12829202, 12829490, 12829746, 12806461, 21068972, 12828690, 12828946, 12829234, 12829522]"
0,16,meta-llama/Llama-3.1-8B,120,12,5715452000,5873628476,158176476,3604292,17788182,12762572,"[12760626, 12761010, 12761426, 12761810, 12762194, 12762578, 12762962, 12763346, 12763730, 12764114, 12764498]"
0,9,meta-llama/Llama-3.1-8B,209,128,4232492500,5993915241,1761422741,9314320,24830665,13673953,"[12741853, 12705651, 12705907, 12706099, 12706323, 12706515, 12706707, 12706963, 20262365, 12713139, 12713363, 12713555, 12713747, 12713939, 12714163, 12714323, 12714515, 12714707, 12714931, 12715123, 12715315, 12715507, 12715699, 12715891, 12716083, 12716307, 12716467, 12716659, 12716851, 12717075, 12717235, 12717427, 12717619, 12717811, 12718003, 12718195, 20426040, 12754813, 12755069, 12755357, 12755645, 40403855, 12818578, 12818866, 12819154, 12819442, 12819730, 12820018, 12820338, 12820626, 12820914, 12821202, 12821490, 12821778, 12822066, 12822354, 12822642, 12822930, 12823218, 12823506, 55776002, 16359583, 12947175, 12947527, 12947879, 12948231, 12948583, 12948935, 12949287, 12949639, 12949959, 12950311, 12950663, 20606208, 12981019, 12947591, 12824690, 12825010, 12825298, 12825586, 12825842, 12826130, 12826418, 12826706, 12826994, 12827250, 12827538, 12827826, 12828082, 12828370, 12828658, 12828914, 12829202, 12829490, 12829746, 12806461, 21068972, 12828690, 12828946, 12829234, 12829522, 12762109, 12762397, 12762653, 12762941, 12763197, 14183890, 12760626, 12761010, 12761426, 12761810, 12762194, 12762578, 12762962, 12763346, 12763730, 12764114, 12764498, 12766685, 12766973, 12767229, 12767485, 18093425, 12780722, 12781074, 12781426, 12781746]"
0,10,meta-llama/Llama-3.1-8B,394,124,4350106500,6057771866,1707665366,8902683,29165048,13646344,"[12713139, 12713363, 12713555, 12713747, 12713939, 12714163, 12714323, 12714515, 12714707, 12714931, 12715123, 12715315, 12715507, 12715699, 12715891, 12716083, 12716307, 12716467, 12716659, 12716851, 12717075, 12717235, 12717427, 12717619, 12717811, 12718003, 12718195, 20426040, 12754813, 12755069, 12755357, 12755645, 40403855, 12818578, 12818866, 12819154, 12819442, 12819730, 12820018, 12820338, 12820626, 12820914, 12821202, 12821490, 12821778, 12822066, 12822354, 12822642, 12822930, 12823218, 12823506, 55776002, 16359583, 12947175, 12947527, 12947879, 12948231, 12948583, 12948935, 12949287, 12949639, 12949959, 12950311, 12950663, 20606208, 12981019, 12947591, 12824690, 12825010, 12825298, 12825586, 12825842, 12826130, 12826418, 12826706, 12826994, 12827250, 12827538, 12827826, 12828082, 12828370, 12828658, 12828914, 12829202, 12829490, 12829746, 12806461, 21068972, 12828690, 12828946, 12829234, 12829522, 12762109, 12762397, 12762653, 12762941, 12763197, 14183890, 12760626, 12761010, 12761426, 12761810, 12762194, 12762578, 12762962, 12763346, 12763730, 12764114, 12764498, 12766685, 12766973, 12767229, 12767485, 18093425, 12780722, 12781074, 12781426, 12781746, 12770813, 12771069, 12771325, 12771581, 12771837]"
