instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
1,0,meta-llama/Llama-3.1-8B,4808,10,0,212448559,212448559,97921757,152846891,6622407,"[6611338, 6611338, 6611434, 6611498, 6611562, 6611658, 6611722, 6611786, 6709332]"
1,1,meta-llama/Llama-3.1-8B,3180,8,26000000,251623997,225623997,126846891,176557445,7009507,"[9891114, 6528925, 6529085, 6529181, 6529309, 6529405, 6529533]"
1,2,meta-llama/Llama-3.1-8B,110,27,49094500,370252507,321158007,103752391,153462945,6449810,"[9891114, 6528925, 6529085, 6529181, 6529309, 6529405, 6529533, 6234218, 6235498, 6236746, 6237994, 6239210, 6240426, 6241642, 6242826, 6244042, 6245226, 6246378, 6247562, 6247690, 6247818, 6247978, 6248106, 6248234, 6248394, 6248522]"
1,4,meta-llama/Llama-3.1-8B,34,12,222497000,489012806,266515806,133553095,192785058,6702795,"[6701908, 6702036, 6702228, 6702420, 6702612, 6702804, 6702964, 6703156, 6703348, 6703540, 6703732]"
1,3,meta-llama/Llama-3.1-8B,7433,14,70342000,502519168,432177168,285708095,344940058,6710546,"[6701908, 6702036, 6702228, 6702420, 6702612, 6702804, 6702964, 6703156, 6703348, 6703540, 6703732, 6753085, 6753277]"
1,5,meta-llama/Llama-3.1-8B,374,14,269593500,502519168,232925668,86456595,145688558,6710546,"[6701908, 6702036, 6702228, 6702420, 6702612, 6702804, 6702964, 6703156, 6703348, 6703540, 6703732, 6753085, 6753277]"
1,6,meta-llama/Llama-3.1-8B,6985,9,349285500,643192259,293906759,221792088,240257887,6706109,"[6705693, 6705821, 6705917, 6706045, 6706173, 6706269, 6706397, 6706557]"
1,8,meta-llama/Llama-3.1-8B,1145,7,649656000,724247647,74591647,41238,32539453,7008699,"[10343040, 6342228, 6342324, 6342420, 6341011, 6341171]"
1,7,meta-llama/Llama-3.1-8B,34,23,508020500,730534515,222514015,63057088,81522887,6408687,"[6705693, 6705821, 6705917, 6706045, 6706173, 6706269, 6706397, 6706557, 6143178, 6143274, 6143370, 6143434, 6143530, 6143626, 6143690, 6342132, 6342228, 6342324, 6342420, 6341011, 6341171, 6286868]"
1,10,meta-llama/Llama-3.1-8B,137,9,699461000,762120164,62659164,5182,7830692,6853559,"[10614784, 6341171, 6286868, 6316925, 6317021, 6317149, 6317245, 6317309]"
1,9,meta-llama/Llama-3.1-8B,201,24,649668500,830949970,181281470,28738,32526953,6467587,"[10343040, 6342228, 6342324, 6342420, 6341011, 6341171, 6286868, 6316925, 6317021, 6317149, 6317245, 6317309, 6256842, 6256906, 6257002, 6257098, 6257162, 6257258, 6257354, 6257418, 6257514, 6257578, 6257674]"
1,11,meta-llama/Llama-3.1-8B,7427,8,699543500,946182554,246639054,160601418,198738504,6842935,"[6842666, 6842762, 6842858, 6842922, 6843018, 6843114, 6843210]"
1,12,meta-llama/Llama-3.1-8B,1555,19,14739534500,14892152560,152618060,648054,38522648,6338634,"[6338154, 6338218, 6338282, 6338346, 6338378, 6338442, 6338506, 6338538, 6338602, 6338666, 6338730, 6338762, 6338826, 6338890, 6338922, 6338986, 6339050, 6339114]"
1,16,meta-llama/Llama-3.1-8B,675,6,14858744000,14990910257,132166257,76685577,93798764,7673498,"[11768377, 6649491, 6649683, 6649875, 6650067]"
1,14,meta-llama/Llama-3.1-8B,1827,10,14805162500,14997515589,192353089,82956715,130267077,6898445,"[9023745, 6604180, 6604340, 6649299, 6649491, 6649683, 6649875, 6650067, 6605332]"
1,13,meta-llama/Llama-3.1-8B,3893,19,14790203500,15010720831,220517331,46873909,97915715,6811200,"[10561067, 6527850, 6527978, 6528106, 6528234, 6528362, 6528490, 6604020, 6604180, 6604340, 6649299, 6649491, 6649683, 6649875, 6650067, 6605332, 6602557, 6602685]"
