instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
1,0,meta-llama/Llama-3.1-8B,4808,10,0,212450467,212450467,97923029,152848799,6622407,"[6611338, 6611338, 6611434, 6611498, 6611562, 6611658, 6611722, 6611786, 6709332]"
1,1,meta-llama/Llama-3.1-8B,3180,8,26000000,251625905,225625905,126848799,176559989,7009416,"[9890478, 6528925, 6529085, 6529181, 6529309, 6529405, 6529533]"
1,2,meta-llama/Llama-3.1-8B,110,27,49094500,370254415,321159915,103754299,153465489,6449785,"[9890478, 6528925, 6529085, 6529181, 6529309, 6529405, 6529533, 6234218, 6235498, 6236746, 6237994, 6239210, 6240426, 6241642, 6242826, 6244042, 6245226, 6246378, 6247562, 6247690, 6247818, 6247978, 6248106, 6248234, 6248394, 6248522]"
1,4,meta-llama/Llama-3.1-8B,34,12,222497000,489017894,266520894,133557547,192790146,6702795,"[6701908, 6702036, 6702228, 6702420, 6702612, 6702804, 6702964, 6703156, 6703348, 6703540, 6703732]"
1,3,meta-llama/Llama-3.1-8B,7433,14,70342000,502524256,432182256,285712547,344945146,6710546,"[6701908, 6702036, 6702228, 6702420, 6702612, 6702804, 6702964, 6703156, 6703348, 6703540, 6703732, 6753085, 6753277]"
1,5,meta-llama/Llama-3.1-8B,374,14,269593500,502524256,232930756,86461047,145693646,6710546,"[6701908, 6702036, 6702228, 6702420, 6702612, 6702804, 6702964, 6703156, 6703348, 6703540, 6703732, 6753085, 6753277]"
1,6,meta-llama/Llama-3.1-8B,6985,9,349285500,643199784,293914284,221799084,240265412,6706109,"[6705693, 6705821, 6705917, 6706045, 6706173, 6706269, 6706397, 6706557]"
1,8,meta-llama/Llama-3.1-8B,1145,7,649656000,718132900,68476900,1915,27299398,6862917,"[9467355, 6342132, 6342228, 6342324, 6342420, 6341043]"
1,7,meta-llama/Llama-3.1-8B,34,23,508020500,730706476,222685976,63064084,81530412,6416162,"[6705693, 6705821, 6705917, 6706045, 6706173, 6706269, 6706397, 6706557, 6143178, 6143274, 6143370, 6143434, 6143530, 6143626, 6362557, 6342132, 6342228, 6342324, 6342420, 6341043, 6286708, 6286868]"
1,10,meta-llama/Llama-3.1-8B,137,9,699461000,762292125,62831125,20894,7846913,6873026,"[10824987, 6286708, 6286868, 6316925, 6317021, 6317149, 6317245, 6317309]"
1,9,meta-llama/Llama-3.1-8B,201,24,649668500,831121931,181453431,27286898,35835182,6331228,"[7261203, 6342228, 6342324, 6342420, 6341043, 6286708, 6286868, 6316925, 6317021, 6317149, 6317245, 6317309, 6256842, 6256906, 6257002, 6257098, 6257162, 6257258, 6257354, 6257418, 6257514, 6257578, 6257674]"
1,11,meta-llama/Llama-3.1-8B,7427,8,699543500,946201268,246657768,160619547,198757218,6842935,"[6842666, 6842762, 6842858, 6842922, 6843018, 6843114, 6843210]"
1,12,meta-llama/Llama-3.1-8B,1555,19,14739534500,14892171877,152637377,666768,38541965,6338634,"[6338154, 6338218, 6338282, 6338346, 6338378, 6338442, 6338506, 6338538, 6338602, 6338666, 6338730, 6338762, 6338826, 6338890, 6338922, 6338986, 6339050, 6339114]"
1,16,meta-llama/Llama-3.1-8B,675,6,14858744000,14990929574,132185574,76690455,93804185,7676277,"[11782273, 6649491, 6649683, 6649875, 6650067]"
1,14,meta-llama/Llama-3.1-8B,1827,10,14805162500,14997534906,192372406,82960957,130271955,6900050,"[9038184, 6604180, 6604340, 6649299, 6649491, 6649683, 6649875, 6650067, 6605332]"
1,13,meta-llama/Llama-3.1-8B,3893,19,14790203500,15010740148,220536648,46877515,97919957,6812038,"[10576142, 6527850, 6527978, 6528106, 6528234, 6528362, 6528490, 6604020, 6604180, 6604340, 6649299, 6649491, 6649683, 6649875, 6650067, 6605332, 6602557, 6602685]"
1,15,meta-llama/Llama-3.1-8B,394,17,14839576500,15042094694,202518194,48546957,95857955,6666264,"[9038184, 6604180, 6604340, 6649299, 6649491, 6649683, 6649875, 6650067, 6605332, 6602557, 6602685, 6270794, 6270858, 6270922, 6270954, 6271018]"
1,17,meta-llama/Llama-3.1-8B,7436,9,15088934500,15354894562,265960062,153015328,212052694,6738421,"[6738109, 6738141, 6738237, 6738365, 6738461, 6738589, 6738685, 6738781]"
1,18,meta-llama/Llama-3.1-8B,158,26,15112865500,15461197900,348332400,129084328,188121694,6408428,"[6738109, 6738141, 6738237, 6738365, 6738461, 6738589, 6738685, 6738781, 6252298, 6252394, 6252490, 6252618, 6252714, 6252842, 6252938, 6253034, 6253130, 6253258, 6253354, 6253450, 6253546, 6253674, 6253770, 6253866, 6253962]"
1,20,meta-llama/Llama-3.1-8B,763,8,15251729500,15521801067,270071567,206006876,222424674,6806699,"[7294111, 6725181, 6725309, 6725405, 6725533, 6725629, 6725725]"
1,19,meta-llama/Llama-3.1-8B,6587,18,15241363000,15576046029,334683029,160121846,216373376,6959391,"[10224126, 6762698, 6725085, 6725181, 6725309, 6725405, 6725533, 6725629, 6725725, 6763530, 6763626, 6785821, 6786013, 6786205, 6786397, 6786589, 6786781]"
1,21,meta-llama/Llama-3.1-8B,1556,18,15491827500,15645773115,153945615,69088,37951641,6823174,"[12334903, 6786013, 6786205, 6786397, 6786589, 6786781, 6338538, 6338602, 6338666, 6338730, 6338762, 6338826, 6338890, 6338922, 6338986, 6339050, 6339114]"
1,22,meta-llama/Llama-3.1-8B,5108,12,15642708000,15857997960,215289960,97952046,142902956,6580636,"[6579764, 6579924, 6580116, 6580276, 6580468, 6580628, 6580820, 6580980, 6581172, 6581332, 6581524]"
1,25,meta-llama/Llama-3.1-8B,2464,30,15820011000,16072227734,252216734,46880917,62090919,6556062,"[7678193, 6456084, 6456180, 6456276, 6456372, 6456500, 6456596, 6456692, 6456820, 6456916, 6457012, 6457140, 6457236, 6457332, 6457428, 6457556, 6457652, 6457748, 6457844, 6621235, 6621459, 6621683, 6621907, 6622131, 6622323, 6622547, 6622771, 6622995, 6623187]"
1,24,meta-llama/Llama-3.1-8B,458,67,15727508500,16216889486,489380986,13151546,58102456,6534523,"[6579764, 6579924, 6580116, 6580276, 6580468, 6580628, 6580820, 6580980, 6581172, 6581332, 6581524, 6331453, 6331517, 6331581, 6331645, 6455956, 6456084, 6456180, 6456276, 6456372, 6456500, 6456596, 6456692, 6456820, 6456916, 6457012, 6457140, 6457236, 6457332, 6457428, 6457556, 6457652, 6457748, 6457844, 6621235, 6621459, 6621683, 6621907, 6622131, 6622323, 6622547, 6622771, 6622995, 6623187, 6573684, 6573876, 6574036, 6574196, 6574388, 6574580, 6574740, 6574932, 6575092, 6575252, 6575444, 6575636, 6575796, 6575988, 6576148, 6576308, 6576500, 6576692, 6576852, 6577012, 6577204, 6577396]"
1,26,meta-llama/Llama-3.1-8B,4009,51,15903561000,16335866584,432305584,46911523,97329197,6699527,"[11736534, 6621459, 6621683, 6621907, 6622131, 6622323, 6622547, 6622771, 6622995, 6623187, 6573684, 6573876, 6574036, 6574196, 6574388, 6574580, 6574740, 6574932, 6575092, 6575252, 6575444, 6575636, 6575796, 6575988, 6576148, 6576308, 6576500, 6576692, 6576852, 6577012, 6577204, 6577396, 6608573, 6608733, 6608893, 6609021, 6609181, 6609309, 6609469, 6609629, 6609757, 6609917, 6610045, 6610205, 6610365, 6610493, 6610653, 6610813, 6610941, 6611101]"
1,27,meta-llama/Llama-3.1-8B,1632,9,16313690999,16405932798,92241799,16231,38363855,6734743,"[9000237, 6410717, 6410845, 6410973, 6411101, 6411229, 6411357, 6411485]"
1,23,meta-llama/Llama-3.1-8B,159,127,15727343500,16606435004,879091504,13316546,58267456,6514476,"[6579764, 6579924, 6580116, 6580276, 6580468, 6580628, 6580820, 6580980, 6581172, 6581332, 6581524, 6331453, 6331517, 6331581, 6331645, 6455956, 6456084, 6456180, 6456276, 6456372, 6456500, 6456596, 6456692, 6456820, 6456916, 6457012, 6457140, 6457236, 6457332, 6457428, 6457556, 6457652, 6457748, 6457844, 6621235, 6621459, 6621683, 6621907, 6622131, 6622323, 6622547, 6622771, 6622995, 6623187, 6573684, 6573876, 6574036, 6574196, 6574388, 6574580, 6574740, 6574932, 6575092, 6575252, 6575444, 6575636, 6575796, 6575988, 6576148, 6576308, 6576500, 6576692, 6576852, 6577012, 6577204, 6577396, 6608573, 6608733, 6608893, 6609021, 6609181, 6609309, 6609469, 6609629, 6609757, 6609917, 6610045, 6610205, 6610365, 6610493, 6610653, 6610813, 6610941, 6611101, 6259242, 6259306, 6259370, 6410589, 6410717, 6410845, 6410973, 6411101, 6411229, 6411357, 6411485, 6260042, 6260106, 6482237, 6482397, 6482493, 6482621, 6482749, 6482877, 6483005, 6483101, 6483261, 6483357, 6483485, 6483613, 6483741, 6483869, 6483965, 6484093, 6484253, 6484349, 6484477, 6484605, 6484733, 6484861, 6477076, 6477268, 6477492, 6477684, 6477908, 6478132, 6478356]"
1,28,meta-llama/Llama-3.1-8B,2567,45,16353980499,16704020431,350039932,46922505,63257599,6517780,"[7697085, 6482397, 6482493, 6482621, 6482749, 6482877, 6483005, 6483101, 6483261, 6483357, 6483485, 6483613, 6483741, 6483869, 6483965, 6484093, 6484253, 6484349, 6484477, 6484605, 6484733, 6484861, 6477076, 6477268, 6477492, 6477684, 6477908, 6478132, 6478356, 6504797, 6504957, 6505053, 6505213, 6505309, 6505437, 6505565, 6505693, 6505821, 6505949, 6506077, 6506205, 6506333, 6506461, 6506557]"
1,29,meta-llama/Llama-3.1-8B,730,36,16539997499,16785714737,245717238,69857,19287778,6469413,"[8282887, 6477268, 6477492, 6477684, 6477908, 6478132, 6478356, 6504797, 6504957, 6505053, 6505213, 6505309, 6505437, 6505565, 6505693, 6505821, 6505949, 6506077, 6506205, 6506333, 6506461, 6506557, 6284010, 6284042, 6284074, 6284106, 6284138, 6284138, 6284170, 6284202, 6284234, 6284266, 6284298, 6284298, 6284330]"
