req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit
,BFF,0,2,268435456,1,3100000,3099999,100000,
,BFF,0,2,268435456,49974174,51100000,1125826,100000,
,BFF,0,2,93323264,102148702,105100000,2951298,100000,
,BFF,0,3,175112192,102148702,106135000,3986298,100000,
,BFF,0,3,241696768,161060694,162100000,1039306,100000,
,BFF,0,2,14417920,161060694,164620000,3559306,100000,
,BFF,0,3,12320768,161060694,164875000,3814306,100000,
,BFF,0,3,268435456,214586114,216100000,1513886,100000,
,BFF,0,3,268435456,263174654,264100000,925346,100000,
,BFF,0,3,268435456,315366910,318100000,2733090,100000,
,BFF,0,3,156631040,373252766,375100000,1847234,100000,
,BFF,0,2,4456448,373252766,376780000,3527234,100000,
,BFF,0,3,49020928,373252766,376930000,3677234,100000,
,BFF,0,3,58327040,373252766,377530000,4277234,100000,
,BFF,0,3,268435456,436762523,438100000,1337477,100000,
,BFF,0,3,268435456,485956990,486100000,143010,100000,
,BFF,0,3,268435456,538104830,540100000,1995170,100000,
,BFF,0,3,51904512,596035390,597100000,1064610,100000,
,BFF,0,2,4456448,596035390,597730000,1694610,100000,
,BFF,0,3,150077440,649658301,651100000,1441699,100000,
,BFF,0,2,26345472,678397440,681100000,2702560,100000,
,BFF,0,3,17956864,699511519,702100000,2588481,100000,
,BFF,0,3,268435456,709926014,711100000,1173986,100000,
,BFF,0,3,268435456,757974174,759100000,1125826,100000,
,BFF,0,3,268435456,810148702,813100000,2951298,100000,
,BFF,0,3,168165376,868032030,870100000,2067970,100000,
,BFF,0,2,203816960,14740138173,14742100000,1961827,100000,
,BFF,0,3,268435456,14790220537,14793100000,2879463,100000,
,BFF,0,3,241827840,14839974174,14841100000,1125826,100000,
,BFF,0,3,26607616,14839974174,14843620000,3645826,100000,
,BFF,0,3,212860928,14894662366,14895100000,437634,100000,
,BFF,0,3,51642368,14894662366,14897335000,2672634,100000,
,BFF,0,3,3932160,14894662366,14897965000,3302634,100000,
,BFF,0,3,84541440,14945275922,14946100000,824078,100000,
,BFF,0,2,268435456,15089782166,15090100000,317834,100000,
,BFF,0,2,268435456,15136974174,15138100000,1125826,100000,
,BFF,0,2,268435456,15189148702,15192100000,2951298,100000,
,BFF,0,2,169345024,15247032030,15249100000,2067970,100000,
,BFF,0,3,20709376,15247032030,15250900000,3867970,100000,
,BFF,0,2,78381056,15247032030,15251215000,4182970,100000,
,BFF,0,2,268435456,15310252290,15312100000,1847710,100000,
,BFF,0,2,268435456,15360279934,15363100000,2820066,100000,
,BFF,0,2,248119296,15415417566,15417100000,1682434,100000,
,BFF,0,3,20316160,15415417566,15419695000,4277434,100000,
,BFF,0,3,79691776,15475946454,15477100000,1153546,100000,
,BFF,0,3,203948032,15493517775,15495100000,1582225,100000,
,BFF,0,2,268435456,15642787773,15645100000,2312227,100000,
,BFF,0,2,268435456,15691974174,15693100000,1125826,100000,
,BFF,0,2,132644864,15744148702,15747100000,2951298,100000,
,BFF,0,3,20840448,15744148702,15748540000,4391298,100000,
,BFF,0,2,60030976,15744148702,15748855000,4706298,100000,
,BFF,0,3,268435456,15820050615,15822100000,2049385,100000,
,BFF,0,3,54525952,15868974174,15870100000,1125826,100000,
,BFF,0,2,268435456,15903568697,15906100000,2531303,100000,
,BFF,0,2,257032192,15952974174,15954100000,1125826,100000,
,BFF,0,3,213909504,16313709616,16314100000,390384,100000,
,BFF,0,2,268435456,16354057705,16356100000,2042295,100000,
,BFF,0,2,68026368,16402974174,16404100000,1125826,100000,
,BFF,0,3,95682560,16540016121,16542100000,2083879,100000,
