instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
1,0,meta-llama/Llama-3.1-8B,4808,10,0,222364912,222364912,103048702,162860694,6611579,"[6611338, 6611338, 6611434, 6611498, 6611562, 6611658, 6611722, 6611786, 6611882]"
1,2,meta-llama/Llama-3.1-8B,110,27,49094500,384596820,335502320,113766194,171191614,6319642,"[8303896, 6226442, 6227754, 6229066, 6230378, 6231690, 6232970, 6234218, 6235498, 6236746, 6237994, 6239210, 6240426, 6241642, 6242826, 6244042, 6245226, 6246378, 6247562, 6247690, 6247818, 6247978, 6248106, 6248234, 6248394, 6248522]"
1,4,meta-llama/Llama-3.1-8B,34,12,222497000,516934185,294437185,160655766,226865523,6142878,"[6142410, 6142442, 6142570, 6142666, 6142794, 6142890, 6142986, 6143082, 6143178, 6143274, 6143370]"
1,7,meta-llama/Llama-3.1-8B,34,23,508020500,770188792,262168292,103914890,124975812,6236021,"[6142346, 6142442, 6142570, 6142666, 6142794, 6142890, 6142986, 6143082, 6143178, 6143274, 6311709, 6312125, 6312573, 6313021, 6313437, 6313885, 6314301, 6314397, 6314525, 6314653, 6314749, 6314877]"
1,9,meta-llama/Llama-3.1-8B,201,24,649668500,839018598,189350098,29628940,40879777,6455231,"[10187972, 6312125, 6312573, 6313021, 6313437, 6313885, 6314301, 6314397, 6314525, 6314653, 6314749, 6314877, 6256842, 6256906, 6257002, 6257098, 6257162, 6257258, 6257354, 6257418, 6257514, 6257578, 6257674]"
1,12,meta-llama/Llama-3.1-8B,1555,19,14739534500,14894970551,155436051,503673,41340639,6338634,"[6338154, 6338218, 6338282, 6338346, 6338378, 6338442, 6338506, 6338538, 6338602, 6338666, 6338730, 6338762, 6338826, 6338890, 6338922, 6338986, 6339050, 6339114]"
1,17,meta-llama/Llama-3.1-8B,7436,9,15088934500,15367702642,278768142,158997530,224017790,6843794,"[6843530, 6843562, 6843658, 6843754, 6843818, 6843914, 6844010, 6844106]"
1,19,meta-llama/Llama-3.1-8B,6587,18,15241363000,15595724530,354361530,177954566,239383454,6763416,"[6762620, 6762698, 6762794, 6762922, 6763018, 6763114, 6763210, 6763306, 6763402, 6763530, 6763626, 6763722, 6763818, 6763914, 6764010, 6764138, 6764234]"
1,22,meta-llama/Llama-3.1-8B,5108,12,15642708000,15869239032,226531032,102340702,153797849,6612107,"[6611389, 6611517, 6611677, 6611805, 6611965, 6612093, 6612253, 6612413, 6612541, 6612701, 6612829]"
1,24,meta-llama/Llama-3.1-8B,458,67,15727508500,16225711185,498202685,17540202,68997349,6503111,"[6611389, 6611517, 6611677, 6611805, 6611965, 6612093, 6612253, 6612413, 6612541, 6612701, 6612829, 6274186, 6274250, 6274282, 6274346, 6274378, 6274442, 6274474, 6274538, 6274570, 6274634, 6274666, 6274730, 6274762, 6274826, 6274858, 6274922, 6274954, 6275018, 6275050, 6275114, 6275146, 6275210, 6616733, 6616893, 6617053, 6617181, 6617341, 6617469, 6617629, 6617757, 6617885, 6618045, 6618205, 6618333, 6618461, 6618621, 6618781, 6618909, 6619069, 6619197, 6619325, 6619485, 6619645, 6619773, 6619933, 6620061, 6620221, 6620349, 6620477, 6620637, 6620797, 6620925, 6621053, 6621213, 6621341]"
1,26,meta-llama/Llama-3.1-8B,4009,51,15903561000,16337017435,433456435,50313174,101856601,6631996,"[8481520, 6616893, 6617053, 6617181, 6617341, 6617469, 6617629, 6617757, 6617885, 6618045, 6618205, 6618333, 6618461, 6618621, 6618781, 6618909, 6619069, 6619197, 6619325, 6619485, 6619645, 6619773, 6619933, 6620061, 6620221, 6620349, 6620477, 6620637, 6620797, 6620925, 6621053, 6621213, 6621341, 6546442, 6546570, 6546698, 6546826, 6546922, 6547050, 6547178, 6547306, 6547434, 6547562, 6547658, 6547786, 6547914, 6548042, 6548170, 6548298, 6548394]"
