req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit
0,IDEAL,0,2,268435456,1,1,0,0,
0,IDEAL,0,2,268435456,46874175,46874175,0,0,
0,IDEAL,0,2,93323264,97922877,97922877,0,0,
1,IDEAL,0,3,175112192,97922877,97922877,0,0,
1,IDEAL,0,3,241696768,152848571,152848571,0,0,
2,IDEAL,0,2,14417920,152848571,152848571,0,0,
3,IDEAL,0,3,12320768,152848571,152848571,0,0,
3,IDEAL,0,3,268435456,202559685,202559685,0,0,
3,IDEAL,0,3,268435456,249634339,249634339,0,0,
3,IDEAL,0,3,268435456,300901249,300901249,0,0,
3,IDEAL,0,3,156631040,356054015,356054015,0,0,
4,IDEAL,0,2,4456448,356054015,356054015,0,0,
5,IDEAL,0,3,49020928,356054015,356054015,0,0,
6,IDEAL,0,3,58327040,356054015,356054015,0,0,
6,IDEAL,0,3,268435456,415286538,415286538,0,0,
6,IDEAL,0,3,268435456,463143528,463143528,0,0,
6,IDEAL,0,3,268435456,515148358,515148358,0,0,
6,IDEAL,0,3,51904512,571083748,571083748,0,0,
7,IDEAL,0,2,4456448,571083748,571083748,0,0,
8,IDEAL,0,3,150077440,649693540,649693540,0,0,
9,IDEAL,0,3,26345472,649693540,649693540,0,0,
10,IDEAL,0,2,17956864,699461202,699461202,0,0,
11,IDEAL,0,2,268435456,707287216,707287216,0,0,
11,IDEAL,0,2,268435456,754161390,754161390,0,0,
11,IDEAL,0,2,268435456,805210092,805210092,0,0,
11,IDEAL,0,2,168165376,860142122,860142122,0,0,
12,IDEAL,0,3,203816960,14740180295,14740180295,0,0,
13,IDEAL,0,2,268435456,14790215799,14790215799,0,0,
13,IDEAL,0,2,241827840,14837089973,14837089973,0,0,
14,IDEAL,0,2,26607616,14837089973,14837089973,0,0,
14,IDEAL,0,2,212860928,14888132339,14888132339,0,0,
15,IDEAL,0,2,51642368,14888132339,14888132339,0,0,
16,IDEAL,0,2,3932160,14888132339,14888132339,0,0,
16,IDEAL,0,2,84541440,14935443261,14935443261,0,0,
17,IDEAL,0,3,268435456,15089252011,15089252011,0,0,
17,IDEAL,0,3,268435456,15136126185,15136126185,0,0,
17,IDEAL,0,3,268435456,15187174887,15187174887,0,0,
17,IDEAL,0,3,169345024,15242106917,15242106917,0,0,
18,IDEAL,0,2,20709376,15242106917,15242106917,0,0,
19,IDEAL,0,3,78381056,15242106917,15242106917,0,0,
19,IDEAL,0,3,268435456,15301144207,15301144207,0,0,
19,IDEAL,0,3,268435456,15349324141,15349324141,0,0,
19,IDEAL,0,3,248119296,15401641707,15401641707,0,0,
20,IDEAL,0,2,20316160,15401641707,15401641707,0,0,
20,IDEAL,0,2,79691776,15457893161,15457893161,0,0,
21,IDEAL,0,3,203948032,15491857133,15491857133,0,0,
22,IDEAL,0,2,268435456,15642731291,15642731291,0,0,
22,IDEAL,0,2,268435456,15689606467,15689606467,0,0,
22,IDEAL,0,2,132644864,15740655169,15740655169,0,0,
23,IDEAL,0,3,20840448,15740655169,15740655169,0,0,
24,IDEAL,0,2,60030976,15740655169,15740655169,0,0,
25,IDEAL,0,3,268435456,15820021243,15820021243,0,0,
25,IDEAL,0,3,54525952,15866895417,15866895417,0,0,
26,IDEAL,0,2,268435456,15903574711,15903574711,0,0,
26,IDEAL,0,2,257032192,15950448885,15950448885,0,0,
27,IDEAL,0,3,213909504,16313691166,16313691166,0,0,
28,IDEAL,0,2,268435456,16353996514,16353996514,0,0,
28,IDEAL,0,2,68026368,16400870688,16400870688,0,0,
29,IDEAL,0,3,95682560,16540025736,16540025736,0,0,
