instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
1,0,meta-llama/Llama-3.1-8B,4808,10,0,218929912,218929912,101548702,159425694,6611579,"[6611338, 6611338, 6611434, 6611498, 6611562, 6611658, 6611722, 6611786, 6611882]"
1,2,meta-llama/Llama-3.1-8B,110,27,49094500,381161820,332067320,110331194,165116614,6421181,"[10943896, 6226442, 6227754, 6229066, 6230378, 6231690, 6232970, 6234218, 6235498, 6236746, 6237994, 6239210, 6240426, 6241642, 6242826, 6244042, 6245226, 6246378, 6247562, 6247690, 6247818, 6247978, 6248106, 6248234, 6248394, 6248522]"
1,4,meta-llama/Llama-3.1-8B,34,12,222497000,504904185,282407185,150155766,214835523,6142878,"[6142410, 6142442, 6142570, 6142666, 6142794, 6142890, 6142986, 6143082, 6143178, 6143274, 6143370]"
1,7,meta-llama/Llama-3.1-8B,34,23,508020500,755418594,247398094,89214890,110545812,6220558,"[6142346, 6142442, 6142570, 6142666, 6142794, 6142890, 6142986, 6143082, 6143178, 6143274, 6143370, 6143434, 6312093, 6312541, 6312957, 6313405, 6313821, 6314269, 6314365, 6314493, 6314589, 6314717]"
1,9,meta-llama/Llama-3.1-8B,201,24,649668500,836761796,187093296,28728940,38779777,6448413,"[10145160, 6312541, 6312957, 6313405, 6313821, 6314269, 6314365, 6314493, 6314589, 6314717, 6256650, 6256746, 6256842, 6256906, 6257002, 6257098, 6257162, 6257258, 6257354, 6257418, 6257514, 6257578, 6257674]"
1,12,meta-llama/Llama-3.1-8B,1555,19,14739534500,14894070551,154536051,803673,40440639,6338634,"[6338154, 6338218, 6338282, 6338346, 6338378, 6338442, 6338506, 6338538, 6338602, 6338666, 6338730, 6338762, 6338826, 6338890, 6338922, 6338986, 6339050, 6339114]"
1,17,meta-llama/Llama-3.1-8B,7436,9,15088934500,15365887642,276953142,158697530,222202790,6843794,"[6843530, 6843562, 6843658, 6843754, 6843818, 6843914, 6844010, 6844106]"
1,19,meta-llama/Llama-3.1-8B,6587,18,15241363000,15590729530,349366530,173454566,234388454,6763416,"[6762620, 6762698, 6762794, 6762922, 6763018, 6763114, 6763210, 6763306, 6763402, 6763530, 6763626, 6763722, 6763818, 6763914, 6764010, 6764138, 6764234]"
1,22,meta-llama/Llama-3.1-8B,5108,12,15642708000,15865984032,223276032,101440702,150542849,6612107,"[6611389, 6611517, 6611677, 6611805, 6611965, 6612093, 6612253, 6612413, 6612541, 6612701, 6612829]"
1,24,meta-llama/Llama-3.1-8B,458,67,15727508500,16222456185,494947685,16640202,65742349,6503111,"[6611389, 6611517, 6611677, 6611805, 6611965, 6612093, 6612253, 6612413, 6612541, 6612701, 6612829, 6274186, 6274250, 6274282, 6274346, 6274378, 6274442, 6274474, 6274538, 6274570, 6274634, 6274666, 6274730, 6274762, 6274826, 6274858, 6274922, 6274954, 6275018, 6275050, 6275114, 6275146, 6275210, 6616733, 6616893, 6617053, 6617181, 6617341, 6617469, 6617629, 6617757, 6617885, 6618045, 6618205, 6618333, 6618461, 6618621, 6618781, 6618909, 6619069, 6619197, 6619325, 6619485, 6619645, 6619773, 6619933, 6620061, 6620221, 6620349, 6620477, 6620637, 6620797, 6620925, 6621053, 6621213, 6621341]"
