req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit
,NEGOTIATOR,0,2,268435456,1,1900000,1899999,100000,
,NEGOTIATOR,0,2,268435456,48774174,50500000,1725826,100000,
,NEGOTIATOR,0,2,93323264,101548702,103300000,1751298,100000,
,NEGOTIATOR,0,3,175112192,101548702,104500000,2951298,100000,
,NEGOTIATOR,0,3,241696768,159425694,160900000,1474306,100000,
,NEGOTIATOR,0,2,14417920,159425694,163900000,4474306,100000,
,NEGOTIATOR,0,3,12320768,159425694,164500000,5074306,100000,
,NEGOTIATOR,0,3,268435456,214211114,216100000,1888886,100000,
,NEGOTIATOR,0,3,268435456,263174654,264700000,1525346,100000,
,NEGOTIATOR,0,3,268435456,315966910,317500000,1533090,100000,
,NEGOTIATOR,0,3,156631040,372652766,374500000,1847234,100000,
,NEGOTIATOR,0,2,4456448,372652766,376900000,4247234,100000,
,NEGOTIATOR,0,3,49020928,372652766,377500000,4847234,100000,
,NEGOTIATOR,0,3,58327040,372652766,378100000,5447234,100000,
,NEGOTIATOR,0,3,268435456,437332523,438700000,1367477,100000,
,NEGOTIATOR,0,3,268435456,486556990,487900000,1343010,100000,
,NEGOTIATOR,0,3,268435456,539904830,541300000,1395170,100000,
,NEGOTIATOR,0,3,51904512,597235390,598900000,1664610,100000,
,NEGOTIATOR,0,2,4456448,597235390,600100000,2864610,100000,
,NEGOTIATOR,0,3,150077440,649657927,651100000,1442073,100000,
,NEGOTIATOR,0,2,26345472,678397440,679900000,1502560,100000,
,NEGOTIATOR,0,3,17956864,699477068,700900000,1422932,100000,
,NEGOTIATOR,0,3,268435456,708726014,710500000,1773986,100000,
,NEGOTIATOR,0,3,268435456,757374174,759100000,1725826,100000,
,NEGOTIATOR,0,3,268435456,810148702,811900000,1751298,100000,
,NEGOTIATOR,0,3,168165376,866832030,868300000,1467970,100000,
,NEGOTIATOR,0,2,203816960,14740338173,14742100000,1761827,100000,
,NEGOTIATOR,0,3,268435456,14790220537,14791900000,1679463,100000,
,NEGOTIATOR,0,3,241827840,14838774174,14840500000,1725826,100000,
,NEGOTIATOR,0,3,26607616,14838774174,14843500000,4725826,100000,
,NEGOTIATOR,0,3,212860928,14894542366,14896300000,1757634,100000,
,NEGOTIATOR,0,3,51642368,14894542366,14899300000,4757634,100000,
,NEGOTIATOR,0,3,3932160,14894542366,14900500000,5957634,100000,
,NEGOTIATOR,0,3,84541440,14947810922,14949700000,1889078,100000,
,NEGOTIATOR,0,2,268435456,15089859821,15091300000,1440179,100000,
,NEGOTIATOR,0,2,268435456,15138174174,15139900000,1725826,100000,
,NEGOTIATOR,0,2,268435456,15190948702,15192700000,1751298,100000,
,NEGOTIATOR,0,2,169345024,15247632030,15249100000,1467970,100000,
,NEGOTIATOR,0,3,20709376,15247632030,15251500000,3867970,100000,
,NEGOTIATOR,0,2,78381056,15247632030,15252100000,4467970,100000,
,NEGOTIATOR,0,2,268435456,15311137290,15312700000,1562710,100000,
,NEGOTIATOR,0,2,268435456,15360879934,15362500000,1620066,100000,
,NEGOTIATOR,0,2,248119296,15414817566,15416500000,1682434,100000,
,NEGOTIATOR,0,3,20316160,15414817566,15419500000,4682434,100000,
,NEGOTIATOR,0,3,79691776,15475751454,15477100000,1348546,100000,
,NEGOTIATOR,0,3,203948032,15493517775,15495100000,1582225,100000,
,NEGOTIATOR,0,2,268435456,15642787773,15644500000,1712227,100000,
,NEGOTIATOR,0,2,268435456,15691374174,15693100000,1725826,100000,
,NEGOTIATOR,0,2,132644864,15744148702,15745900000,1751298,100000,
,NEGOTIATOR,0,3,20840448,15744148702,15747700000,3551298,100000,
,NEGOTIATOR,0,2,60030976,15744148702,15748300000,4151298,100000,
,NEGOTIATOR,0,3,268435456,15820043637,15821500000,1456363,100000,
,NEGOTIATOR,0,3,54525952,15868374174,15870100000,1725826,100000,
,NEGOTIATOR,0,2,268435456,15903592176,15904900000,1307824,100000,
,NEGOTIATOR,0,2,257032192,15951774174,15953500000,1725826,100000,
,NEGOTIATOR,0,3,213909504,16313732170,16315300000,1567830,100000,
,NEGOTIATOR,0,2,268435456,16354053211,16355500000,1446789,100000,
,NEGOTIATOR,0,2,68026368,16402374174,16404100000,1725826,100000,
,NEGOTIATOR,0,3,95682560,16540011858,16541500000,1488142,100000,
