req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit
0,PQPS,0,2,268435456,1,1,0,0,True
,PQPS,0,2,268435456,46874175,46874175,0,0,
,PQPS,0,2,93323264,97922877,97922877,0,0,
1,PQPS,0,3,175112192,97922877,98956109,1033232,0,False
,PQPS,0,3,241696768,153881803,153881803,0,0,
2,PQPS,0,2,14417920,153881803,156398770,2516967,0,False
3,PQPS,0,3,12320768,153881803,156642949,2761146,0,False
,PQPS,0,3,268435456,206354063,206354063,0,0,
,PQPS,0,3,268435456,253428717,253428717,0,0,
,PQPS,0,3,268435456,304695627,304695627,0,0,
,PQPS,0,3,156631040,359848393,359848393,0,0,
4,PQPS,0,2,4456448,359848393,361514703,1666310,0,False
5,PQPS,0,3,49020928,359848393,361659267,1810874,0,False
6,PQPS,0,3,58327040,359848393,362249476,2401083,0,False
,PQPS,0,3,268435456,421481999,421481999,0,0,
,PQPS,0,3,268435456,469338989,469338989,0,0,
,PQPS,0,3,268435456,521343819,521343819,0,0,
,PQPS,0,3,51904512,577279209,577279209,0,0,
7,PQPS,0,2,4456448,577279209,577898254,619045,0,False
8,PQPS,0,3,150077440,649663750,649663750,0,0,True
9,PQPS,0,2,26345472,676961190,677061190,100000,0,False
10,PQPS,0,3,17956864,699462472,699462472,0,0,True
11,PQPS,0,3,268435456,707288486,707288486,0,0,True
,PQPS,0,3,268435456,754162660,754162660,0,0,
,PQPS,0,3,268435456,805211362,805211362,0,0,
,PQPS,0,3,168165376,860143392,860143392,0,0,
12,PQPS,0,2,203816960,14740181565,14740181565,0,0,True
13,PQPS,0,3,268435456,14790217069,14790217069,0,0,True
,PQPS,0,3,241827840,14837091243,14837091243,0,0,
14,PQPS,0,3,26607616,14837091243,14839609521,2518278,0,False
,PQPS,0,3,212860928,14890651887,14890651887,0,0,
15,PQPS,0,3,51642368,14890651887,14892880496,2228609,0,False
16,PQPS,0,3,3932160,14890651887,14893496919,2845032,0,False
,PQPS,0,3,84541440,14940807841,14940807841,0,0,
17,PQPS,0,2,268435456,15089771687,15089771687,0,0,True
,PQPS,0,2,268435456,15136645861,15136645861,0,0,
,PQPS,0,2,268435456,15187694563,15187694563,0,0,
,PQPS,0,2,169345024,15242626593,15242626593,0,0,
18,PQPS,0,3,20709376,15242626593,15244420043,1793450,0,False
19,PQPS,0,2,78381056,15242626593,15244727136,2100543,0,False
,PQPS,0,2,268435456,15303764426,15303764426,0,0,
,PQPS,0,2,268435456,15351944360,15351944360,0,0,
,PQPS,0,2,248119296,15404261926,15404261926,0,0,
20,PQPS,0,3,20316160,15404261926,15406843118,2581192,0,False
,PQPS,0,3,79691776,15463094572,15463094572,0,0,
21,PQPS,0,2,203948032,15491893945,15491893945,0,0,True
22,PQPS,0,3,268435456,15643617137,15643617137,0,0,True
,PQPS,0,3,268435456,15690491311,15690491311,0,0,
,PQPS,0,3,132644864,15741540013,15741540013,0,0,
23,PQPS,0,2,20840448,15741540013,15742966461,1426448,0,False
24,PQPS,0,3,60030976,15741540013,15743274865,1734852,0,False
25,PQPS,0,2,268435456,15820036226,15820036226,0,0,True
,PQPS,0,2,54525952,15866910400,15866910400,0,0,
26,PQPS,0,3,268435456,15903574007,15903574007,0,0,True
,PQPS,0,3,257032192,15950448181,15950448181,0,0,
27,PQPS,0,2,213909504,16313705294,16313705294,0,0,True
28,PQPS,0,3,268435456,16354000306,16354000306,0,0,True
,PQPS,0,3,68026368,16400874480,16400874480,0,0,
29,PQPS,0,2,95682560,16540029528,16540029528,0,0,True
