instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
1,0,meta-llama/Llama-3.1-8B,4808,10,0,223286021,223286021,97922877,163781803,6611579,"[6611338, 6611338, 6611434, 6611498, 6611562, 6611658, 6611722, 6611786, 6611882]"
1,2,meta-llama/Llama-3.1-8B,110,27,49094500,398286035,349191535,114687303,186959563,6239691,"[6225162, 6226442, 6227754, 6229066, 6230378, 6231690, 6232970, 6234218, 6235498, 6236746, 6237994, 6239210, 6240426, 6241642, 6242826, 6244042, 6245226, 6246378, 6247562, 6247690, 6247818, 6247978, 6248106, 6248234, 6248394, 6248522]"
1,5,meta-llama/Llama-3.1-8B,374,14,269593500,562383185,292789685,119954893,211288499,6269322,"[6269002, 6269002, 6269066, 6269130, 6269194, 6269258, 6269322, 6269386, 6269450, 6269514, 6269578, 6269610, 6269674]"
1,7,meta-llama/Llama-3.1-8B,34,23,508020500,803028787,295008287,128658709,157644066,6243828,"[6142388, 6142442, 6142570, 6142666, 6142794, 6142890, 6142986, 6143082, 6143178, 6311709, 6312125, 6312573, 6313021, 6313437, 6313885, 6314301, 6314397, 6314525, 6314653, 6314749, 6314877, 6314973]"
1,9,meta-llama/Llama-3.1-8B,201,24,649668500,865601751,215933251,15996066,69995594,6345115,"[7597177, 6312125, 6312573, 6313021, 6313437, 6313885, 6314301, 6314397, 6314525, 6314653, 6314749, 6314877, 6314973, 6256906, 6257002, 6257098, 6257162, 6257258, 6257354, 6257418, 6257514, 6257578, 6257674]"
1,11,meta-llama/Llama-3.1-8B,7427,8,699543500,984589309,285045809,192707260,237145259,6842935,"[6842666, 6842762, 6842858, 6842922, 6843018, 6843114, 6843210]"
1,13,meta-llama/Llama-3.1-8B,3893,19,14790203500,15018841542,228638042,46952672,110413316,6568040,"[6527786, 6527850, 6527978, 6528106, 6528234, 6528362, 6528490, 6528618, 6528746, 6528874, 6529002, 6604212, 6604372, 6604532, 6649587, 6649779, 6650003, 6650195]"
1,16,meta-llama/Llama-3.1-8B,675,6,14858744000,15025272154,166528154,111828770,128942476,7517135,"[11205089, 6649779, 6650003, 6650195, 6430612]"
1,14,meta-llama/Llama-3.1-8B,1827,10,14805162500,15031699639,226537139,95454316,165410270,6791874,"[8460304, 6604372, 6604532, 6649587, 6649779, 6650003, 6650195, 6430612, 6427485]"
1,15,meta-llama/Llama-3.1-8B,394,17,14839576500,15075595581,236019081,61040316,130996270,6563925,"[8460304, 6604372, 6604532, 6649587, 6649779, 6650003, 6650195, 6430612, 6427485, 6270666, 6270730, 6270794, 6270858, 6270922, 6270954, 6271018]"
1,18,meta-llama/Llama-3.1-8B,158,26,15112865500,15479705978,366840478,129584987,210522820,6252706,"[6251434, 6251498, 6251626, 6251722, 6251850, 6251946, 6252074, 6252170, 6252298, 6252394, 6252490, 6252618, 6252714, 6252842, 6252938, 6253034, 6253130, 6253258, 6253354, 6253450, 6253546, 6253674, 6253770, 6253866, 6253962]"
1,20,meta-llama/Llama-3.1-8B,763,8,15251729500,15594602301,342872801,240888966,298881977,6284403,"[6284300, 6284330, 6284362, 6284394, 6284426, 6284458, 6284554]"
1,22,meta-llama/Llama-3.1-8B,5108,12,15642708000,15879890766,237182766,97963882,164449583,6612107,"[6611389, 6611517, 6611677, 6611805, 6611965, 6612093, 6612253, 6612413, 6612541, 6612701, 6612829]"
1,24,meta-llama/Llama-3.1-8B,458,67,15727508500,16237052813,509544313,13163382,79649083,6513564,"[6611389, 6611517, 6611677, 6611805, 6611965, 6612093, 6612253, 6612413, 6612541, 6612701, 6612829, 6274186, 6274250, 6274282, 6274346, 6274378, 6274442, 6274474, 6274538, 6274570, 6274634, 6274666, 6274730, 6274762, 6274826, 6274858, 6274922, 6274954, 6275018, 6275050, 6275114, 6616669, 6616797, 6616957, 6617117, 6617245, 6617373, 6617533, 6617693, 6617821, 6617949, 6618109, 6618269, 6618397, 6618525, 6618685, 6618845, 6618973, 6619133, 6619261, 6619389, 6619549, 6619709, 6619837, 6619965, 6620125, 6620285, 6620413, 6620541, 6620701, 6620829, 6620989, 6621117, 6621277, 6621405, 6621565]"
1,26,meta-llama/Llama-3.1-8B,4009,51,15903561000,16335266051,431705051,46874442,97292043,6688260,"[11147392, 6616797, 6616957, 6617117, 6617245, 6617373, 6617533, 6617693, 6617821, 6617949, 6618109, 6618269, 6618397, 6618525, 6618685, 6618845, 6618973, 6619133, 6619261, 6619389, 6619549, 6619709, 6619837, 6619965, 6620125, 6620285, 6620413, 6620541, 6620701, 6620829, 6620989, 6621117, 6621277, 6621405, 6621565, 6546698, 6546826, 6546922, 6547050, 6547178, 6547306, 6547434, 6547562, 6547658, 6547786, 6547914, 6548042, 6548170, 6548298, 6548394]"
1,28,meta-llama/Llama-3.1-8B,2567,45,16353980499,16699618168,345637669,46916426,63251501,6417867,"[6416458, 6416522, 6416586, 6416650, 6416682, 6416746, 6416810, 6416874, 6416906, 6416970, 6417034, 6417098, 6417162, 6417194, 6417258, 6417322, 6417386, 6417418, 6417482, 6417546, 6417610, 6417642, 6417706, 6417770, 6417834, 6417898, 6417994, 6418090, 6418186, 6418282, 6418410, 6418506, 6418602, 6418698, 6418826, 6418922, 6419018, 6419114, 6419242, 6419338, 6419434, 6419530, 6419658, 6419754]"
2,1,meta-llama/Llama-3.1-8B,3180,8,26000000,281366549,255366549,137781803,210054063,6473212,"[6473002, 6473034, 6473130, 6473194, 6473290, 6473386, 6473450]"
2,4,meta-llama/Llama-3.1-8B,34,12,222497000,554929262,332432262,167051393,258384999,6731569,"[6731069, 6731133, 6731229, 6731357, 6731453, 6731549, 6731677, 6731773, 6731901, 6731997, 6732125]"
2,3,meta-llama/Llama-3.1-8B,7433,14,70342000,568617730,498275730,319206393,410539999,6748902,"[6731069, 6731133, 6731229, 6731357, 6731453, 6731549, 6731677, 6731773, 6731901, 6731997, 6732125, 6844202, 6844266]"
2,6,meta-llama/Llama-3.1-8B,6985,9,349285500,720081200,370795700,287393709,316379066,6802079,"[6801780, 6801834, 6801930, 6802026, 6802122, 6802218, 6802314, 6802410]"
2,8,meta-llama/Llama-3.1-8B,1145,7,649656000,757955340,108299340,16008566,70008094,6381874,"[6729436, 6312330, 6312362, 6312362, 6312362, 6312394]"
2,10,meta-llama/Llama-3.1-8B,137,9,699461000,836705532,137244532,20203094,87250500,6249254,"[6248842, 6248906, 6249034, 6249194, 6249322, 6249450, 6249578, 6249706]"
2,12,meta-llama/Llama-3.1-8B,1555,19,14739534500,14891559860,152025360,54809,37929948,6338634,"[6338154, 6338218, 6338282, 6338346, 6338378, 6338442, 6338506, 6338538, 6338602, 6338666, 6338730, 6338762, 6338826, 6338890, 6338922, 6338986, 6339050, 6339114]"
2,17,meta-llama/Llama-3.1-8B,7436,9,15088934500,15378138672,289204172,153515987,234453820,6843794,"[6843530, 6843562, 6843658, 6843754, 6843818, 6843914, 6844010, 6844106]"
2,19,meta-llama/Llama-3.1-8B,6587,18,15241363000,15607752529,366389529,182522820,251255466,6772591,"[6762666, 6762698, 6762794, 6762922, 6763018, 6763114, 6763210, 6763306, 6763402, 6763530, 6785597, 6785821, 6786013, 6786205, 6786397, 6786589, 6786781]"
2,21,meta-llama/Llama-3.1-8B,1556,18,15491827500,15671141077,179313577,58783977,66999118,6606732,"[8208105, 6785821, 6786013, 6786205, 6786397, 6786589, 6786781, 6338602, 6338666, 6338730, 6338762, 6338826, 6338890, 6338922, 6338986, 6339050, 6339114]"
2,25,meta-llama/Llama-3.1-8B,2464,30,15820011000,16069861776,249850776,46892460,62102447,6474080,"[6539389, 6469949, 6470109, 6470237, 6470365, 6470493, 6470653, 6470749, 6470877, 6471037, 6471165, 6471293, 6471421, 6471549, 6471677, 6471805, 6471965, 6472093, 6472221, 6472349, 6472477, 6472605, 6472733, 6472861, 6472989, 6473117, 6473277, 6473373, 6473501]"
2,27,meta-llama/Llama-3.1-8B,1632,9,16313690999,16408999396,95308397,4643,38352206,7119523,"[12078484, 6410717, 6410845, 6410973, 6411101, 6411229, 6411357, 6411485]"
2,23,meta-llama/Llama-3.1-8B,159,127,15727343500,16603704991,876361491,13328382,79814083,6321804,"[6251498, 6251626, 6251722, 6251850, 6251946, 6252074, 6252170, 6252298, 6252394, 6252490, 6252618, 6252714, 6469853, 6469949, 6470109, 6470237, 6470365, 6470493, 6470653, 6470749, 6470877, 6471037, 6471165, 6471293, 6471421, 6471549, 6471677, 6471805, 6471965, 6472093, 6472221, 6472349, 6472477, 6472605, 6472733, 6472861, 6472989, 6473117, 6473277, 6473373, 6473501, 6255690, 6255786, 6255850, 6255946, 6256042, 6256138, 6256234, 6256298, 6256394, 6256490, 6256586, 6256650, 6256746, 6256842, 6256906, 6257002, 6257098, 6257162, 6257258, 6257354, 6257418, 6257514, 6257578, 6257674, 6257738, 6257834, 6257898, 6257994, 6258058, 6258154, 6258218, 6258314, 6258378, 6258474, 6258538, 6258634, 6258698, 6258794, 6258858, 6258922, 6259018, 6259082, 6259146, 6259242, 6259306, 6259370, 6410589, 6410717, 6410845, 6410973, 6411101, 6411229, 6411357, 6411485, 6260042, 6260106, 6260202, 6260266, 6260362, 6260458, 6260554, 6260618, 6260714, 6260810, 6260906, 6260970, 6261066, 6261162, 6261258, 6261322, 6261418, 6261514, 6261578, 6261674, 6261770, 6261834, 6261930, 6261994, 6348541, 6348573, 6348669, 6348701, 6348797, 6348861, 6348925]"
2,29,meta-llama/Llama-3.1-8B,730,36,16539997499,16779656247,239658748,48416,19266310,6296926,"[6348656, 6348573, 6348669, 6348701, 6348797, 6348861, 6348925, 6283594, 6283626, 6283658, 6283690, 6283722, 6283754, 6283786, 6283786, 6283818, 6283850, 6283882, 6283914, 6283946, 6283946, 6283978, 6284010, 6284042, 6284074, 6284106, 6284138, 6284138, 6284170, 6284202, 6284234, 6284266, 6284298, 6284298, 6284330]"
