instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
1,0,meta-llama/Llama-3.1-8B,4808,10,0,258364912,258364912,121048702,198860694,6611579,"[6611338, 6611338, 6611434, 6611498, 6611562, 6611658, 6611722, 6611786, 6611882]"
1,2,meta-llama/Llama-3.1-8B,110,27,49094500,445518086,396423586,149766194,234191614,6239691,"[6225162, 6226442, 6227754, 6229066, 6230378, 6231690, 6232970, 6234218, 6235498, 6236746, 6237994, 6239210, 6240426, 6241642, 6242826, 6244042, 6245226, 6246378, 6247562, 6247690, 6247818, 6247978, 6248106, 6248234, 6248394, 6248522]"
1,5,meta-llama/Llama-3.1-8B,374,14,269593500,656863709,387270209,203559266,305769023,6269322,"[6269002, 6269002, 6269066, 6269130, 6269194, 6269258, 6269322, 6269386, 6269450, 6269514, 6269578, 6269610, 6269674]"
1,7,meta-llama/Llama-3.1-8B,34,23,508020500,1026383014,518362514,256914890,379464980,6313524,"[6309757, 6310141, 6310621, 6311069, 6311517, 6311965, 6312381, 6312829, 6313277, 6313693, 6314109, 6314557, 6314653, 6314781, 6314909, 6314973, 6315101, 6315229, 6315325, 6315453, 6315549, 6315645]"
1,9,meta-llama/Llama-3.1-8B,201,24,649668500,1032640688,382972188,115266890,237816980,6311096,"[6309757, 6310141, 6310621, 6311069, 6311517, 6311965, 6312381, 6312829, 6313277, 6313693, 6314109, 6314557, 6314653, 6314781, 6314909, 6314973, 6315101, 6315229, 6315325, 6315453, 6315549, 6315645, 6257674]"
1,11,meta-llama/Llama-3.1-8B,7427,8,699543500,1170872366,471328866,376703986,423428316,6842935,"[6842666, 6842762, 6842858, 6842922, 6843018, 6843114, 6843210]"
1,13,meta-llama/Llama-3.1-8B,3893,19,14790203500,15041401187,251197687,59670674,133258866,6552156,"[6527786, 6527850, 6527978, 6528106, 6528234, 6528362, 6528490, 6528618, 6528746, 6528874, 6529002, 6529130, 6529258, 6604372, 6604532, 6604724, 6604884, 6649875]"
1,14,meta-llama/Llama-3.1-8B,1827,10,14805162500,15067123315,261960815,118299866,199813422,6905265,"[9961250, 6604532, 6604724, 6604884, 6649875, 6430260, 6430452, 6430612, 6430804]"
1,16,meta-llama/Llama-3.1-8B,675,6,14858744000,15067123315,208379315,146231922,174369706,6801921,"[8287481, 6430260, 6430452, 6430612, 6430804]"
1,15,meta-llama/Llama-3.1-8B,394,17,14839576500,15111019257,271442757,83885866,165399422,6627708,"[9961250, 6604532, 6604724, 6604884, 6649875, 6430260, 6430452, 6430612, 6430804, 6270666, 6270730, 6270794, 6270858, 6270922, 6270954, 6271018]"
