req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit
0,REACTIVE,0,2,268435456,1,10000001,10000000,10000000,
,REACTIVE,0,2,268435456,56874175,56874175,0,0,
,REACTIVE,0,2,93323264,107922877,107922877,0,0,
1,REACTIVE,0,3,175112192,107922877,118856109,10933232,10000000,
,REACTIVE,0,3,241696768,173781803,173781803,0,0,
2,REACTIVE,0,2,14417920,173781803,186198770,12416967,10000000,
3,REACTIVE,0,3,12320768,173781803,196342949,22561146,10000000,
,REACTIVE,0,3,268435456,246054063,246054063,0,0,
,REACTIVE,0,3,268435456,293128717,293128717,0,0,
,REACTIVE,0,3,268435456,344395627,344395627,0,0,
,REACTIVE,0,3,156631040,399548393,399548393,0,0,
4,REACTIVE,0,3,4456448,399548393,401114703,1566310,0,
5,REACTIVE,0,2,49020928,399548393,411159267,11610874,10000000,
6,REACTIVE,0,3,58327040,399548393,421649476,22101083,10000000,
,REACTIVE,0,3,268435456,480881999,480881999,0,0,
,REACTIVE,0,3,268435456,528738989,528738989,0,0,
,REACTIVE,0,3,268435456,580743819,580743819,0,0,
,REACTIVE,0,3,51904512,636679209,636679209,0,0,
7,REACTIVE,0,2,4456448,636679209,647198254,10519045,10000000,
8,REACTIVE,0,3,150077440,665664566,675664566,10000000,10000000,
9,REACTIVE,0,2,26345472,665664566,687165340,21500774,10000000,
10,REACTIVE,0,3,17956864,719664094,729664094,10000000,10000000,
11,REACTIVE,0,2,250478592,719664094,739843662,20179568,10000000,
,REACTIVE,0,2,268435456,786711500,786711500,0,0,
,REACTIVE,0,2,268435456,837522154,837522154,0,0,
,REACTIVE,0,2,186122240,892250760,892250760,0,0,
12,REACTIVE,0,3,203816960,14739589309,14749589309,10000000,10000000,
13,REACTIVE,0,2,268435456,14790209048,14800209048,10000000,10000000,
,REACTIVE,0,2,241827840,14847083222,14847083222,0,0,
14,REACTIVE,0,2,26607616,14847083222,14849501500,2418278,0,
,REACTIVE,0,2,212860928,14900543866,14900543866,0,0,
15,REACTIVE,0,2,51642368,14900543866,14902672475,2128609,0,
16,REACTIVE,0,2,3932160,14900543866,14903188898,2645032,0,
,REACTIVE,0,2,84541440,14950499820,14950499820,0,0,
17,REACTIVE,0,3,268435456,15089663666,15099663666,10000000,10000000,
,REACTIVE,0,3,268435456,15146537840,15146537840,0,0,
,REACTIVE,0,3,268435456,15197586542,15197586542,0,0,
,REACTIVE,0,3,169345024,15252518572,15252518572,0,0,
18,REACTIVE,0,2,20709376,15252518572,15264212022,11693450,10000000,
19,REACTIVE,0,3,78381056,15252518572,15274419115,21900543,10000000,
,REACTIVE,0,3,268435456,15333456405,15333456405,0,0,
,REACTIVE,0,3,268435456,15381636339,15381636339,0,0,
,REACTIVE,0,3,248119296,15433953905,15433953905,0,0,
20,REACTIVE,0,2,20316160,15433953905,15446435097,12481192,10000000,
,REACTIVE,0,2,79691776,15502686551,15502686551,0,0,
21,REACTIVE,0,3,188743680,15502686551,15513483468,10796917,10000000,
,REACTIVE,0,3,15204352,15560679562,15560679562,0,0,
22,REACTIVE,0,2,268435456,15642743123,15652743123,10000000,10000000,
,REACTIVE,0,2,268435456,15699617297,15699617297,0,0,
,REACTIVE,0,2,132644864,15750665999,15750665999,0,0,
23,REACTIVE,0,3,20840448,15750665999,15761992447,11326448,10000000,
24,REACTIVE,0,2,60030976,15750665999,15772200851,21534852,10000000,
25,REACTIVE,0,3,268435456,15820028566,15830028566,10000000,10000000,
,REACTIVE,0,3,54525952,15876902740,15876902740,0,0,
26,REACTIVE,0,2,268435456,15903564452,15913564452,10000000,10000000,
,REACTIVE,0,2,257032192,15960438626,15960438626,0,0,
27,REACTIVE,0,3,213909504,16313701789,16323701789,10000000,10000000,
28,REACTIVE,0,2,268435456,16362049352,16372049352,10000000,10000000,
,REACTIVE,0,2,68026368,16418923526,16418923526,0,0,
29,REACTIVE,0,3,95682560,16539997554,16549997554,10000000,10000000,
