instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
1,0,meta-llama/Llama-3.1-8B,4808,10,0,215486251,215486251,100148702,156025694,6606728,"[6611338, 6611338, 6611434, 6611498, 6611562, 6611658, 6611722, 6611786, 6568221]"
1,2,meta-llama/Llama-3.1-8B,110,27,49094500,371493061,322398561,106931194,158716614,6295459,"[7675137, 6226442, 6227754, 6229066, 6230378, 6231690, 6232970, 6234218, 6235498, 6236746, 6237994, 6239210, 6240426, 6241642, 6242826, 6244042, 6245226, 6246378, 6247562, 6247690, 6247818, 6247978, 6248106, 6248234, 6248394, 6248522]"
1,4,meta-llama/Llama-3.1-8B,34,12,222497000,491904185,269407185,141022676,201835523,6142878,"[6142410, 6142442, 6142570, 6142666, 6142794, 6142890, 6142986, 6143082, 6143178, 6143274, 6143370]"
1,7,meta-llama/Llama-3.1-8B,34,23,508020500,739078524,231058024,75014890,94545812,6205100,"[6142346, 6142442, 6142570, 6142666, 6142794, 6142890, 6142986, 6143082, 6143178, 6143274, 6143370, 6143434, 6143530, 6143626, 6312477, 6312925, 6313341, 6313757, 6314205, 6314333, 6314429, 6314557]"
1,9,meta-llama/Llama-3.1-8B,201,24,649668500,832934802,183266302,27728940,37979777,6316805,"[7232700, 6312925, 6313341, 6313757, 6314205, 6314333, 6314429, 6314557, 6256490, 6256586, 6256650, 6256746, 6256842, 6256906, 6257002, 6257098, 6257162, 6257258, 6257354, 6257418, 6257514, 6257578, 6257674]"
1,12,meta-llama/Llama-3.1-8B,1555,19,14739534500,14892108724,152574224,603673,38478812,6338634,"[6338154, 6338218, 6338282, 6338346, 6338378, 6338442, 6338506, 6338538, 6338602, 6338666, 6338730, 6338762, 6338826, 6338890, 6338922, 6338986, 6339050, 6339114]"
1,17,meta-llama/Llama-3.1-8B,7436,9,15088934500,15360887642,271953142,156146232,217202790,6843794,"[6843530, 6843562, 6843658, 6843754, 6843818, 6843914, 6844010, 6844106]"
1,19,meta-llama/Llama-3.1-8B,6587,18,15241363000,15580485471,339122471,166234500,223988454,6772589,"[6762620, 6762698, 6762794, 6762922, 6763018, 6763114, 6763210, 6763306, 6763402, 6763530, 6785597, 6785821, 6786013, 6786205, 6786397, 6786589, 6786781]"
1,21,meta-llama/Llama-3.1-8B,1556,18,15491827500,15643874019,152046519,3683,39154995,6640677,"[8785170, 6785821, 6786013, 6786205, 6786397, 6786589, 6786781, 6338602, 6338666, 6338730, 6338762, 6338826, 6338890, 6338922, 6338986, 6339050, 6339114]"
1,25,meta-llama/Llama-3.1-8B,2464,30,15820011000,16071519488,251508488,46963174,63298987,6489982,"[6995121, 6470141, 6470301, 6470429, 6470557, 6470685, 6470813, 6470973, 6471101, 6471229, 6471357, 6471485, 6471613, 6471741, 6471869, 6471997, 6472157, 6472285, 6472381, 6472541, 6472669, 6472797, 6472925, 6473053, 6473213, 6473309, 6473437, 6473597, 6473725]"
