req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit
0,ROTOR,0,2,268435456,1,11000000,10999999,1000000,
0,ROTOR,0,2,268435456,57874174,71000000,13125826,1000000,
0,ROTOR,0,2,93323264,122048702,131000000,8951298,1000000,
1,ROTOR,0,3,175112192,122048702,141000000,18951298,1000000,
1,ROTOR,0,3,241696768,195925694,201000000,5074306,1000000,
2,ROTOR,0,2,14417920,195925694,195925694,0,1000000,
3,ROTOR,0,3,12320768,195925694,201000000,5074306,1000000,
3,ROTOR,0,3,268435456,250711114,261000000,10288886,1000000,
3,ROTOR,0,3,268435456,308074654,321000000,12925346,1000000,
3,ROTOR,0,3,268435456,372266910,381000000,8733090,1000000,
3,ROTOR,0,3,156631040,436152766,441000000,4847234,1000000,
4,ROTOR,0,3,4456448,436152766,441000000,4847234,1000000,
5,ROTOR,0,2,49020928,436152766,436152766,0,1000000,
6,ROTOR,0,3,58327040,436152766,441000000,4847234,1000000,
6,ROTOR,0,3,268435456,500232523,501000000,767477,1000000,
6,ROTOR,0,3,268435456,548856990,561000000,12143010,1000000,
6,ROTOR,0,3,268435456,613004830,621000000,7995170,1000000,
6,ROTOR,0,3,51904512,676935390,681000000,4064610,1000000,
7,ROTOR,0,2,4456448,676935390,676935390,0,1000000,
8,ROTOR,0,3,150077440,676935390,681000000,4064610,1000000,
9,ROTOR,0,2,26345472,676935390,676935390,0,1000000,
10,ROTOR,0,3,17956864,734268428,741000000,6731572,1000000,
11,ROTOR,0,2,250478592,734268428,734268428,0,1000000,
11,ROTOR,0,2,268435456,787867838,791000000,3132162,1000000,
11,ROTOR,0,2,268435456,841810654,851000000,9189346,1000000,
11,ROTOR,0,2,186122240,905728606,911000000,5271394,1000000,
12,ROTOR,0,3,203816960,14740338549,14751000000,10661451,1000000,
13,ROTOR,0,2,268435456,14790204207,14801000000,10795793,1000000,
13,ROTOR,0,2,241827840,14847874174,14861000000,13125826,1000000,
14,ROTOR,0,2,26607616,14847874174,14861000000,13125826,1000000,
14,ROTOR,0,2,212860928,14912042366,14921000000,8957634,1000000,
15,ROTOR,0,2,51642368,14912042366,14921000000,8957634,1000000,
16,ROTOR,0,2,3932160,14912042366,14921000000,8957634,1000000,
16,ROTOR,0,2,84541440,14968310922,14981000000,12689078,1000000,
17,ROTOR,0,3,268435456,15089392385,15089392385,0,1000000,
17,ROTOR,0,3,268435456,15136266559,15141000000,4733441,1000000,
17,ROTOR,0,3,268435456,15192048702,15201000000,8951298,1000000,
17,ROTOR,0,3,169345024,15255932030,15261000000,5067970,1000000,
18,ROTOR,0,2,20709376,15255932030,15255932030,0,1000000,
19,ROTOR,0,3,78381056,15255932030,15261000000,5067970,1000000,
19,ROTOR,0,3,268435456,15320037290,15321000000,962710,1000000,
19,ROTOR,0,3,268435456,15369179934,15381000000,11820066,1000000,
19,ROTOR,0,3,248119296,15433317566,15441000000,7682434,1000000,
20,ROTOR,0,2,20316160,15433317566,15433317566,0,1000000,
20,ROTOR,0,2,79691776,15497251454,15497251454,0,1000000,
21,ROTOR,0,3,188743680,15497251454,15501000000,3748546,1000000,
21,ROTOR,0,3,15204352,15548196094,15561000000,12803906,1000000,
22,ROTOR,0,2,268435456,15642741551,15642741551,0,1000000,
22,ROTOR,0,2,268435456,15689615725,15701000000,11384275,1000000,
22,ROTOR,0,2,132644864,15752048702,15761000000,8951298,1000000,
23,ROTOR,0,3,20840448,15752048702,15771000000,18951298,1000000,
24,ROTOR,0,2,60030976,15752048702,15761000000,8951298,1000000,
25,ROTOR,0,3,268435456,15820011827,15831000000,10988173,1000000,
25,ROTOR,0,3,54525952,15877874174,15891000000,13125826,1000000,
26,ROTOR,0,2,268435456,15906209987,15911000000,4790013,1000000,
26,ROTOR,0,2,257032192,15957874174,15971000000,13125826,1000000,
27,ROTOR,0,3,213909504,16313697069,16313697069,0,1000000,
28,ROTOR,0,2,268435456,16353981808,16361000000,7018192,1000000,
28,ROTOR,0,2,68026368,16407875176,16421000000,13124824,1000000,
29,ROTOR,0,3,95682560,16540004345,16551000000,10995655,1000000,
