req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit
0,IDEAL,0,2,268435456,1,1,0,0,
0,IDEAL,0,2,268435456,46874175,46874175,0,0,
0,IDEAL,0,2,93323264,97922877,97922877,0,0,
1,IDEAL,0,3,175112192,97922877,97922877,0,0,
1,IDEAL,0,3,241696768,152848571,152848571,0,0,
2,IDEAL,0,2,14417920,152848571,152848571,0,0,
3,IDEAL,0,3,12320768,152848571,152848571,0,0,
3,IDEAL,0,3,268435456,202559685,202559685,0,0,
3,IDEAL,0,3,268435456,249634339,249634339,0,0,
3,IDEAL,0,3,268435456,300901249,300901249,0,0,
3,IDEAL,0,3,156631040,356054015,356054015,0,0,
4,IDEAL,0,2,4456448,356054015,356054015,0,0,
