req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit
0,PQPS,0,2,268435456,1,1,0,0,True
,PQPS,0,2,268435456,46874175,46874175,0,0,
,PQPS,0,2,93323264,97922877,97922877,0,0,
1,PQPS,0,3,175112192,97922877,108856109,10933232,0,False
,PQPS,0,3,241696768,163781803,163781803,0,0,
2,PQPS,0,2,14417920,163781803,176198770,12416967,0,False
3,PQPS,0,3,12320768,163781803,186342949,22561146,0,False
,PQPS,0,3,268435456,236054063,236054063,0,0,
,PQPS,0,3,268435456,283128717,283128717,0,0,
,PQPS,0,3,268435456,334395627,334395627,0,0,
,PQPS,0,3,156631040,389548393,389548393,0,0,
4,PQPS,0,3,4456448,389548393,401114703,11566310,0,False
