instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
1,0,meta-llama/Llama-3.1-8B,4808,10,0,223383471,223383471,107922877,163781803,6622407,"[6611338, 6611338, 6611434, 6611498, 6611562, 6611658, 6611722, 6611786, 6709332]"
1,1,meta-llama/Llama-3.1-8B,3180,8,26000000,262558909,236558909,137781803,190054063,6643549,"[7329408, 6528925, 6529085, 6529181, 6529309, 6529405, 6529533]"
1,2,meta-llama/Llama-3.1-8B,110,27,49094500,381187419,332092919,114687303,166959563,6351282,"[7329408, 6528925, 6529085, 6529181, 6529309, 6529405, 6529533, 6234218, 6235498, 6236746, 6237994, 6239210, 6240426, 6241642, 6242826, 6244042, 6245226, 6246378, 6247562, 6247690, 6247818, 6247978, 6248106, 6248234, 6248394, 6248522]"
1,4,meta-llama/Llama-3.1-8B,34,12,222497000,504612747,282115747,147051393,208384999,6702795,"[6701908, 6702036, 6702228, 6702420, 6702612, 6702804, 6702964, 6703156, 6703348, 6703540, 6703732]"
1,3,meta-llama/Llama-3.1-8B,7433,14,70342000,518119109,447777109,299206393,360539999,6710546,"[6701908, 6702036, 6702228, 6702420, 6702612, 6702804, 6702964, 6703156, 6703348, 6703540, 6703732, 6753085, 6753277]"
1,5,meta-llama/Llama-3.1-8B,374,14,269593500,518119109,248525609,99954893,161288499,6710546,"[6701908, 6702036, 6702228, 6702420, 6702612, 6702804, 6702964, 6703156, 6703348, 6703540, 6703732, 6753085, 6753277]"
1,6,meta-llama/Llama-3.1-8B,6985,9,349285500,659313438,310027938,237393709,256379066,6706109,"[6705693, 6705821, 6705917, 6706045, 6706173, 6706269, 6706397, 6706557]"
1,8,meta-llama/Llama-3.1-8B,1145,7,649656000,715836005,66180005,1593,27299033,6480162,"[7150720, 6362557, 6342164, 6342260, 6342356, 6340915]"
1,7,meta-llama/Llama-3.1-8B,34,23,508020500,747270377,239249877,78658709,97644066,6436627,"[6705693, 6705821, 6705917, 6706045, 6706173, 6706269, 6706397, 6706557, 6143178, 6143274, 6143370, 6362493, 6362557, 6342164, 6342260, 6342356, 6340915, 6286548, 6286708, 6286868, 6287028, 6287220]"
1,10,meta-llama/Llama-3.1-8B,137,9,699461000,759904771,60443771,1487,7827501,6577033,"[8547504, 6286548, 6286708, 6286868, 6287028, 6287220, 6317149, 6317245]"
1,9,meta-llama/Llama-3.1-8B,201,24,649668500,834991323,185322823,27286533,35834810,6499478,"[11307164, 6342260, 6342356, 6340915, 6286548, 6286708, 6286868, 6287028, 6287220, 6317149, 6317245, 6256746, 6256842, 6256906, 6257002, 6257098, 6257162, 6257258, 6257354, 6257418, 6257514, 6257578, 6257674]"
1,11,meta-llama/Llama-3.1-8B,7427,8,699543500,946181580,246638080,160599907,198737530,6842935,"[6842666, 6842762, 6842858, 6842922, 6843018, 6843114, 6843210]"
1,12,meta-llama/Llama-3.1-8B,1555,19,14739534500,14892152131,152617631,647080,38522219,6338634,"[6338154, 6338218, 6338282, 6338346, 6338378, 6338442, 6338506, 6338538, 6338602, 6338666, 6338730, 6338762, 6338826, 6338890, 6338922, 6338986, 6339050, 6339114]"
1,16,meta-llama/Llama-3.1-8B,675,6,14858744000,14997438638,138694638,81763856,98877562,7963415,"[13217800, 6649523, 6649715, 6649907, 6650131]"
1,14,meta-llama/Llama-3.1-8B,1827,10,14805162500,15004044002,198881502,85389402,135345356,7059571,"[10473655, 6604180, 6604340, 6649331, 6649523, 6649715, 6649907, 6650131, 6605364]"
1,13,meta-llama/Llama-3.1-8B,3893,19,14790203500,15010646591,220443091,46887758,100348402,6671927,"[8127951, 6527850, 6527978, 6528106, 6528234, 6528362, 6528490, 6528618, 6604020, 6604180, 6604340, 6649331, 6649523, 6649715, 6649907, 6650131, 6605364, 6602589]"
1,15,meta-llama/Llama-3.1-8B,394,17,14839576500,15048271867,208695367,50975402,100931356,6735250,"[10473655, 6604180, 6604340, 6649331, 6649523, 6649715, 6649907, 6650131, 6605364, 6602589, 6270730, 6270794, 6270858, 6270922, 6270954, 6271018]"
1,17,meta-llama/Llama-3.1-8B,7436,9,15088934500,15356971974,268037474,153192273,214130106,6738421,"[6738109, 6738141, 6738237, 6738365, 6738461, 6738589, 6738685, 6738781]"
