req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit
0,REACTIVE,0,2,268435456,1,10000001,10000000,10000000,
,REACTIVE,0,2,268435456,56874175,56874175,0,0,
,REACTIVE,0,2,93323264,107922877,107922877,0,0,
1,REACTIVE,0,2,175112192,107922877,108856109,933232,0,
,REACTIVE,0,2,241696768,163781803,163781803,0,0,
2,REACTIVE,0,2,14417920,163781803,166198770,2416967,0,
3,REACTIVE,0,2,12320768,163781803,166342949,2561146,0,
,REACTIVE,0,2,268435456,216054063,216054063,0,0,
,REACTIVE,0,2,268435456,263128717,263128717,0,0,
,REACTIVE,0,2,268435456,314395627,314395627,0,0,
,REACTIVE,0,2,156631040,369548393,369548393,0,0,
4,REACTIVE,0,2,4456448,369548393,371114703,1566310,0,
5,REACTIVE,0,2,49020928,369548393,371159267,1610874,0,
6,REACTIVE,0,2,58327040,369548393,371649476,2101083,0,
,REACTIVE,0,2,268435456,430881999,430881999,0,0,
,REACTIVE,0,2,268435456,478738989,478738989,0,0,
,REACTIVE,0,2,268435456,530743819,530743819,0,0,
,REACTIVE,0,2,51904512,586679209,586679209,0,0,
7,REACTIVE,0,2,4456448,586679209,587198254,519045,0,
8,REACTIVE,0,2,150077440,649657593,649657593,0,0,
9,REACTIVE,0,2,26345472,676955033,676955033,0,0,
10,REACTIVE,0,2,17956864,699462487,699462487,0,0,
11,REACTIVE,0,2,268435456,707288501,707288501,0,0,
,REACTIVE,0,2,268435456,754162675,754162675,0,0,
,REACTIVE,0,2,268435456,805211377,805211377,0,0,
,REACTIVE,0,2,168165376,860143407,860143407,0,0,
12,REACTIVE,0,2,203816960,14740181580,14740181580,0,0,
13,REACTIVE,0,2,268435456,14790217084,14790217084,0,0,
,REACTIVE,0,2,241827840,14837091258,14837091258,0,0,
14,REACTIVE,0,2,26607616,14837091258,14839509536,2418278,0,
,REACTIVE,0,2,212860928,14890551902,14890551902,0,0,
15,REACTIVE,0,2,51642368,14890551902,14892680511,2128609,0,
16,REACTIVE,0,2,3932160,14890551902,14893196934,2645032,0,
,REACTIVE,0,2,84541440,14940507856,14940507856,0,0,
17,REACTIVE,0,2,268435456,15089271867,15089271867,0,0,
,REACTIVE,0,2,268435456,15136146041,15136146041,0,0,
,REACTIVE,0,2,268435456,15187194743,15187194743,0,0,
,REACTIVE,0,2,169345024,15242126773,15242126773,0,0,
18,REACTIVE,0,2,20709376,15242126773,15243820223,1693450,0,
19,REACTIVE,0,2,78381056,15242126773,15244027316,1900543,0,
,REACTIVE,0,2,268435456,15303064606,15303064606,0,0,
,REACTIVE,0,2,268435456,15351244540,15351244540,0,0,
,REACTIVE,0,2,248119296,15403562106,15403562106,0,0,
20,REACTIVE,0,2,20316160,15403562106,15406043298,2481192,0,
,REACTIVE,0,2,79691776,15462294752,15462294752,0,0,
21,REACTIVE,0,2,203948032,15491831227,15491831227,0,0,
22,REACTIVE,0,2,268435456,15643533224,15643533224,0,0,
,REACTIVE,0,2,268435456,15690407398,15690407398,0,0,
,REACTIVE,0,2,132644864,15741456100,15741456100,0,0,
23,REACTIVE,0,2,20840448,15741456100,15742782548,1326448,0,
24,REACTIVE,0,2,60030976,15741456100,15742990952,1534852,0,
25,REACTIVE,0,2,268435456,15820027358,15820027358,0,0,
,REACTIVE,0,2,54525952,15866901532,15866901532,0,0,
26,REACTIVE,0,2,268435456,15903563647,15903563647,0,0,
,REACTIVE,0,2,257032192,15950437821,15950437821,0,0,
27,REACTIVE,0,2,213909504,16313699665,16313699665,0,0,
28,REACTIVE,0,2,268435456,16354020623,16354020623,0,0,
,REACTIVE,0,2,68026368,16400894797,16400894797,0,0,
29,REACTIVE,0,2,95682560,16540017424,16540017424,0,0,
