req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit,plane
0,CORD,0,4,268435456,1,1,0,0,True,O
1,CORD,2,5,268435456,2518079,2518079,0,0,True,O
,CORD,0,4,268435456,46874175,46874175,0,0,True,O
,CORD,2,5,148373504,49392253,49392253,0,0,True,O
3,CORD,2,7,120061952,49392253,60875988,11483735,10000000,False,O
,CORD,0,4,93323264,97922877,97922877,0,0,True,O
2,CORD,0,6,14417920,97922877,108856109,10933232,10000000,False,O
4,CORD,0,4,4456448,97922877,119000288,21077411,10000000,False,O
6,CORD,0,6,156237824,97922877,129044852,31121975,10000000,False,O
,CORD,2,7,268435456,111918354,111918354,0,0,True,O
,CORD,2,7,268435456,160753936,160753936,0,0,True,O
,CORD,0,6,268435456,183971167,183971167,0,0,True,O
,CORD,2,7,268435456,213750606,213750606,0,0,True,O
,CORD,0,6,268435456,233355453,233355453,0,0,True,O
,CORD,2,7,48889856,270646092,270646092,0,0,True,O
5,CORD,2,5,49020928,270646092,281134990,10488898,10000000,False,O
7,CORD,2,7,4456448,270646092,291625199,20979107,10000000,False,O
8,CORD,2,4,150077440,270646092,296646634,26000542,10000000,False,O
10,CORD,2,6,15990784,270646092,308147408,37501316,10000000,False,O
,CORD,0,6,222429184,286884891,296884891,10000000,10000000,False,O
9,CORD,0,5,26345472,286884891,309109182,22224291,10000000,False,O
11,CORD,0,7,19660800,286884891,319372636,32487745,10000000,False,O
,CORD,2,6,1966080,368977914,378977914,10000000,10000000,False,O
,CORD,0,7,268435456,376784646,376784646,0,0,True,O
,CORD,0,7,268435456,423973284,423973284,0,0,True,O
,CORD,0,7,268435456,475365698,475365698,0,0,True,O
,CORD,0,7,148504576,530647616,530647616,0,0,True,O
12,CORD,2,4,203816960,1228402184,1228402184,0,0,True,O
13,CORD,0,5,268435456,1232762900,1232762900,0,0,True,O
14,CORD,2,6,239468544,1266277323,1276277323,10000000,10000000,False,O
16,CORD,2,4,28966912,1266277323,1288672008,22394685,10000000,False,O
,CORD,0,5,241827840,1279637074,1279637074,0,0,True,O
15,CORD,0,7,26607616,1279637074,1292055352,12418278,10000000,False,O
,CORD,2,4,59506688,1335539846,1335539846,0,0,True,O
18,CORD,2,6,20709376,1335539846,1346134912,10595066,10000000,False,O
19,CORD,2,7,188219392,1335539846,1352081643,16541797,10000000,False,O
,CORD,0,7,25034752,1343097718,1363963836,20866118,10000000,False,O
17,CORD,0,5,243400704,1343097718,1353097718,10000000,10000000,False,O
,CORD,2,7,268435456,1399428277,1409428277,10000000,10000000,False,O
,CORD,0,5,268435456,1411273402,1411273402,0,0,True,O
,CORD,2,7,268435456,1459354355,1459354355,0,0,True,O
,CORD,0,5,268435456,1461985528,1461985528,0,0,True,O
,CORD,2,7,138280960,1513318257,1513318257,0,0,True,O
21,CORD,2,6,130154496,1513318257,1524701066,11382809,10000000,False,O
,CORD,0,5,194379776,1516632022,1516632022,0,0,True,O
20,CORD,0,5,74055680,1516632022,1518575819,1943797,0,False,O
,CORD,0,5,25952256,1577204137,1577204137,0,0,True,O
22,CORD,0,7,242483200,1577204137,1587463659,10259522,10000000,False,O
,CORD,2,6,73793536,1582550568,1582550568,0,0,True,O
23,CORD,2,5,20840448,1582550568,1593288503,10737935,10000000,False,O
25,CORD,2,7,173801472,1582550568,1603496907,20946339,10000000,False,O
,CORD,0,7,268435456,1635560297,1645560297,10000000,10000000,False,O
,CORD,2,7,149159936,1652472501,1662472501,10000000,10000000,False,O
27,CORD,2,7,119275520,1652472501,1652472501,0,0,True,O
,CORD,0,7,158597120,1696259431,1706259431,10000000,10000000,False,O
24,CORD,0,6,60030976,1696259431,1717845402,21585971,10000000,False,O
26,CORD,0,5,49807360,1696259431,1728445711,32186280,10000000,False,O
,CORD,2,7,94633984,1712160403,1722160403,10000000,10000000,False,O
29,CORD,2,7,95682560,1712160403,1712160403,0,0,True,O
31,CORD,2,6,78118912,1712160403,1733106742,20946339,10000000,False,O
,CORD,2,6,258605056,1781925536,1781925536,0,0,True,O
33,CORD,2,7,9830400,1781925536,1794511586,12586050,10000000,False,O
,CORD,0,5,268435456,1783076473,1783076473,0,0,True,O
,CORD,0,5,207224832,1830806775,1830806775,0,0,True,O
28,CORD,0,7,61210624,1830806775,1842879023,12072248,10000000,False,O
,CORD,2,7,203816960,1842680640,1853491129,10810489,10000000,False,O
34,CORD,2,7,64618496,1842680640,1843491129,810489,0,False,O
,CORD,0,7,268435456,1894749037,1904749037,10000000,10000000,False,O
,CORD,2,7,268435456,1900524855,1917433391,16908536,10000000,False,O
,CORD,0,7,6815744,1952644715,1966584696,13939981,10000000,False,O
30,CORD,0,4,261619712,1952644715,1952644715,0,0,True,O
,CORD,2,7,268435456,1965372557,1976652853,11280296,10000000,False,O
,CORD,0,4,268435456,2018625910,2018625910,0,0,True,O
,CORD,2,7,261881856,2028750419,2028750419,0,0,True,O
36,CORD,2,7,6553600,2028750419,2031369237,2618818,0,False,O
,CORD,0,4,139460608,2069586196,2069586196,0,0,True,O
32,CORD,0,7,128974848,2069586196,2080980802,11394606,10000000,False,O
,CORD,2,7,130285568,2087400595,2097400595,10000000,10000000,False,O
38,CORD,2,5,138149888,2087400595,2108703450,21302855,10000000,False,O
,CORD,0,7,111149056,2135830080,2145830080,10000000,10000000,False,O
35,CORD,0,7,157286400,2135830080,2135830080,0,0,True,O
,CORD,2,5,75497472,2155708664,2155708664,0,0,True,O
,CORD,0,7,268435456,2194787966,2194787966,0,0,True,O
,CORD,0,7,268435456,2244191708,2244191708,0,0,True,O
,CORD,0,7,268435456,2297735898,2297735898,0,0,True,O
,CORD,0,7,12058624,2355167608,2355167608,0,0,True,O
37,CORD,0,4,42860544,2355167608,2365288194,10120586,10000000,False,O
39,CORD,0,6,213516288,2355167608,2375716799,20549191,10000000,False,O
,CORD,0,6,225705984,2437056777,2437056777,0,0,True,O
