instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
2,0,meta-llama/Llama-3.1-8B,4808,10,0,243046692,243046692,97922877,183971167,6563947,"[6563549, 6563613, 6563709, 6563837, 6563933, 6564061, 6564157, 6564285, 6564381]"
2,4,meta-llama/Llama-3.1-8B,34,12,18541416,255333336,236791920,79381461,165429751,6487469,"[6563549, 6563613, 6563709, 6563837, 6563933, 6564061, 6564157, 6564285, 6564381, 6143274, 6143370]"
2,8,meta-llama/Llama-3.1-8B,1145,7,54138000,406852054,352714054,216508092,314839914,6312356,"[6312330, 6312330, 6312362, 6312362, 6312362, 6312394]"
2,12,meta-llama/Llama-3.1-8B,1555,19,1228294541,1381109345,152814804,844189,38719328,6338637,"[6338218, 6338218, 6338282, 6338346, 6338378, 6338442, 6338506, 6338538, 6338602, 6338666, 6338730, 6338762, 6338826, 6338890, 6338922, 6338986, 6339050, 6339114]"
2,16,meta-llama/Llama-3.1-8B,675,6,1238228666,1430838784,192610118,98047726,161200628,6281898,"[6281898, 6281866, 6281898, 6281898, 6281930]"
2,30,meta-llama/Llama-3.1-8B,5108,10,1389169791,2148996197,759826406,633880608,700124492,6633546,"[6633322, 6633322, 6633386, 6633482, 6633546, 6633610, 6633674, 6633738, 6633834]"
2,34,meta-llama/Llama-3.1-8B,6587,13,1403321166,2401561305,998240139,847878935,916996448,6770307,"[6762660, 6762698, 6762794, 6762922, 6763018, 6763114, 6763210, 6763306, 6763402, 6792029, 6792189, 6792349]"
2,38,meta-llama/Llama-3.1-8B,1630,9,1415959791,2433273675,1017313884,904357823,960041498,7159048,"[11975478, 6792189, 6792349, 6342378, 6342410, 6342474, 6342538, 6342570]"
3,1,meta-llama/Llama-3.1-8B,3180,8,2166666,157230840,155064174,47225587,109751688,6473212,"[6473002, 6473034, 6473130, 6473194, 6473290, 6473386, 6473450]"
3,5,meta-llama/Llama-3.1-8B,374,14,22466125,455044203,432578078,248179967,346511789,6620483,"[10126997, 6327933, 6327997, 6328061, 6328125, 6328189, 6328253, 6328317, 6328381, 6328413, 6328477, 6328541, 6328605]"
3,9,meta-llama/Llama-3.1-8B,201,24,54139041,511360261,457221220,232745850,312382151,6297350,"[6255850, 6327869, 6327933, 6327997, 6328061, 6328125, 6328189, 6328253, 6328317, 6328381, 6328413, 6328477, 6328541, 6328605, 6257002, 6257098, 6257162, 6257258, 6257354, 6257418, 6257514, 6257578, 6257674]"
3,13,meta-llama/Llama-3.1-8B,3893,19,1232516958,1460472635,227955677,46976389,110437033,6528813,"[6527786, 6527850, 6527978, 6528106, 6528234, 6528362, 6528490, 6528618, 6528746, 6528874, 6529002, 6529130, 6529258, 6529386, 6529514, 6529642, 6529770, 6529898]"
3,17,meta-llama/Llama-3.1-8B,7436,9,1257411208,1620944644,363533436,248210969,308783084,6843794,"[6843530, 6843562, 6843658, 6843754, 6843818, 6843914, 6844010, 6844106]"
3,20,meta-llama/Llama-3.1-8B,763,8,1270977458,1668801062,397823604,295216834,353572994,6321515,"[6284362, 6284330, 6284362, 6349277, 6349341, 6349405, 6349533]"
3,35,meta-llama/Llama-3.1-8B,7436,6,1403394458,2161393416,757998958,636881944,718391328,7921526,"[12035550, 6892692, 6892916, 6893140, 6893332]"
3,26,meta-llama/Llama-3.1-8B,4009,51,1325296750,2194524784,869228034,472914209,536856471,6647431,"[7111284, 6603933, 6604061, 6604221, 6604381, 6604541, 6604701, 6604829, 6604989, 6605117, 6605277, 6605437, 6605597, 6605725, 6605885, 6606013, 6606173, 6606333, 6606461, 6606621, 6606781, 6606909, 6607069, 6607229, 6607389, 6607549, 6607677, 6607837, 6607997, 6608125, 6608285, 6608413, 6608573, 6608733, 6608893, 6609021, 6609181, 6609309, 6609469, 6609629, 6892468, 6892692, 6892916, 6893140, 6893332, 6610493, 6610653, 6610813, 6610941, 6688468]"
3,39,meta-llama/Llama-3.1-8B,3351,9,1428518291,2240371291,811853000,742114789,755274027,7072371,"[10732466, 6549085, 6549213, 6549373, 6549501, 6549629, 6549789, 6549917]"
3,23,meta-llama/Llama-3.1-8B,159,127,1310611958,2453251919,1142639961,261939627,331861560,6434749,"[7279265, 6349341, 6349405, 6349533, 6251946, 6252074, 6252170, 6252298, 6252394, 6252490, 6252618, 6252714, 6252842, 6252938, 6253034, 6253130, 6253258, 6253354, 6253450, 6253546, 6253674, 6253770, 6253866, 6253962, 6254058, 6254154, 6254250, 6254346, 6254474, 6254570, 6254666, 6254762, 6254858, 6254954, 6255050, 6603773, 6603933, 6604061, 6604221, 6604381, 6604541, 6604701, 6604829, 6604989, 6605117, 6605277, 6605437, 6605597, 6605725, 6605885, 6606013, 6606173, 6606333, 6606461, 6606621, 6606781, 6606909, 6607069, 6607229, 6607389, 6607549, 6607677, 6607837, 6607997, 6608125, 6608285, 6608413, 6608573, 6608733, 6608893, 6609021, 6609181, 6609309, 6609469, 6609629, 6892468, 6892692, 6892916, 6893140, 6893332, 6610493, 6610653, 6610813, 6610941, 6688468, 6549085, 6549213, 6549373, 6549501, 6549629, 6549789, 6549917, 6259818, 6259914, 6259978, 6260042, 6260106, 6260202, 6260266, 6260362, 6260458, 6260554, 6260618, 6260714, 6260810, 6260906, 6260970, 6261066, 6261162, 6261258, 6261322, 6261418, 6261514, 6261578, 6261674, 6261770, 6261834, 6261930, 6261994, 6262090, 6262186, 6262250, 6262346, 6262410, 6262506, 6262602]"
4,2,meta-llama/Llama-3.1-8B,110,27,4091208,346203139,342111931,93831669,179879959,6239691,"[6225162, 6226442, 6227754, 6229066, 6230378, 6231690, 6232970, 6234218, 6235498, 6236746, 6237994, 6239210, 6240426, 6241642, 6242826, 6244042, 6245226, 6246378, 6247562, 6247690, 6247818, 6247978, 6248106, 6248234, 6248394, 6248522]"
