req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit,plane
0,CORD,0,4,268435456,1,1,0,0,True,O0
1,CORD,2,5,268435456,2518079,2518079,0,0,True,O0
,CORD,0,4,268435456,46874175,46874175,0,0,True,O0
,CORD,2,5,148373504,49392253,49392253,0,0,True,O0
3,CORD,2,7,120061952,49392253,60875988,11483735,10000000,False,O0
,CORD,0,4,93323264,97922877,97922877,0,0,True,O0
2,CORD,0,6,14417920,97922877,108856109,10933232,10000000,False,O0
4,CORD,0,4,4456448,97922877,119000288,21077411,10000000,False,O0
6,CORD,0,6,156237824,97922877,129044852,31121975,10000000,False,O0
,CORD,2,7,268435456,111918354,111918354,0,0,True,O0
,CORD,2,7,268435456,160753936,160753936,0,0,True,O0
,CORD,0,6,268435456,183971167,183971167,0,0,True,O0
,CORD,2,7,268435456,213750606,213750606,0,0,True,O0
,CORD,0,6,268435456,233355453,233355453,0,0,True,O0
,CORD,2,7,48889856,270646092,270646092,0,0,True,O0
5,CORD,2,5,49020928,270646092,281134990,10488898,10000000,False,O0
7,CORD,2,7,4456448,270646092,291625199,20979107,10000000,False,O0
8,CORD,2,4,150077440,270646092,296646634,26000542,10000000,False,O0
10,CORD,2,6,15990784,270646092,308147408,37501316,10000000,False,O0
,CORD,0,6,222429184,286884891,296884891,10000000,10000000,False,O0
9,CORD,0,5,26345472,286884891,309109182,22224291,10000000,False,O0
11,CORD,0,7,19660800,286884891,296884891,10000000,10000000,False,O1
,CORD,0,7,268435456,366521192,366521192,0,0,True,O1
,CORD,2,6,1966080,368977914,378977914,10000000,10000000,False,O0
,CORD,0,7,268435456,413709830,413709830,0,0,True,O1
,CORD,0,7,268435456,465102244,465102244,0,0,True,O1
,CORD,0,7,148504576,520384162,520384162,0,0,True,O1
12,CORD,2,4,203816960,1229138730,1229138730,0,0,True,O0
13,CORD,0,5,268435456,1232619173,1232619173,0,0,True,O0
14,CORD,2,6,239468544,1267013869,1277013869,10000000,10000000,False,O0
16,CORD,2,4,28966912,1267013869,1289408554,22394685,10000000,False,O0
,CORD,0,5,241827840,1279493347,1279493347,0,0,True,O0
15,CORD,0,7,26607616,1279493347,1291911625,12418278,10000000,False,O0
,CORD,2,4,59506688,1336276392,1336276392,0,0,True,O0
18,CORD,2,6,20709376,1336276392,1346871458,10595066,10000000,False,O0
19,CORD,2,7,188219392,1336276392,1352082660,15806268,10000000,False,O0
,CORD,0,7,25034752,1342953991,1342953991,0,0,True,O1
17,CORD,0,5,243400704,1342953991,1352953991,10000000,10000000,False,O0
,CORD,2,7,268435456,1399429294,1399429294,0,0,True,O0
,CORD,0,5,268435456,1400263557,1400263557,0,0,True,O0
,CORD,2,7,268435456,1449355372,1449355372,0,0,True,O0
,CORD,0,5,268435456,1450975683,1450975683,0,0,True,O0
,CORD,2,7,138280960,1503319274,1503319274,0,0,True,O0
21,CORD,2,6,130154496,1503319274,1514702083,11382809,10000000,False,O0
,CORD,0,5,194379776,1505622177,1505622177,0,0,True,O0
20,CORD,0,5,74055680,1505622177,1507565974,1943797,0,False,O0
,CORD,0,5,25952256,1566194292,1566194292,0,0,True,O0
22,CORD,0,7,242483200,1566194292,1576453814,10259522,10000000,False,O0
,CORD,2,6,73793536,1572551585,1572551585,0,0,True,O0
23,CORD,2,5,20840448,1572551585,1583289520,10737935,10000000,False,O0
25,CORD,2,7,173801472,1572551585,1593497924,20946339,10000000,False,O0
,CORD,0,7,268435456,1624550452,1624550452,0,0,True,O1
,CORD,2,7,149159936,1642473518,1642473518,0,0,True,O0
27,CORD,2,7,119275520,1642473518,1643965117,1491599,0,False,O0
,CORD,0,7,158597120,1675249586,1675249586,0,0,True,O1
24,CORD,0,6,60030976,1675249586,1685249586,10000000,10000000,False,O0
26,CORD,0,5,49807360,1675249586,1695849895,20600309,10000000,False,O0
,CORD,2,7,94633984,1693653019,1693653019,0,0,True,O0
29,CORD,2,7,95682560,1693653019,1694599358,946339,0,False,O0
31,CORD,2,6,78118912,1693653019,1705556183,11903164,10000000,False,O0
,CORD,0,5,268435456,1750480657,1750480657,0,0,True,O0
,CORD,2,6,258605056,1754374977,1754374977,0,0,True,O0
33,CORD,2,7,9830400,1754374977,1766961027,12586050,10000000,False,O0
,CORD,0,5,207224832,1798210959,1798210959,0,0,True,O0
28,CORD,0,7,61210624,1798210959,1810283207,12072248,10000000,False,O0
,CORD,2,7,203816960,1815130081,1825130081,10000000,10000000,False,O0
35,CORD,2,5,64618496,1815130081,1837168250,22038169,10000000,False,O0
,CORD,0,7,268435456,1862153221,1862153221,0,0,True,O1
,CORD,2,5,268435456,1884201976,1884201976,0,0,True,O0
,CORD,0,7,6815744,1910048899,1910048899,0,0,True,O1
30,CORD,0,4,261619712,1910048899,1920048899,10000000,10000000,False,O0
,CORD,2,5,268435456,1932141142,1932141142,0,0,True,O0
,CORD,0,4,268435456,1972090113,1972090113,0,0,True,O0
,CORD,2,5,268435456,1984238708,1984238708,0,0,True,O0
,CORD,0,4,139460608,2023050399,2023050399,0,0,True,O0
32,CORD,0,7,128974848,2023050399,2034445005,11394606,10000000,False,O0
,CORD,2,5,104726528,2040276402,2040276402,0,0,True,O0
37,CORD,2,7,42860544,2040276402,2051323667,11047265,10000000,False,O0
39,CORD,2,5,120848384,2040276402,2061752272,21475870,10000000,False,O0
,CORD,0,7,111149056,2089294283,2089294283,0,0,True,O1
34,CORD,0,4,157286400,2089294283,2099294283,10000000,10000000,False,O0
,CORD,2,5,268435456,2121785786,2121785786,0,0,True,O0
,CORD,0,4,268435456,2148252169,2148252169,0,0,True,O0
,CORD,2,5,49938432,2170633080,2170633080,0,0,True,O0
,CORD,0,4,268435456,2197655911,2197655911,0,0,True,O0
,CORD,0,4,169213952,2251200101,2251200101,0,0,True,O0
36,CORD,0,6,99221504,2251200101,2262892240,11692139,10000000,False,O0
