instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
2,0,meta-llama/Llama-3.1-8B,4808,10,0,211924717,211924717,97922877,152849192,6563947,"[6563549, 6563613, 6563709, 6563837, 6563933, 6564061, 6564157, 6564285, 6564381]"
2,4,meta-llama/Llama-3.1-8B,34,12,18541416,224211361,205669945,79381461,134307776,6487469,"[6563549, 6563613, 6563709, 6563837, 6563933, 6564061, 6564157, 6564285, 6564381, 6143274, 6143370]"
2,8,meta-llama/Llama-3.1-8B,1145,7,54138000,357867003,303729003,205024357,265854863,6312356,"[6312330, 6312330, 6312362, 6312362, 6312362, 6312394]"
2,12,meta-llama/Llama-3.1-8B,1555,19,1228294541,1380997280,152702739,497923,38373062,6351648,"[6338218, 6338218, 6338282, 6338346, 6338378, 6338442, 6338506, 6338538, 6338602, 6338666, 6338730, 6338762, 6338826, 6338890, 6338922, 6417085, 6417117, 6417149]"
2,16,meta-llama/Llama-3.1-8B,675,6,1238228666,1393561108,155332442,75306775,122653409,6535806,"[7280939, 6417117, 6417149, 6281898, 6281930]"
2,31,meta-llama/Llama-3.1-8B,2569,7,1397253250,1879611250,482358000,392661014,443857588,6416735,"[6416650, 6416650, 6416682, 6416746, 6416810, 6416874]"
2,33,meta-llama/Llama-3.1-8B,1630,9,1399443666,1942071684,542628018,441667172,491888802,6342402,"[6342282, 6342250, 6342314, 6342378, 6342410, 6342474, 6342538, 6342570]"
2,32,meta-llama/Llama-3.1-8B,1832,7,1399135416,2016284619,617149203,528915705,578989335,6359978,"[6359754, 6359786, 6359914, 6360010, 6360138, 6360266]"
2,35,meta-llama/Llama-3.1-8B,7436,6,1403394458,2089891947,686497489,593801782,652761120,6747273,"[6747101, 6747165, 6747261, 6747357, 6747485]"
2,39,meta-llama/Llama-3.1-8B,3351,9,1428518291,2187932743,759414452,675392549,702849742,7070588,"[8942477, 6553853, 6827891, 6828083, 6828307, 6828499, 6828691, 6926909]"
2,34,meta-llama/Llama-3.1-8B,6587,13,1403321166,2228411833,825090667,679720861,738075495,7251264,"[12295593, 6828083, 6828307, 6828499, 6828691, 6926909, 6746035, 6746227, 6746419, 6746611, 6746803, 6746995]"
2,38,meta-llama/Llama-3.1-8B,1630,9,1415959791,2234830861,818871070,725436870,758598148,7534115,"[13374804, 6746035, 6746227, 6746419, 6746611, 6746803, 6746995, 6419028]"
2,36,meta-llama/Llama-3.1-8B,1044,16,1407542000,2247568903,840026903,675500027,733854661,7078149,"[12295593, 6828083, 6828307, 6828499, 6828691, 6926909, 6746035, 6746227, 6746419, 6746611, 6746803, 6746995, 6419028, 6368989, 6369053]"
2,37,meta-llama/Llama-3.1-8B,327,124,1411669291,2837005299,1425336008,585526949,644486287,6348371,"[6747101, 6747165, 6747261, 6747357, 6747485, 6266186, 6266282, 6266346, 6266410, 6266474, 6266538, 6266602, 6553725, 6553853, 6827891, 6828083, 6828307, 6828499, 6828691, 6926909, 6746035, 6746227, 6746419, 6746611, 6746803, 6746995, 6419028, 6368989, 6369053, 6267818, 6267882, 6267946, 6268010, 6268074, 6268138, 6268202, 6268266, 6268330, 6268394, 6268458, 6268522, 6268586, 6268650, 6268714, 6268778, 6268842, 6268906, 6268938, 6269002, 6269066, 6269130, 6269194, 6269258, 6269322, 6269386, 6269450, 6269514, 6269578, 6269610, 6269674, 6269738, 6269802, 6269866, 6269930, 6269994, 6270026, 6270090, 6270154, 6270218, 6270282, 6270346, 6270378, 6270442, 6270506, 6270570, 6270634, 6270666, 6270730, 6270794, 6270858, 6270922, 6270954, 6271018, 6271082, 6271146, 6271178, 6271242, 6271306, 6271370, 6271402, 6271466, 6271530, 6271594, 6271626, 6271690, 6271754, 6271786, 6271850, 6271914, 6271978, 6272010, 6272074, 6272138, 6272170, 6272234, 6272298, 6272330, 6272394, 6272458, 6272490, 6272554, 6272618, 6272650, 6272714, 6272778, 6272810, 6272874, 6272938, 6272970, 6273034, 6273066, 6273130, 6273194]"
3,1,meta-llama/Llama-3.1-8B,3180,8,2166666,145747105,143580439,47225587,98267953,6473212,"[6473002, 6473034, 6473130, 6473194, 6473290, 6473386, 6473450]"
3,5,meta-llama/Llama-3.1-8B,374,14,22466125,407953787,385487662,236696232,297526738,6766224,"[12021632, 6327933, 6327997, 6328061, 6328125, 6328189, 6328253, 6328317, 6328381, 6328413, 6328477, 6328541, 6328605]"
3,9,meta-llama/Llama-3.1-8B,201,24,54139041,458012843,403873802,201623875,259035885,6297300,"[6255850, 6255850, 6327869, 6327933, 6327997, 6328061, 6328125, 6328189, 6328253, 6328317, 6328381, 6328413, 6328477, 6328541, 6328605, 6257098, 6257162, 6257258, 6257354, 6257418, 6257514, 6257578, 6257674]"
3,13,meta-llama/Llama-3.1-8B,3893,19,1232516958,1447964038,215447080,46886070,97928436,6528813,"[6527786, 6527850, 6527978, 6528106, 6528234, 6528362, 6528490, 6528618, 6528746, 6528874, 6529002, 6529130, 6529258, 6529386, 6529514, 6529642, 6529770, 6529898]"
3,17,meta-llama/Llama-3.1-8B,7436,9,1257411208,1596175635,338764427,225702372,284330690,6804217,"[6843530, 6843562, 6843658, 6843754, 6843818, 6738365, 6738461, 6738589]"
3,20,meta-llama/Llama-3.1-8B,763,8,1270977458,1640621118,369643660,270764440,318861078,7254654,"[12686248, 6349213, 6349277, 6349341, 6349405, 6349501, 6349597]"
3,29,meta-llama/Llama-3.1-8B,730,36,1378333125,1978488349,600155224,316835307,364560629,6731274,"[11667099, 6583316, 6583476, 6583636, 6583796, 6583988, 6584148, 6584308, 6584468, 6584692, 6584852, 6585012, 6585172, 6585332, 6585524, 6585684, 6585844, 6586004, 6586196, 6586356, 6586516, 6586708, 6586868, 6587060, 6587220, 6587380, 6587540, 6587700, 6587892, 6588052, 6588212, 6588372, 6588564, 6588724, 6588884]"
3,26,meta-llama/Llama-3.1-8B,4009,51,1325296750,2057806457,732509707,344812077,397790283,6694388,"[11683566, 6603485, 6603613, 6583156, 6583316, 6583476, 6583636, 6583796, 6583988, 6584148, 6584308, 6584468, 6584692, 6584852, 6585012, 6585172, 6585332, 6585524, 6585684, 6585844, 6586004, 6586196, 6586356, 6586516, 6586708, 6586868, 6587060, 6587220, 6587380, 6587540, 6587700, 6587892, 6588052, 6588212, 6588372, 6588564, 6588724, 6588884, 6609021, 6609181, 6609309, 6609469, 6609629, 6609757, 6609917, 6610077, 6610205, 6610365, 6610525, 6610653]"
3,23,meta-llama/Llama-3.1-8B,159,127,1310611958,2383351201,1072739243,212009599,260985193,6442492,"[11101434, 6738461, 6738589, 6349149, 6349213, 6349277, 6349341, 6349405, 6349501, 6349597, 6252618, 6252714, 6252842, 6252938, 6253034, 6253130, 6253258, 6253354, 6253450, 6253546, 6253674, 6253770, 6253866, 6253962, 6603325, 6603485, 6603613, 6583156, 6583316, 6583476, 6583636, 6583796, 6583988, 6584148, 6584308, 6584468, 6584692, 6584852, 6585012, 6585172, 6585332, 6585524, 6585684, 6585844, 6586004, 6586196, 6586356, 6586516, 6586708, 6586868, 6587060, 6587220, 6587380, 6587540, 6587700, 6587892, 6588052, 6588212, 6588372, 6588564, 6588724, 6588884, 6609021, 6609181, 6609309, 6609469, 6609629, 6609757, 6609917, 6610077, 6610205, 6610365, 6610525, 6610653, 6258474, 6258538, 6258634, 6258698, 6258794, 6258858, 6258922, 6259018, 6259082, 6259146, 6259242, 6259306, 6259370, 6259466, 6259530, 6259594, 6259690, 6259754, 6259818, 6259914, 6259978, 6260042, 6260106, 6260202, 6260266, 6260362, 6260458, 6260554, 6260618, 6260714, 6260810, 6260906, 6260970, 6261066, 6261162, 6261258, 6261322, 6261418, 6261514, 6261578, 6261674, 6261770, 6261834, 6261930, 6261994, 6262090, 6262186, 6262250, 6262346, 6262410, 6262506, 6262602]"
4,2,meta-llama/Llama-3.1-8B,110,27,4091208,315081164,310989956,93831669,148757984,6239691,"[6225162, 6226442, 6227754, 6229066, 6230378, 6231690, 6232970, 6234218, 6235498, 6236746, 6237994, 6239210, 6240426, 6241642, 6242826, 6244042, 6245226, 6246378, 6247562, 6247690, 6247818, 6247978, 6248106, 6248234, 6248394, 6248522]"
4,6,meta-llama/Llama-3.1-8B,6985,9,29107125,368957838,339850713,226655791,284067801,6972864,"[8707976, 6801834, 6711901, 6711997, 6712125, 6712253, 6712349, 6712477]"
4,10,meta-llama/Llama-3.1-8B,137,9,58288416,381457122,323168706,261704447,267990119,6897323,"[9118102, 6711997, 6712125, 6712253, 6712349, 6712477, 6249578, 6249706]"
4,14,meta-llama/Llama-3.1-8B,1827,10,1233763541,1370835390,137071849,32904062,79771900,6366661,"[6359146, 6359210, 6359338, 6359434, 6359562, 6359690, 6359786, 6359914, 6423869]"
4,18,meta-llama/Llama-3.1-8B,158,26,1259405458,1520901614,261496156,54129983,101476617,6400781,"[9953315, 6251498, 6251626, 6251722, 6251850, 6251946, 6252074, 6252170, 6252298, 6252394, 6252490, 6252618, 6252714, 6252842, 6252938, 6253034, 6253130, 6253258, 6253354, 6253450, 6253546, 6253674, 6253770, 6253866, 6253962]"
4,21,meta-llama/Llama-3.1-8B,1556,18,1290985625,1679354473,388368848,231635932,280611526,6338666,"[6338282, 6338282, 6338346, 6338378, 6338442, 6338506, 6338538, 6338602, 6338666, 6338730, 6338762, 6338826, 6338890, 6338922, 6338986, 6339050, 6339114]"
4,30,meta-llama/Llama-3.1-8B,5108,10,1389169791,1993134353,603964562,482881844,538881330,7231470,"[12164472, 6614333, 6614493, 6614621, 6614781, 6614909, 6615069, 6615197, 6615357]"
4,24,meta-llama/Llama-3.1-8B,458,67,1310625708,2112383855,801758147,329911962,384542724,6321445,"[6273706, 6273706, 6273738, 6273802, 6273834, 6273898, 6273930, 6273994, 6274026, 6274090, 6274154, 6274186, 6274250, 6274282, 6274346, 6274378, 6274442, 6274474, 6274538, 6274570, 6274634, 6274666, 6274730, 6274762, 6274826, 6274858, 6274922, 6274954, 6275018, 6275050, 6275114, 6275146, 6275210, 6275242, 6275306, 6275338, 6275402, 6275434, 6614205, 6614333, 6614493, 6614621, 6614781, 6614909, 6615069, 6615197, 6615357, 6275914, 6275946, 6275978, 6276042, 6276074, 6276138, 6276170, 6276234, 6276266, 6276298, 6276330, 6276362, 6276426, 6276458, 6276490, 6276522, 6276586, 6276618, 6276650]"
