req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit,plane
0,IDEAL,0,4,268435456,1,1,0,0,,O
1,IDEAL,2,5,268435456,2518079,2518079,0,0,,O
0,IDEAL,0,4,268435456,46874175,46874175,0,0,,O
1,IDEAL,2,5,148373504,49392253,49392253,0,0,,O
3,IDEAL,2,7,120061952,49392253,49392253,0,0,,O
0,IDEAL,0,4,93323264,97922877,97922877,0,0,,O
2,IDEAL,0,6,14417920,97922877,97922877,0,0,,O
4,IDEAL,0,4,4456448,97922877,97922877,0,0,,O
6,IDEAL,0,6,156237824,97922877,97922877,0,0,,O
3,IDEAL,2,7,268435456,100434619,100434619,0,0,,O
3,IDEAL,2,7,268435456,149270201,149270201,0,0,,O
6,IDEAL,0,6,268435456,152849192,152849192,0,0,,O
6,IDEAL,0,6,268435456,202233478,202233478,0,0,,O
3,IDEAL,2,7,268435456,202266871,202266871,0,0,,O
6,IDEAL,0,6,222429184,255762916,255762916,0,0,,O
9,IDEAL,0,5,26345472,255762916,255762916,0,0,,O
11,IDEAL,0,7,19660800,255762916,255762916,0,0,,O
3,IDEAL,2,7,48889856,259162357,259162357,0,0,,O
5,IDEAL,2,5,49020928,259162357,259162357,0,0,,O
7,IDEAL,2,7,4456448,259162357,259162357,0,0,,O
8,IDEAL,2,4,150077440,259162357,259162357,0,0,,O
10,IDEAL,2,6,15990784,259162357,259162357,0,0,,O
11,IDEAL,0,7,268435456,313174926,313174926,0,0,,O
10,IDEAL,2,6,1966080,319992863,319992863,0,0,,O
11,IDEAL,0,7,268435456,360363564,360363564,0,0,,O
11,IDEAL,0,7,268435456,411755978,411755978,0,0,,O
11,IDEAL,0,7,148504576,467037896,467037896,0,0,,O
12,IDEAL,2,4,203816960,1228792464,1228792464,0,0,,O
13,IDEAL,0,5,268435456,1232528854,1232528854,0,0,,O
14,IDEAL,2,6,239468544,1266667603,1266667603,0,0,,O
16,IDEAL,2,4,28966912,1266667603,1266667603,0,0,,O
13,IDEAL,0,5,241827840,1279403028,1279403028,0,0,,O
15,IDEAL,0,7,26607616,1279403028,1279403028,0,0,,O
16,IDEAL,2,4,59506688,1313535441,1313535441,0,0,,O
18,IDEAL,2,6,20709376,1313535441,1313535441,0,0,,O
19,IDEAL,2,7,188219392,1313535441,1313535441,0,0,,O
15,IDEAL,0,7,25034752,1330445394,1330445394,0,0,,O
17,IDEAL,0,5,243400704,1330445394,1330445394,0,0,,O
19,IDEAL,2,7,268435456,1360882075,1360882075,0,0,,O
17,IDEAL,0,5,268435456,1377754960,1377754960,0,0,,O
19,IDEAL,2,7,268435456,1410808153,1410808153,0,0,,O
17,IDEAL,0,5,268435456,1428467086,1428467086,0,0,,O
19,IDEAL,2,7,138280960,1464772055,1464772055,0,0,,O
21,IDEAL,2,6,130154496,1464772055,1464772055,0,0,,O
17,IDEAL,0,5,194379776,1483113580,1483113580,0,0,,O
20,IDEAL,0,5,74055680,1483113580,1483113580,0,0,,O
21,IDEAL,2,6,73793536,1522621557,1522621557,0,0,,O
23,IDEAL,2,5,20840448,1522621557,1522621557,0,0,,O
25,IDEAL,2,7,173801472,1522621557,1522621557,0,0,,O
20,IDEAL,0,5,25952256,1541741898,1541741898,0,0,,O
22,IDEAL,0,7,242483200,1541741898,1541741898,0,0,,O
25,IDEAL,2,7,149159936,1571597151,1571597151,0,0,,O
26,IDEAL,2,5,119275520,1571597151,1571597151,0,0,,O
22,IDEAL,0,7,268435456,1589838536,1589838536,0,0,,O
26,IDEAL,2,5,268435456,1621285053,1621285053,0,0,,O
22,IDEAL,0,7,158597120,1640537670,1640537670,0,0,,O
24,IDEAL,0,6,60030976,1640537670,1640537670,0,0,,O
27,IDEAL,0,7,49807360,1640537670,1640537670,0,0,,O
26,IDEAL,2,5,137756672,1670108827,1670108827,0,0,,O
28,IDEAL,2,7,130678784,1670108827,1670108827,0,0,,O
27,IDEAL,0,7,164102144,1695168432,1695168432,0,0,,O
29,IDEAL,0,5,95682560,1695168432,1695168432,0,0,,O
31,IDEAL,0,4,8650752,1695168432,1695168432,0,0,,O
28,IDEAL,2,7,205783040,1723087033,1723087033,0,0,,O
30,IDEAL,2,6,62652416,1723087033,1723087033,0,0,,O
31,IDEAL,0,4,268435456,1742893754,1742893754,0,0,,O
30,IDEAL,2,6,268435456,1772068503,1772068503,0,0,,O
31,IDEAL,0,4,59637760,1789914264,1789914264,0,0,,O
33,IDEAL,0,4,208797696,1789914264,1789914264,0,0,,O
30,IDEAL,2,6,268435456,1819982869,1819982869,0,0,,O
33,IDEAL,0,4,4849664,1841110838,1841110838,0,0,,O
35,IDEAL,0,4,263585792,1841110838,1841110838,0,0,,O
30,IDEAL,2,6,69992448,1872051635,1872051635,0,0,,O
32,IDEAL,2,4,198443008,1872051635,1872051635,0,0,,O
35,IDEAL,0,4,268435456,1891332468,1891332468,0,0,,O
32,IDEAL,2,4,41680896,1928051121,1928051121,0,0,,O
34,IDEAL,2,4,226754560,1928051121,1928051121,0,0,,O
35,IDEAL,0,4,268435456,1942318482,1942318482,0,0,,O
34,IDEAL,2,4,268435456,1978124751,1978124751,0,0,,O
35,IDEAL,0,4,174194688,1997196240,1997196240,0,0,,O
37,IDEAL,0,4,42860544,1997196240,1997196240,0,0,,O
39,IDEAL,0,4,51380224,1997196240,1997196240,0,0,,O
34,IDEAL,2,4,268435456,2028593357,2028593357,0,0,,O
39,IDEAL,0,4,268435456,2056155578,2056155578,0,0,,O
34,IDEAL,2,4,99745792,2083042027,2083042027,0,0,,O
36,IDEAL,2,4,136839168,2083042027,2083042027,0,0,,O
38,IDEAL,2,4,31850496,2083042027,2083042027,0,0,,O
39,IDEAL,0,4,119406592,2103910840,2103910840,0,0,,O
38,IDEAL,2,4,181796864,2141396661,2141396661,0,0,,O
