instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
2,0,meta-llama/Llama-3.1-8B,4808,10,0,243046692,243046692,97922877,183971167,6563947,"[6563549, 6563613, 6563709, 6563837, 6563933, 6564061, 6564157, 6564285, 6564381]"
2,4,meta-llama/Llama-3.1-8B,34,12,18541416,255333336,236791920,79381461,165429751,6487469,"[6563549, 6563613, 6563709, 6563837, 6563933, 6564061, 6564157, 6564285, 6564381, 6143274, 6143370]"
2,8,meta-llama/Llama-3.1-8B,1145,7,54138000,411875183,357737183,216508092,319863043,6312356,"[6312330, 6312330, 6312362, 6312362, 6312362, 6312394]"
2,12,meta-llama/Llama-3.1-8B,1555,19,1228294541,1380372799,152078258,107643,37982782,6338637,"[6338218, 6338218, 6338282, 6338346, 6338378, 6338442, 6338506, 6338538, 6338602, 6338666, 6338730, 6338762, 6338826, 6338890, 6338922, 6338986, 6339050, 6339114]"
2,16,meta-llama/Llama-3.1-8B,675,6,1238228666,1435098129,196869463,97311180,165459973,6281898,"[6281898, 6281866, 6281898, 6281898, 6281930]"
2,33,meta-llama/Llama-3.1-8B,1630,9,1399443666,1959200537,559756871,449945760,509017655,6342402,"[6342282, 6342250, 6342314, 6342378, 6342410, 6342474, 6342538, 6342570]"
2,30,meta-llama/Llama-3.1-8B,5108,10,1389169791,2195531994,806362203,680416405,746660289,6633546,"[6633322, 6633322, 6633386, 6633482, 6633546, 6633610, 6633674, 6633738, 6633834]"
2,37,meta-llama/Llama-3.1-8B,327,124,1411669291,3159568828,1747899537,897178097,976725571,6269707,"[6265898, 6265930, 6265994, 6266058, 6266122, 6266186, 6266282, 6266346, 6266410, 6266474, 6266538, 6266602, 6266666, 6266762, 6266826, 6266890, 6266954, 6267018, 6267082, 6267146, 6267210, 6267274, 6267338, 6267434, 6267498, 6267562, 6267626, 6267690, 6267754, 6267818, 6267882, 6267946, 6268010, 6268074, 6268138, 6268202, 6268266, 6268330, 6268394, 6268458, 6268522, 6268586, 6268650, 6268714, 6268778, 6268842, 6268906, 6268938, 6269002, 6269066, 6269130, 6269194, 6269258, 6269322, 6269386, 6269450, 6269514, 6269578, 6269610, 6269674, 6269738, 6269802, 6269866, 6269930, 6269994, 6270026, 6270090, 6270154, 6270218, 6270282, 6270346, 6270378, 6270442, 6270506, 6270570, 6270634, 6270666, 6270730, 6270794, 6270858, 6270922, 6270954, 6271018, 6271082, 6271146, 6271178, 6271242, 6271306, 6271370, 6271402, 6271466, 6271530, 6271594, 6271626, 6271690, 6271754, 6271786, 6271850, 6271914, 6271978, 6272010, 6272074, 6272138, 6272170, 6272234, 6272298, 6272330, 6272394, 6272458, 6272490, 6272554, 6272618, 6272650, 6272714, 6272778, 6272810, 6272874, 6272938, 6272970, 6273034, 6273066, 6273130, 6273194]"
3,1,meta-llama/Llama-3.1-8B,3180,8,2166666,157230840,155064174,47225587,109751688,6473212,"[6473002, 6473034, 6473130, 6473194, 6473290, 6473386, 6473450]"
3,5,meta-llama/Llama-3.1-8B,374,14,22466125,456208953,433742828,248179967,351534918,6323685,"[6268938, 6327869, 6327965, 6328029, 6328093, 6328157, 6328221, 6328285, 6328349, 6328413, 6328477, 6328541, 6328573]"
3,9,meta-llama/Llama-3.1-8B,201,24,54139041,525038759,470899718,232745850,322645605,6445831,"[9813204, 6327965, 6328029, 6328093, 6328157, 6328221, 6328285, 6328349, 6328413, 6328477, 6328541, 6328573, 6256842, 6256906, 6257002, 6257098, 6257162, 6257258, 6257354, 6257418, 6257514, 6257578, 6257674]"
3,13,meta-llama/Llama-3.1-8B,3893,19,1232516958,1460616362,228099404,47120116,110580760,6528813,"[6527786, 6527850, 6527978, 6528106, 6528234, 6528362, 6528490, 6528618, 6528746, 6528874, 6529002, 6529130, 6529258, 6529386, 6529514, 6529642, 6529770, 6529898]"
3,17,meta-llama/Llama-3.1-8B,7436,9,1257411208,1631338718,373927510,258605043,319177158,6843794,"[6843530, 6843562, 6843658, 6843754, 6843818, 6843914, 6844010, 6844106]"
3,20,meta-llama/Llama-3.1-8B,763,8,1270977458,1679130253,408152795,305610908,363967068,6312246,"[6284362, 6284330, 6284362, 6284394, 6349341, 6349405, 6349533]"
3,26,meta-llama/Llama-3.1-8B,4009,51,1325296750,2228340090,903043340,504894254,568836516,6684136,"[10478070, 6604093, 6604253, 6604413, 6604573, 6604733, 6604861, 6605021, 6605149, 6605309, 6605469, 6605629, 6605757, 6605917, 6606045, 6606205, 6606365, 6606493, 6606653, 6606781, 6606941, 6607101, 6607261, 6607421, 6607581, 6607709, 6607869, 6607997, 6608157, 6608317, 6608445, 6608605, 6608765, 6608893, 6609053, 6609213, 6609341, 6609501, 6609661, 6609789, 6609949, 6610077, 6610237, 6610397, 6610525, 6610685, 6610813, 6594740, 6594900, 6595092]"
3,38,meta-llama/Llama-3.1-8B,1630,9,1415959791,2260394955,844435164,751277492,788351729,7010429,"[10838578, 6594900, 6595092, 6410717, 6410845, 6410973, 6411101, 6411229]"
