req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit,plane
0,PQPS,0,4,268435456,1,1,0,0,True,O
1,PQPS,2,5,268435456,2518079,2518079,0,0,True,O
,PQPS,0,4,268435456,46874175,46874175,0,0,,O
,PQPS,2,5,148373504,49392253,49392253,0,0,,O
3,PQPS,2,7,120061952,49392253,60875988,11483735,0,False,O
,PQPS,0,4,93323264,97922877,97922877,0,0,,O
2,PQPS,0,6,14417920,97922877,108856109,10933232,0,False,O
4,PQPS,0,4,4456448,97922877,119000288,21077411,0,False,O
6,PQPS,0,6,156237824,97922877,129044852,31121975,0,False,O
,PQPS,2,7,268435456,111918354,111918354,0,0,,O
,PQPS,2,7,268435456,160753936,160753936,0,0,,O
,PQPS,0,6,268435456,183971167,183971167,0,0,,O
,PQPS,2,7,268435456,213750606,213750606,0,0,,O
,PQPS,0,6,268435456,233355453,233355453,0,0,,O
,PQPS,2,7,48889856,270646092,270646092,0,0,,O
5,PQPS,2,5,49020928,270646092,281134990,10488898,0,False,O
7,PQPS,2,7,4456448,270646092,291625199,20979107,0,False,O
8,PQPS,2,4,150077440,270646092,301669763,31023671,0,False,O
10,PQPS,2,6,15990784,270646092,313170537,42524445,0,False,O
,PQPS,0,6,222429184,286884891,296884891,10000000,10000000,,O
9,PQPS,0,5,26345472,286884891,309109182,22224291,0,False,O
11,PQPS,0,7,19660800,286884891,319372636,32487745,0,False,O
,PQPS,2,6,1966080,374001043,384001043,10000000,10000000,,O
,PQPS,0,7,268435456,376784646,376784646,0,0,,O
,PQPS,0,7,268435456,423973284,423973284,0,0,,O
,PQPS,0,7,268435456,475365698,475365698,0,0,,O
,PQPS,0,7,148504576,530647616,530647616,0,0,,O
12,PQPS,2,4,203816960,1228402184,1228402184,0,0,True,O
13,PQPS,0,5,268435456,1232762900,1232762900,0,0,True,O
14,PQPS,2,6,239468544,1266277323,1276277323,10000000,0,False,O
16,PQPS,2,4,28966912,1266277323,1288672008,22394685,0,False,O
,PQPS,0,5,241827840,1279637074,1279637074,0,0,,O
15,PQPS,0,7,26607616,1279637074,1292055352,12418278,0,False,O
,PQPS,2,4,59506688,1335539846,1335539846,0,0,,O
18,PQPS,2,6,20709376,1335539846,1346134912,10595066,0,False,O
19,PQPS,2,7,188219392,1335539846,1356342005,20802159,0,False,O
,PQPS,0,7,25034752,1343097718,1353097718,10000000,10000000,,O
17,PQPS,0,5,243400704,1343097718,1363348065,20250347,0,False,O
,PQPS,2,7,268435456,1403688639,1413688639,10000000,10000000,,O
,PQPS,0,5,268435456,1410657631,1410657631,0,0,,O
,PQPS,0,5,268435456,1461369757,1461369757,0,0,,O
,PQPS,2,7,268435456,1463614717,1463614717,0,0,,O
,PQPS,0,5,194379776,1516016251,1516016251,0,0,,O
20,PQPS,0,5,74055680,1516016251,1517960048,1943797,0,False,O
,PQPS,2,7,138280960,1517578619,1517578619,0,0,,O
21,PQPS,2,6,130154496,1517578619,1528961428,11382809,0,False,O
,PQPS,0,5,25952256,1576588366,1576588366,0,0,,O
22,PQPS,0,7,242483200,1576588366,1586847888,10259522,0,False,O
,PQPS,2,6,73793536,1586810930,1586810930,0,0,,O
23,PQPS,2,5,20840448,1586810930,1597548865,10737935,0,False,O
25,PQPS,2,7,173801472,1586810930,1607757269,20946339,0,False,O
,PQPS,0,7,268435456,1634944526,1644944526,10000000,10000000,,O
,PQPS,2,7,149159936,1656732863,1666732863,10000000,10000000,,O
27,PQPS,2,7,119275520,1656732863,1668224462,11491599,0,False,O
,PQPS,0,7,158597120,1695643660,1705643660,10000000,10000000,,O
24,PQPS,0,6,60030976,1695643660,1717229631,21585971,0,False,O
26,PQPS,0,5,49807360,1695643660,1727829940,32186280,0,False,O
,PQPS,2,7,94633984,1717912364,1727912364,10000000,10000000,,O
29,PQPS,2,7,95682560,1717912364,1728858703,10946339,0,False,O
31,PQPS,2,6,78118912,1717912364,1739815528,21903164,0,False,O
,PQPS,0,5,268435456,1782460702,1782460702,0,0,,O
,PQPS,2,6,258605056,1788634322,1788634322,0,0,,O
33,PQPS,2,4,9830400,1788634322,1801220372,12586050,0,False,O
,PQPS,0,5,207224832,1830191004,1830191004,0,0,,O
28,PQPS,0,7,61210624,1830191004,1842263252,12072248,0,False,O
,PQPS,2,4,203816960,1849389426,1849389426,0,0,,O
35,PQPS,2,7,64618496,1849389426,1861427595,12038169,0,False,O
,PQPS,0,7,268435456,1894133266,1904133266,10000000,10000000,,O
,PQPS,2,7,268435456,1908461321,1918461321,10000000,10000000,,O
,PQPS,0,7,6815744,1952028944,1966584696,14555752,10000000,,O
30,PQPS,0,4,261619712,1952028944,1952028944,0,0,True,O
,PQPS,2,7,268435456,1966400487,1976652853,10252366,10000000,,O
,PQPS,0,4,268435456,2018625910,2018625910,0,0,,O
,PQPS,2,7,268435456,2028750419,2028750419,0,0,,O
,PQPS,0,4,139460608,2069586196,2069586196,0,0,,O
32,PQPS,0,7,128974848,2069586196,2080980802,11394606,0,False,O
,PQPS,2,7,104726528,2084788113,2094788113,10000000,10000000,,O
36,PQPS,2,7,136839168,2084788113,2095835378,11047265,0,False,O
38,PQPS,2,5,26869760,2084788113,2107203769,22415656,0,False,O
,PQPS,0,7,111149056,2135830080,2145830080,10000000,10000000,,O
34,PQPS,0,6,157286400,2135830080,2156941570,21111490,0,False,O
,PQPS,2,5,186777600,2167237283,2167237283,0,0,,O
,PQPS,0,6,268435456,2205899456,2205899456,0,0,,O
,PQPS,0,6,268435456,2255303198,2255303198,0,0,,O
,PQPS,0,6,169213952,2308847388,2308847388,0,0,,O
37,PQPS,0,4,42860544,2308847388,2320539527,11692139,0,False,O
39,PQPS,0,6,56360960,2308847388,2330968132,22120744,0,False,O
,PQPS,0,6,268435456,2388394862,2388394862,0,0,,O
,PQPS,0,6,114425856,2436224332,2436224332,0,0,,O
