instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
2,0,meta-llama/Llama-3.1-8B,4808,10,0,253046692,253046692,107922877,193971167,6563947,"[6563549, 6563613, 6563709, 6563837, 6563933, 6564061, 6564157, 6564285, 6564381]"
2,4,meta-llama/Llama-3.1-8B,34,12,18541416,265333336,246791920,89381461,175429751,6487469,"[6563549, 6563613, 6563709, 6563837, 6563933, 6564061, 6564157, 6564285, 6564381, 6143274, 6143370]"
2,8,meta-llama/Llama-3.1-8B,1145,7,54138000,440230709,386092709,312381836,348218569,6312356,"[6312330, 6312330, 6312362, 6312362, 6312362, 6312394]"
2,12,meta-llama/Llama-3.1-8B,1555,19,1228294541,1390667539,162372998,402383,48277522,6338637,"[6338218, 6338218, 6338282, 6338346, 6338378, 6338442, 6338506, 6338538, 6338602, 6338666, 6338730, 6338762, 6338826, 6338890, 6338922, 6338986, 6339050, 6339114]"
2,16,meta-llama/Llama-3.1-8B,675,6,1238228666,1456779956,218551290,107605920,186754057,6359446,"[6359325, 6359357, 6359421, 6359517, 6359613]"
2,20,meta-llama/Llama-3.1-8B,763,8,1270977458,1469348968,198371510,74857128,154005265,6338035,"[6359325, 6359357, 6359421, 6359517, 6359613, 6284458, 6284554]"
2,36,meta-llama/Llama-3.1-8B,1044,16,1407542000,2224570063,817028063,641636731,722362057,6311067,"[6311018, 6310986, 6310986, 6311018, 6311018, 6311050, 6311050, 6311050, 6311082, 6311082, 6311114, 6311114, 6311146, 6311146, 6311146]"
2,31,meta-llama/Llama-3.1-8B,2569,7,1397253250,2271700220,874446970,784162546,835946558,6416735,"[6416650, 6416650, 6416682, 6416746, 6416810, 6416874]"
2,33,meta-llama/Llama-3.1-8B,1630,9,1399443666,2344204467,944760801,833756142,894021585,6342402,"[6342282, 6342250, 6342314, 6342378, 6342410, 6342474, 6342538, 6342570]"
3,1,meta-llama/Llama-3.1-8B,3180,8,2166666,174909088,172742422,64903835,127429936,6473212,"[6473002, 6473034, 6473130, 6473194, 6473290, 6473386, 6473450]"
3,5,meta-llama/Llama-3.1-8B,374,14,22466125,472708844,450242719,265858215,367975846,6328221,"[6327901, 6327869, 6327965, 6328029, 6328093, 6328157, 6328221, 6328285, 6328349, 6328413, 6328477, 6328541, 6328573]"
3,9,meta-llama/Llama-3.1-8B,201,24,54139041,535281808,481142767,234185299,336302930,6297384,"[6327901, 6327869, 6327965, 6328029, 6328093, 6328157, 6328221, 6328285, 6328349, 6328413, 6328477, 6328541, 6328573, 6256906, 6257002, 6257098, 6257162, 6257258, 6257354, 6257418, 6257514, 6257578, 6257674]"
3,13,meta-llama/Llama-3.1-8B,3893,19,1232516958,1476690931,244173973,63194685,126655329,6528813,"[6527786, 6527850, 6527978, 6528106, 6528234, 6528362, 6528490, 6528618, 6528746, 6528874, 6529002, 6529130, 6529258, 6529386, 6529514, 6529642, 6529770, 6529898]"
3,21,meta-llama/Llama-3.1-8B,1556,18,1290985625,1612440896,321455271,133997098,213697949,6338666,"[6338282, 6338282, 6338346, 6338378, 6338442, 6338506, 6338538, 6338602, 6338666, 6338730, 6338762, 6338826, 6338890, 6338922, 6338986, 6339050, 6339114]"
3,17,meta-llama/Llama-3.1-8B,7436,9,1257411208,1676821175,419409967,294087500,364659615,6843794,"[6843530, 6843562, 6843658, 6843754, 6843818, 6843914, 6844010, 6844106]"
