instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
2,0,meta-llama/Llama-3.1-8B,4808,10,0,217366824,217366824,97922877,158291299,6563947,"[6563549, 6563613, 6563709, 6563837, 6563933, 6564061, 6564157, 6564285, 6564381]"
2,4,meta-llama/Llama-3.1-8B,34,12,18541416,229653468,211112052,79381461,139749883,6487469,"[6563549, 6563613, 6563709, 6563837, 6563933, 6564061, 6564157, 6564285, 6564381, 6143274, 6143370]"
2,8,meta-llama/Llama-3.1-8B,1145,7,54138000,377965584,323827584,216679280,285953444,6312356,"[6312330, 6312330, 6312362, 6312362, 6312362, 6312394]"
2,12,meta-llama/Llama-3.1-8B,1555,19,1228294541,1380954956,152660415,689800,38564939,6338637,"[6338218, 6338218, 6338282, 6338346, 6338378, 6338442, 6338506, 6338538, 6338602, 6338666, 6338730, 6338762, 6338826, 6338890, 6338922, 6338986, 6339050, 6339114]"
2,16,meta-llama/Llama-3.1-8B,675,6,1238228666,1412364382,174135716,82682708,136504299,7526283,"[12503825, 6281866, 6281898, 6281898, 6281930]"
2,30,meta-llama/Llama-3.1-8B,5108,10,1389169791,2046791478,657621687,541394092,597919773,6633546,"[6633322, 6633322, 6633386, 6633482, 6633546, 6633610, 6633674, 6633738, 6633834]"
2,39,meta-llama/Llama-3.1-8B,3351,9,1428518291,2227531745,799013454,722055696,746273016,6592554,"[6487050, 6487146, 6487210, 6487306, 6487370, 6487466, 6908381, 6908509]"
2,34,meta-llama/Llama-3.1-8B,6587,13,1403321166,2295365802,892044636,743670105,805788346,7188024,"[11513724, 6908509, 6762794, 6762922, 6763018, 6791741, 6791901, 6792029, 6792189, 6792349, 6792477, 6792637]"
2,38,meta-llama/Llama-3.1-8B,1630,9,1415959791,2301708372,885748581,793149721,831317792,6803848,"[7334637, 6791901, 6792029, 6792189, 6792349, 6792477, 6792637, 6342570]"
3,1,meta-llama/Llama-3.1-8B,3180,8,2166666,149348964,147182298,47225587,101869812,6473212,"[6473002, 6473034, 6473130, 6473194, 6473290, 6473386, 6473450]"
3,5,meta-llama/Llama-3.1-8B,374,14,22466125,424889814,402423689,248351155,317625319,6522951,"[8859078, 6327933, 6327997, 6328061, 6328125, 6328189, 6328253, 6328317, 6328381, 6328413, 6328477, 6328541, 6328605]"
3,9,meta-llama/Llama-3.1-8B,201,24,54139041,481205872,427066831,223172110,282227762,6297350,"[6255850, 6327869, 6327933, 6327997, 6328061, 6328125, 6328189, 6328253, 6328317, 6328381, 6328413, 6328477, 6328541, 6328605, 6257002, 6257098, 6257162, 6257258, 6257354, 6257418, 6257514, 6257578, 6257674]"
3,13,meta-llama/Llama-3.1-8B,3893,19,1232516958,1448871196,216354238,46995000,98835594,6528813,"[6527786, 6527850, 6527978, 6528106, 6528234, 6528362, 6528490, 6528618, 6528746, 6528874, 6529002, 6529130, 6529258, 6529386, 6529514, 6529642, 6529770, 6529898]"
3,17,meta-llama/Llama-3.1-8B,7436,9,1257411208,1599988603,342577395,227360573,287932688,6830588,"[6843530, 6843562, 6843658, 6843754, 6843818, 6843914, 6844010, 6738461]"
3,20,meta-llama/Llama-3.1-8B,763,8,1270977458,1650685712,379708254,274366438,329737572,7138668,"[11874348, 6349213, 6349277, 6349341, 6349405, 6349501, 6349597]"
3,31,meta-llama/Llama-3.1-8B,2569,7,1397253250,1921998342,524745092,417550146,479712231,7505476,"[11809945, 6644244, 6644404, 6644596, 6644756, 6644916]"
3,26,meta-llama/Llama-3.1-8B,4009,51,1325296750,2093829400,768532650,379649256,434006384,6690525,"[10547107, 6603549, 6603709, 6603869, 6604029, 6604157, 6604317, 6604445, 6604637, 6604765, 6604925, 6605085, 6605245, 6605373, 6605533, 6605661, 6605821, 6605981, 6644084, 6644244, 6644404, 6644596, 6644756, 6644916, 6607005, 6607165, 6607325, 6607453, 6607613, 6607773, 6607933, 6608061, 6608221, 6608381, 6608509, 6608669, 6608829, 6608957, 6609117, 6609277, 6609405, 6609565, 6609693, 6609853, 6610013, 6610141, 6610301, 6610461, 6610589, 6610749]"
3,35,meta-llama/Llama-3.1-8B,7436,6,1403394458,2133800403,730405945,627534441,690957923,7889604,"[12477954, 6742365, 6742461, 6742557, 6742685]"
3,23,meta-llama/Llama-3.1-8B,159,127,1310611958,2403016129,1092404171,227243298,282266553,6429663,"[7110092, 6251626, 6349149, 6349213, 6349277, 6349341, 6349405, 6349501, 6349597, 6252490, 6252618, 6252714, 6252842, 6252938, 6253034, 6253130, 6253258, 6253354, 6253450, 6253546, 6253674, 6253770, 6253866, 6253962, 6254058, 6254154, 6254250, 6603421, 6603549, 6603709, 6603869, 6604029, 6604157, 6604317, 6604445, 6604637, 6604765, 6604925, 6605085, 6605245, 6605373, 6605533, 6605661, 6605821, 6605981, 6644084, 6644244, 6644404, 6644596, 6644756, 6644916, 6607005, 6607165, 6607325, 6607453, 6607613, 6607773, 6607933, 6608061, 6608221, 6608381, 6608509, 6608669, 6608829, 6608957, 6609117, 6609277, 6609405, 6609565, 6609693, 6609853, 6610013, 6610141, 6610301, 6610461, 6610589, 6610749, 6258698, 6742237, 6742365, 6742461, 6742557, 6742685, 6259146, 6259242, 6259306, 6259370, 6259466, 6259530, 6259594, 6259690, 6259754, 6259818, 6259914, 6259978, 6260042, 6260106, 6260202, 6260266, 6260362, 6260458, 6260554, 6260618, 6260714, 6260810, 6260906, 6260970, 6261066, 6261162, 6261258, 6261322, 6261418, 6261514, 6261578, 6261674, 6261770, 6261834, 6261930, 6261994, 6262090, 6262186, 6262250, 6262346, 6262410, 6262506, 6262602]"
4,2,meta-llama/Llama-3.1-8B,110,27,4091208,320523271,316432063,93831669,154200091,6239691,"[6225162, 6226442, 6227754, 6229066, 6230378, 6231690, 6232970, 6234218, 6235498, 6236746, 6237994, 6239210, 6240426, 6241642, 6242826, 6244042, 6245226, 6246378, 6247562, 6247690, 6247818, 6247978, 6248106, 6248234, 6248394, 6248522]"
4,6,meta-llama/Llama-3.1-8B,6985,9,29107125,390243541,361136416,248204026,307259678,6734592,"[6801802, 6801834, 6711901, 6711997, 6712125, 6712253, 6712349, 6712477]"
4,10,meta-llama/Llama-3.1-8B,137,9,58288416,402742825,344454409,281803028,288088700,7045713,"[10305224, 6711997, 6712125, 6712253, 6712349, 6712477, 6249578, 6249706]"
4,14,meta-llama/Llama-3.1-8B,1827,10,1233763541,1378147464,144383923,33095939,87147833,6359565,"[6359146, 6359210, 6359338, 6359434, 6359562, 6359690, 6359786, 6359914, 6360010]"
4,18,meta-llama/Llama-3.1-8B,158,26,1259405458,1534465058,275059600,61505916,115327507,6389283,"[9665869, 6251498, 6251626, 6251722, 6251850, 6251946, 6252074, 6252170, 6252298, 6252394, 6252490, 6252618, 6252714, 6252842, 6252938, 6253034, 6253130, 6253258, 6253354, 6253450, 6253546, 6253674, 6253770, 6253866, 6253962]"
4,21,meta-llama/Llama-3.1-8B,1556,18,1290985625,1700635833,409650208,246869631,301892886,6338666,"[6338282, 6338282, 6338346, 6338378, 6338442, 6338506, 6338538, 6338602, 6338666, 6338730, 6338762, 6338826, 6338890, 6338922, 6338986, 6339050, 6339114]"
4,32,meta-llama/Llama-3.1-8B,1832,7,1399135416,2082936034,683800618,587954148,643625651,6695827,"[8023878, 6429917, 6430077, 6430205, 6430365, 6430525]"
4,24,meta-llama/Llama-3.1-8B,458,67,1310625708,2139424476,828798768,348841520,413711626,6289199,"[6273706, 6273706, 6273738, 6273802, 6273834, 6273898, 6273930, 6273994, 6274026, 6274090, 6274154, 6274186, 6274250, 6274282, 6274346, 6274378, 6274442, 6274474, 6274538, 6274570, 6274634, 6274666, 6274730, 6274762, 6274826, 6274858, 6274922, 6274954, 6275018, 6275050, 6275114, 6275146, 6275210, 6275242, 6275306, 6275338, 6275402, 6275434, 6275498, 6275530, 6275562, 6275626, 6275658, 6275722, 6275754, 6275818, 6275850, 6275914, 6275946, 6275978, 6276042, 6429757, 6429917, 6430077, 6430205, 6430365, 6430525, 6276330, 6276362, 6276426, 6276458, 6276490, 6276522, 6276586, 6276618, 6276650]"
4,36,meta-llama/Llama-3.1-8B,1044,16,1407542000,2303775502,896233502,739449271,801567512,6311066,"[6311002, 6310986, 6310986, 6311018, 6311018, 6311050, 6311050, 6311050, 6311082, 6311082, 6311114, 6311114, 6311146, 6311146, 6311146]"
5,3,meta-llama/Llama-3.1-8B,7433,14,5861833,427603181,421741348,264955447,334229611,6731672,"[6731005, 6731133, 6731229, 6731357, 6731453, 6731549, 6731677, 6731773, 6731901, 6731997, 6732125, 6732221, 6732317]"
5,7,meta-llama/Llama-3.1-8B,34,23,42335041,482898567,440563526,228482239,297756403,6491232,"[6731005, 6731133, 6731229, 6731357, 6731453, 6731549, 6731677, 6731773, 6731901, 6731997, 6732125, 6732221, 6732317, 6143626, 6143690, 6143786, 6143850, 6143946, 6144010, 6144074, 6144170, 6144234]"
5,11,meta-llama/Llama-3.1-8B,7427,8,58295291,573984341,515689050,431934482,467788500,6842935,"[6842666, 6842762, 6842858, 6842922, 6843018, 6843114, 6843210]"
5,15,meta-llama/Llama-3.1-8B,394,17,1236631375,1479742697,243111322,94721177,142781786,6270596,"[6270218, 6270218, 6270282, 6270346, 6270378, 6270442, 6270506, 6270570, 6270634, 6270666, 6270730, 6270794, 6270858, 6270922, 6270954, 6271018]"
5,19,meta-llama/Llama-3.1-8B,6587,18,1270113583,1652833378,382719795,208509362,267741673,6763418,"[6762666, 6762698, 6762794, 6762922, 6763018, 6763114, 6763210, 6763306, 6763402, 6763530, 6763626, 6763722, 6763818, 6763914, 6764010, 6764138, 6764234]"
5,22,meta-llama/Llama-3.1-8B,5108,12,1303559000,1803919679,500360679,355908228,420778334,7234758,"[12164609, 6739069, 6739197, 6739293, 6739389, 6722420, 6722580, 6753683, 6753843, 6754035, 6754227]"
5,27,meta-llama/Llama-3.1-8B,1632,9,1359474250,1830122894,470648644,364863084,414228071,7052571,"[9955253, 6753843, 6754035, 6754227, 6525620, 6525780, 6525940, 6625875]"
5,25,meta-llama/Llama-3.1-8B,2464,30,1318334250,1843282070,524947820,274544261,333776825,6592103,"[7132777, 6410538, 6410602, 6410666, 6410698, 6410762, 6410826, 6410890, 6410954, 6411018, 6411050, 6411114, 6738973, 6739069, 6739197, 6739293, 6739389, 6722420, 6722580, 6753683, 6753843, 6754035, 6754227, 6525620, 6525780, 6525940, 6625875, 6579508, 6579668]"
5,33,meta-llama/Llama-3.1-8B,1630,9,1399443666,1934556388,535112722,415359730,477521815,7198863,"[11868111, 6531348, 6531508, 6531668, 6531828, 6531988, 6532148, 6532308]"
5,29,meta-llama/Llama-3.1-8B,730,36,1378333125,1993102281,614769156,326612881,380970009,6679975,"[10878177, 6722580, 6753683, 6753843, 6754035, 6754227, 6525620, 6525780, 6525940, 6625875, 6579508, 6579668, 6503133, 6503229, 6503325, 6503453, 6503549, 6503645, 6531188, 6531348, 6531508, 6531668, 6531828, 6531988, 6532148, 6532308, 6504669, 6504765, 6504893, 6504989, 6505085, 6505213, 6505309, 6505437, 6505533]"
5,28,meta-llama/Llama-3.1-8B,2567,45,1362831708,2108780675,745948967,410870613,460536843,6486639,"[6754343, 6579508, 6579668, 6503133, 6503229, 6503325, 6503453, 6503549, 6503645, 6531188, 6531348, 6531508, 6531668, 6531828, 6531988, 6532148, 6532308, 6504669, 6504765, 6504893, 6504989, 6505085, 6505213, 6505309, 6505437, 6505533, 6417994, 6418090, 6418186, 6418282, 6418410, 6418506, 6418602, 6418698, 6418826, 6418922, 6419018, 6419114, 6419242, 6419338, 6419434, 6419530, 6489021, 6489181]"
5,37,meta-llama/Llama-3.1-8B,327,124,1411669291,2867422813,1455753522,619259608,682683090,6285125,"[7939113, 6489181, 6265994, 6266058, 6266122, 6266186, 6266282, 6266346, 6266410, 6266474, 6266538, 6266602, 6266666, 6266762, 6266826, 6266890, 6266954, 6267018, 6267082, 6267146, 6267210, 6267274, 6267338, 6267434, 6267498, 6267562, 6267626, 6267690, 6267754, 6267818, 6267882, 6267946, 6268010, 6268074, 6268138, 6268202, 6268266, 6268330, 6268394, 6268458, 6268522, 6268586, 6268650, 6268714, 6268778, 6268842, 6268906, 6268938, 6269002, 6269066, 6269130, 6269194, 6269258, 6269322, 6269386, 6269450, 6269514, 6269578, 6269610, 6269674, 6269738, 6269802, 6269866, 6269930, 6269994, 6270026, 6270090, 6270154, 6270218, 6270282, 6270346, 6270378, 6270442, 6270506, 6270570, 6270634, 6270666, 6270730, 6270794, 6270858, 6270922, 6270954, 6271018, 6271082, 6271146, 6271178, 6271242, 6271306, 6271370, 6271402, 6271466, 6271530, 6271594, 6271626, 6271690, 6271754, 6271786, 6271850, 6271914, 6271978, 6272010, 6272074, 6272138, 6272170, 6272234, 6272298, 6272330, 6272394, 6272458, 6272490, 6272554, 6272618, 6272650, 6272714, 6272778, 6272810, 6272874, 6272938, 6272970, 6273034, 6273066, 6273130, 6273194]"
