req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit,plane
0,STEER,0,4,268435456,1,1,0,0,True,O
1,STEER,2,5,268435456,2518079,2518079,0,0,True,O
,STEER,0,4,268435456,46874175,46874175,0,0,True,O
,STEER,2,5,148373504,49392253,49392253,0,0,True,O
3,STEER,2,7,120061952,49392253,52994112,3601859,0,,E
,STEER,0,4,93323264,97922877,97922877,0,0,True,O
2,STEER,0,6,14417920,97922877,98355414,432537,0,,E
4,STEER,0,4,4456448,97922877,98633286,710409,0,,E
6,STEER,0,6,156237824,97922877,103364984,5442107,0,,E
,STEER,2,7,268435456,104036478,112089542,8053064,0,,E
,STEER,0,6,268435456,158291299,166344363,8053064,0,,E
,STEER,2,7,268435456,160925124,160925124,0,0,True,O
,STEER,2,7,268435456,213921794,213921794,0,0,True,O
,STEER,0,6,268435456,215728649,223781713,8053064,0,,E
,STEER,2,7,48889856,270817280,270817280,0,0,True,O
5,STEER,2,5,49020928,270817280,272287908,1470628,0,,E
7,STEER,2,7,4456448,270817280,271306178,488898,0,False,O
8,STEER,2,4,150077440,270817280,277280440,6463160,0,,E
10,STEER,2,6,15990784,270817280,279260938,8443658,0,,E
,STEER,0,6,222429184,277311151,277311151,0,0,True,O
9,STEER,0,5,26345472,277311151,278101515,790364,0,,E
11,STEER,0,7,19660800,277311151,278954793,1643642,0,,E
,STEER,0,7,268435456,336366803,336366803,0,0,True,O
,STEER,2,6,1966080,340091444,340091444,0,0,True,O
,STEER,0,7,268435456,383555441,383555441,0,0,True,O
,STEER,0,7,268435456,434947855,434947855,0,0,True,O
,STEER,0,7,148504576,490229773,490229773,0,0,True,O
12,STEER,2,4,203816960,1228984341,1228984341,0,0,True,O
13,STEER,0,5,268435456,1232637784,1232637784,0,0,True,O
14,STEER,2,6,239468544,1266859480,1274043536,7184056,0,,E
16,STEER,2,4,28966912,1266859480,1266859480,0,0,True,O
,STEER,0,5,241827840,1279511958,1279511958,0,0,True,O
15,STEER,0,7,26607616,1279511958,1280310186,798228,0,,E
,STEER,2,4,59506688,1320911374,1320911374,0,0,True,O
18,STEER,2,6,20709376,1320911374,1321532656,621282,0,,E
19,STEER,2,7,188219392,1320911374,1327386331,6474957,0,,E
,STEER,0,7,25034752,1331352552,1332103595,751043,0,,E
17,STEER,0,5,243400704,1331352552,1331352552,0,0,True,O
,STEER,2,7,268435456,1374732965,1374732965,0,0,True,O
,STEER,0,5,268435456,1379413161,1379413161,0,0,True,O
,STEER,2,7,268435456,1424659043,1424659043,0,0,True,O
,STEER,0,5,268435456,1430125287,1430125287,0,0,True,O
,STEER,2,7,138280960,1478622945,1478622945,0,0,True,O
21,STEER,2,6,130154496,1478622945,1480005754,1382809,10000000,False,O
,STEER,0,5,194379776,1484771781,1484771781,0,0,True,O
20,STEER,0,5,74055680,1484771781,1486715578,1943797,0,False,O
,STEER,2,6,73793536,1537855256,1537855256,0,0,True,O
23,STEER,2,5,20840448,1537855256,1538480469,625213,0,,E
25,STEER,2,7,173801472,1537855256,1543902917,6047661,0,,E
,STEER,0,5,25952256,1545343896,1545343896,0,0,True,O
22,STEER,0,7,242483200,1545343896,1552618392,7274496,0,,E
,STEER,2,7,149159936,1592878511,1597353309,4474798,0,,E
26,STEER,2,5,119275520,1592878511,1602423173,9544662,0,,E
,STEER,0,7,268435456,1600715030,1608768094,8053064,0,,E
,STEER,2,5,268435456,1652111075,1656122232,4011157,10000000,False,O
,STEER,0,7,158597120,1659467228,1664225141,4757913,0,,E
24,STEER,0,6,60030976,1659467228,1667612042,8144814,0,,E
27,STEER,0,7,49807360,1659467228,1669706572,10239344,0,,E
,STEER,2,5,137756672,1704946006,1704946006,0,0,True,O
29,STEER,2,7,95682560,1704946006,1706323572,1377566,10000000,False,O
31,STEER,2,5,34996224,1704946006,1705995892,1049886,0,,E
,STEER,0,7,164102144,1724337334,1724337334,0,0,True,O
28,STEER,0,7,104333312,1724337334,1725978355,1641021,0,False,O
,STEER,2,5,268435456,1759303134,1767356198,8053064,0,,E
,STEER,0,7,232128512,1773702321,1773702321,0,0,True,O
30,STEER,0,4,36306944,1773702321,1774791529,1089208,0,,E
,STEER,2,5,33292288,1814803396,1815802165,998769,0,,E
33,STEER,2,7,213647360,1814803396,1822544508,7741112,0,,E
35,STEER,2,5,21495808,1814803396,1825325855,10522459,0,,E
,STEER,0,4,268435456,1823368551,1831421615,8053064,0,,E
,STEER,2,5,268435456,1876965481,1876965481,0,0,True,O
,STEER,0,4,268435456,1878898317,1878898317,0,0,True,O
,STEER,2,5,268435456,1924191655,1924191655,0,0,True,O
,STEER,0,4,96337920,1930563883,1930563883,0,0,True,O
32,STEER,0,6,172097536,1930563883,1931527262,963379,10000000,False,O
,STEER,2,5,268435456,1975614949,1975614949,0,0,True,O
,STEER,0,6,68026368,1987089564,1987089564,0,0,True,O
34,STEER,0,4,200409088,1987089564,1993101837,6012273,0,,E
,STEER,2,5,147849216,2030928899,2030928899,0,0,True,O
37,STEER,2,7,42860544,2030928899,2032214715,1285816,0,,E
39,STEER,2,4,77725696,2030928899,2034975091,4046192,0,,E
,STEER,0,4,268435456,2042761067,2042761067,0,0,True,O
,STEER,0,4,268435456,2092869737,2092869737,0,0,True,O
,STEER,2,4,268435456,2094352381,2102405445,8053064,0,,E
,STEER,0,4,126091264,2146991271,2146991271,0,0,True,O
36,STEER,0,6,136839168,2146991271,2151096446,4105175,0,,E
38,STEER,0,4,5505024,2146991271,2148252183,1260912,0,False,O
,STEER,2,4,93061120,2150573987,2153365820,2791833,0,,E
,STEER,0,4,208142336,2209109512,2209109512,0,0,True,O
