req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit,plane
0,CORD,0,4,268435456,1,1,0,0,True,O0
1,CORD,2,5,268435456,2518079,2518079,0,0,True,O0
,CORD,0,4,268435456,46874175,46874175,0,0,True,O0
,CORD,2,5,148373504,49392253,49392253,0,0,True,O0
3,STEER,2,7,120061952,49392253,52994112,3601859,0,,E
,CORD,0,4,93323264,97922877,97922877,0,0,True,O0
2,STEER,0,6,14417920,97922877,98355414,432537,0,,E
4,STEER,0,4,4456448,97922877,98633286,710409,0,,E
6,STEER,0,6,156237824,97922877,103364984,5442107,0,,E
,STEER,2,7,268435456,104036478,112089542,8053064,0,,E
,STEER,0,6,268435456,158291299,166344363,8053064,0,,E
,CORD,2,7,268435456,160925124,160925124,0,0,True,O0
,CORD,2,7,268435456,213921794,213921794,0,0,True,O0
,STEER,0,6,268435456,215728649,223781713,8053064,0,,E
,CORD,2,7,48889856,270817280,270817280,0,0,True,O0
5,STEER,2,5,49020928,270817280,272287908,1470628,0,,E
7,CORD,2,7,4456448,270817280,271306178,488898,0,False,O0
8,STEER,2,4,150077440,270817280,277280440,6463160,0,,E
10,STEER,2,6,15990784,270817280,279260938,8443658,0,,E
,CORD,0,6,222429184,277311151,277311151,0,0,True,O0
9,STEER,0,5,26345472,277311151,278101515,790364,0,,E
11,STEER,0,7,19660800,277311151,278954793,1643642,0,,E
,CORD,0,7,268435456,336366803,336366803,0,0,True,O1
,CORD,2,6,1966080,340091444,340091444,0,0,True,O0
,CORD,0,7,268435456,383555441,383555441,0,0,True,O1
,CORD,0,7,268435456,434947855,434947855,0,0,True,O1
,CORD,0,7,148504576,490229773,490229773,0,0,True,O1
12,CORD,2,4,203816960,1228984341,1228984341,0,0,True,O0
13,CORD,0,5,268435456,1232637784,1232637784,0,0,True,O0
14,CORD,2,6,239468544,1266859480,1266859480,0,0,True,O0
16,STEER,2,4,28966912,1266859480,1267728487,869007,0,,E
,CORD,0,5,241827840,1279511958,1279511958,0,0,True,O0
15,STEER,0,7,26607616,1279511958,1280310186,798228,0,,E
,CORD,2,4,59506688,1314596325,1314596325,0,0,True,O0
18,CORD,2,6,20709376,1314596325,1315191391,595066,10000000,False,O0
19,CORD,2,7,188219392,1314596325,1315398484,802159,10000000,False,O0
,CORD,0,7,25034752,1331352552,1331352552,0,0,True,O1
17,CORD,0,5,243400704,1331352552,1334361238,3008686,0,False,O0
,CORD,2,7,268435456,1362745118,1362745118,0,0,True,O0
,CORD,0,5,268435456,1381670804,1381670804,0,0,True,O0
,CORD,2,7,268435456,1412671196,1412671196,0,0,True,O0
,CORD,0,5,268435456,1432382930,1432382930,0,0,True,O0
,CORD,2,7,138280960,1466635098,1466635098,0,0,True,O0
21,CORD,2,6,130154496,1466635098,1468017907,1382809,10000000,False,O0
,CORD,0,5,194379776,1487029424,1487029424,0,0,True,O0
20,CORD,0,5,74055680,1487029424,1488973221,1943797,0,False,O0
,CORD,2,6,73793536,1525867409,1525867409,0,0,True,O0
23,STEER,2,5,20840448,1525867409,1526492622,625213,0,,E
25,CORD,2,7,173801472,1525867409,1526605344,737935,10000000,False,O0
,CORD,0,5,25952256,1547601539,1547601539,0,0,True,O0
22,CORD,0,7,242483200,1547601539,1547861061,259522,10000000,False,O0
,STEER,2,7,149159936,1575580938,1580055736,4474798,0,,E
26,CORD,2,5,119275520,1575580938,1575580938,0,0,True,O0
,CORD,0,7,268435456,1595957699,1595957699,0,0,True,O0
,CORD,2,5,268435456,1629743638,1629743638,0,0,True,O0
,CORD,0,7,158597120,1646656833,1646656833,0,0,True,O0
24,CORD,0,6,60030976,1646656833,1648242804,1585971,10000000,False,O0
27,STEER,0,7,49807360,1646656833,1648151054,1494221,0,,E
,CORD,2,5,137756672,1678567412,1678567412,0,0,True,O0
28,CORD,2,7,130678784,1678567412,1679944978,1377566,10000000,False,O0
,CORD,0,7,164102144,1702873566,1702873566,0,0,True,O0
29,CORD,0,7,95682560,1702873566,1704514587,1641021,0,False,O0
31,STEER,0,5,8650752,1702873566,1703133089,259523,0,,E
,STEER,2,7,205783040,1732923184,1739096675,6173491,0,,E
30,CORD,2,4,62652416,1732923184,1732923184,0,0,True,O0
,CORD,0,5,268435456,1752239909,1752239909,0,0,True,O0
,CORD,2,4,268435456,1788078145,1788078145,0,0,True,O0
,CORD,0,5,59637760,1799260419,1799260419,0,0,True,O0
33,CORD,0,7,208797696,1799260419,1799856796,596377,10000000,False,O0
,CORD,2,4,268435456,1835992511,1835992511,0,0,True,O0
,CORD,0,7,4849664,1851053370,1851053370,0,0,True,O0
35,CORD,0,4,263585792,1851053370,1851101866,48496,10000000,False,O0
,STEER,2,4,69992448,1888061277,1890161050,2099773,0,,E
32,CORD,2,6,198443008,1888061277,1888061277,0,0,True,O0
,CORD,0,4,268435456,1901323496,1901323496,0,0,True,O0
,CORD,2,6,41680896,1946160536,1946160536,0,0,True,O0
34,CORD,2,4,226754560,1946160536,1946577344,416808,10000000,False,O0
,STEER,0,4,268435456,1952309510,1960362574,8053064,0,,E
,CORD,2,4,268435456,1996650974,1996650974,0,0,True,O0
,STEER,0,4,174194688,2015240332,2020466173,5225841,0,,E
37,STEER,0,4,42860544,2015240332,2023493935,8253603,0,,E
39,CORD,0,4,51380224,2015240332,2025284896,10044564,10000000,False,O0
,STEER,2,4,268435456,2047119580,2055172644,8053064,0,,E
,CORD,0,4,268435456,2084244234,2084244234,0,0,True,O0
,STEER,2,4,99745792,2109621314,2112613688,2992374,0,,E
36,STEER,2,4,136839168,2109621314,2117716320,8095006,0,,E
38,CORD,2,4,31850496,2109621314,2122006824,12385510,10000000,False,O0
,CORD,0,4,119406592,2131999496,2131999496,0,0,True,O0
,CORD,2,4,181796864,2180361458,2180361458,0,0,True,O0
