req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit,plane
0,IDEAL,0,4,143917056,1,1,0,0,,O
1,IDEAL,2,5,143917056,4347012,4347012,0,0,,O
0,IDEAL,0,4,143917056,44700994,44700994,0,0,,O
1,IDEAL,2,5,79547904,49048005,49048005,0,0,,O
3,IDEAL,2,7,64369152,49048005,49048005,0,0,,O
0,IDEAL,0,4,50033664,100845407,100845407,0,0,,O
2,IDEAL,0,6,7729920,100845407,100845407,0,0,,O
4,IDEAL,0,4,2389248,100845407,100845407,0,0,,O
7,IDEAL,0,7,2389248,100845407,100845407,0,0,,O
3,IDEAL,2,7,143917056,105195319,105195319,0,0,,O
8,IDEAL,0,4,80461440,135476581,135476581,0,0,,O
9,IDEAL,0,6,14124672,135476581,135476581,0,0,,O
11,IDEAL,0,4,49330944,135476581,135476581,0,0,,O
3,IDEAL,2,7,143917056,156413735,156413735,0,0,,O
11,IDEAL,0,4,143917056,180180658,180180658,0,0,,O
3,IDEAL,2,7,143917056,217453947,217453947,0,0,,O
11,IDEAL,0,4,143917056,230534643,230534643,0,0,,O
3,IDEAL,2,7,26211456,288020770,288020770,0,0,,O
5,IDEAL,2,5,26281728,288020770,288020770,0,0,,O
6,IDEAL,2,6,91423872,288020770,288020770,0,0,,O
11,IDEAL,0,4,143917056,290582385,290582385,0,0,,O
11,IDEAL,0,4,40828032,360015645,360015645,0,0,,O
6,IDEAL,2,6,143917056,367490638,367490638,0,0,,O
6,IDEAL,2,6,143917056,420647512,420647512,0,0,,O
6,IDEAL,2,6,111591936,483305017,483305017,0,0,,O
10,IDEAL,2,7,9627264,483305017,483305017,0,0,,O
12,IDEAL,2,5,109272960,2457579195,2457579195,0,0,,O
13,IDEAL,0,6,143917056,2465367113,2465367113,0,0,,O
14,IDEAL,2,7,128386944,2492514591,2492514591,0,0,,O
16,IDEAL,2,5,15530112,2492514591,2492514591,0,0,,O
13,IDEAL,0,6,129651840,2510068106,2510068106,0,0,,O
15,IDEAL,0,4,14265216,2510068106,2510068106,0,0,,O
16,IDEAL,2,5,31903488,2537218549,2537218549,0,0,,O
18,IDEAL,2,7,11102976,2537218549,2537218549,0,0,,O
19,IDEAL,2,4,143917056,2554263150,2554263150,0,0,,O
