req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit,plane
0,PQPS,0,4,143917056,1,1,0,0,True,O
1,PQPS,2,5,143917056,4347012,4347012,0,0,True,O
,PQPS,0,4,143917056,44700994,44700994,0,0,,O
,PQPS,2,5,79547904,49048005,49048005,0,0,,O
3,PQPS,2,7,64369152,49048005,59843484,10795479,0,False,O
,PQPS,0,4,50033664,100845407,100845407,0,0,,O
2,PQPS,0,6,7729920,100845407,111345743,10500336,0,False,O
4,PQPS,0,4,2389248,100845407,121423042,20577635,0,False,O
7,PQPS,0,7,2389248,100845407,131446934,30601527,0,False,O
,PQPS,2,7,143917056,105195319,115195319,10000000,10000000,,O
8,PQPS,0,4,80461440,135476581,145476581,10000000,0,False,O
9,PQPS,0,6,14124672,135476581,156281195,20804614,0,False,O
11,PQPS,0,4,49330944,135476581,166422441,30945860,0,False,O
,PQPS,2,7,143917056,156413735,156413735,0,0,,O
,PQPS,0,4,143917056,180180658,180180658,0,0,,O
,PQPS,2,7,143917056,217453947,217453947,0,0,,O
,PQPS,0,4,143917056,230534643,230534643,0,0,,O
,PQPS,2,7,26211456,288020770,292939032,4918262,0,,O
5,PQPS,2,5,26281728,288020770,303201146,15180376,0,False,O
6,PQPS,2,6,91423872,288020770,288030533,9763,0,False,O
,PQPS,0,4,143917056,290582385,290582385,0,0,,O
,PQPS,0,4,40828032,360015645,360015645,0,0,,O
,PQPS,2,6,143917056,367490638,367490638,0,0,,O
,PQPS,2,6,143917056,420647512,420647512,0,0,,O
,PQPS,2,6,111591936,483305017,483305017,0,0,,O
10,PQPS,2,7,9627264,483305017,484420936,1115919,0,False,O
12,PQPS,2,5,109272960,2457579195,2457579195,0,0,True,O
13,PQPS,0,6,143917056,2465367113,2465367113,0,0,True,O
14,PQPS,2,7,128386944,2492514591,2502514591,10000000,0,False,O
16,PQPS,2,5,15530112,2492514591,2513798460,21283869,0,False,O
,PQPS,0,6,129651840,2510068106,2510068106,0,0,,O
15,PQPS,0,4,14265216,2510068106,2521364624,11296518,0,False,O
,PQPS,2,5,31903488,2537218549,2537218549,0,0,,O
18,PQPS,2,7,11102976,2537218549,2547537583,10319034,0,False,O
19,PQPS,2,4,143917056,2554263150,2557648612,3385462,0,False,O
,PQPS,0,4,13421952,2566215420,2576215420,10000000,10000000,,O
17,PQPS,0,6,130495104,2566215420,2586349639,20134219,0,False,O
,PQPS,2,4,143917056,2598964207,2608964207,10000000,10000000,,O
,PQPS,0,6,143917056,2614119984,2614119984,0,0,,O
,PQPS,2,4,143917056,2655108556,2655108556,0,0,,O
,PQPS,0,6,143917056,2669619749,2669619749,0,0,,O
,PQPS,2,4,31130496,2720432676,2720432676,0,0,,O
21,PQPS,2,4,109343232,2720432676,2720743980,311304,0,False,O
22,PQPS,2,5,3443328,2720432676,2731837412,11404736,0,False,O
,PQPS,0,6,104213376,2734311357,2734311357,0,0,,O
20,PQPS,0,6,39703680,2734311357,2735353490,1042133,0,False,O
,PQPS,2,5,143917056,2796292500,2796292500,0,0,,O
,PQPS,0,6,13913856,2809350737,2809350737,0,0,,O
23,PQPS,0,5,11173248,2809350737,2819489875,10139138,0,False,O
25,PQPS,0,5,118829952,2809350737,2809489875,139138,0,False,O
,PQPS,2,5,143917056,2843722758,2853722758,10000000,10000000,,O
,PQPS,0,5,54320256,2859002399,2869002399,10000000,10000000,,O
27,PQPS,0,6,89596800,2859002399,2879545601,20543202,0,False,O
,PQPS,2,5,67671936,2900180220,2910180220,10000000,10000000,,O
24,PQPS,2,5,32184576,2900180220,2910856939,10676719,0,False,O
26,PQPS,2,5,44060544,2900180220,2911178784,10998564,0,False,O
,PQPS,0,6,25087104,2913888538,2913888538,0,0,,O
29,PQPS,0,4,51298560,2913888538,2924139409,10250871,0,False,O
31,PQPS,0,6,67531392,2913888538,2934652394,20763856,0,False,O
,PQPS,2,5,143917056,2965816264,2965816264,0,0,,O
,PQPS,0,6,112997376,2966915513,2966915513,0,0,,O
34,PQPS,0,6,30919680,2966915513,2968045486,1129973,0,False,O
,PQPS,2,5,93742848,3015803151,3015803151,0,0,,O
28,PQPS,2,7,50174208,3015803151,3026740579,10937428,0,False,O
,PQPS,0,6,143917056,3018292749,3018292749,0,0,,O
,PQPS,0,6,143917056,3067358292,3067358292,0,0,,O
,PQPS,2,7,130214016,3075487611,3075487611,0,0,,O
30,PQPS,2,5,13703040,3075487611,3086789751,11302140,0,False,O
,PQPS,2,5,143917056,3125899580,3125899580,0,0,,O
,PQPS,0,6,143917056,3126080077,3126080077,0,0,,O
