instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
2,0,deepseek-ai/DeepSeek-V3-0324,4808,10,0,190827160,190827160,100845407,135476581,6150064,"[6139621, 6141699, 6139801, 6142004, 6140106, 6142248, 6140289, 6142431, 6222380]"
2,4,deepseek-ai/DeepSeek-V3-0324,34,12,37082833,202863029,165780196,63762574,98393748,6126040,"[6139621, 6141699, 6139801, 6142004, 6140106, 6142248, 6140289, 6142431, 6222380, 6019166, 6016703]"
2,8,deepseek-ai/DeepSeek-V3-0324,1145,7,108276000,220810366,112534366,27200581,71904658,6771618,"[10646502, 6019166, 6016703, 5982997, 5981605, 5982735]"
2,11,deepseek-ai/DeepSeek-V3-0324,7427,8,116590583,442065784,325475201,243425062,280621763,6407634,"[6407080, 6408149, 6407141, 6408210, 6407263, 6408271, 6407324]"
2,15,deepseek-ai/DeepSeek-V3-0324,394,17,2473262750,2709634261,236371511,92952670,140857234,5969642,"[5963613, 5965289, 5965074, 5966814, 5966538, 5968339, 5968063, 5969803, 5969527, 5971267, 5970991, 5972731, 5972455, 5974195, 5973919, 5975659]"
2,19,deepseek-ai/DeepSeek-V3-0324,6587,18,2540227166,2903347930,363120764,180205510,256065334,6297378,"[6295903, 6297920, 6296022, 6298103, 6296144, 6298225, 6296266, 6298347, 6296388, 6298530, 6296571, 6298652, 6296693, 6298835, 6296876, 6298957, 6296998]"
2,21,deepseek-ai/DeepSeek-V3-0324,1556,18,2581971250,2903347930,321376680,138461426,214321250,6297378,"[6295903, 6297920, 6296022, 6298103, 6296144, 6298225, 6296266, 6298347, 6296388, 6298530, 6296571, 6298652, 6296693, 6298835, 6296876, 6298957, 6296998]"
2,29,deepseek-ai/DeepSeek-V3-0324,730,36,2756666250,3176947688,420281438,157222288,210249263,6000919,"[6002958, 6003780, 6002650, 6003475, 6002345, 6003170, 6002040, 6002865, 6001735, 6002621, 6001430, 6002316, 6001125, 6002011, 6000881, 6001706, 6000576, 6001401, 6000271, 6001157, 5999966, 6000852, 5999722, 6000547, 5999417, 6000242, 5999112, 5999998, 5998807, 5999693, 5998563, 5999388, 5998258, 5999144, 5997953]"
3,1,deepseek-ai/DeepSeek-V3-0324,3180,8,4333333,148366017,144032684,44714672,100861986,6167242,"[6166685, 6167626, 6166740, 6167809, 6166862, 6167931, 6167045]"
3,5,deepseek-ai/DeepSeek-V3-0324,374,14,44932250,444882895,399950645,243088520,322558388,5953250,"[5948183, 5949856, 5949641, 5951442, 5951227, 5953028, 5952813, 5954553, 5954338, 5956139, 5955924, 5957664, 5957449]"
3,16,deepseek-ai/DeepSeek-V3-0324,675,6,2476457333,2589079371,112622038,60761216,77805817,6963244,"[10567737, 6061111, 6063131, 6061111, 6063131]"
3,12,deepseek-ai/DeepSeek-V3-0324,1555,19,2456589083,2601127586,144538503,990112,35925508,6034055,"[6022234, 6023239, 6022353, 6023422, 6022536, 6023605, 6022658, 6023788, 6022841, 6023971, 6023024, 6062625, 6061111, 6063131, 6061111, 6063131, 6023573, 6024642]"
3,22,deepseek-ai/DeepSeek-V3-0324,5108,12,2607118000,3040051398,432933398,293062220,358698264,6748648,"[11528957, 6267823, 6272046, 6268128, 6272351, 6268494, 6272717, 6268860, 6273083, 6269226, 6273449]"
3,25,deepseek-ai/DeepSeek-V3-0324,2464,30,2636668500,3095501747,458833247,222333899,277220038,6262524,"[8630485, 6070390, 6068370, 6070451, 6068431, 6070451, 6068431, 6070512, 6068492, 6270670, 6267823, 6272046, 6268128, 6272351, 6268494, 6272717, 6268860, 6273083, 6269226, 6273449, 6125024, 6128174, 6125268, 6128418, 6125451, 6128601, 6228356, 6232518, 6228539]"
3,38,deepseek-ai/DeepSeek-V3-0324,1630,9,2831919583,3351734409,519814826,439791428,465632156,6772833,"[8686720, 6501487, 6495610, 6501853, 6495976, 6502219, 6496281, 6502524]"
3,30,deepseek-ai/DeepSeek-V3-0324,5108,10,2778339583,3358153209,579813626,452771661,519306787,6722982,"[8592089, 6501487, 6495610, 6501853, 6495976, 6502219, 6496281, 6502524, 6418800]"
3,36,deepseek-ai/DeepSeek-V3-0324,1044,16,2815084000,3370540106,555456106,378970644,456627011,6588606,"[9455322, 6193539, 6189560, 6193722, 6495305, 6501487, 6495610, 6501853, 6495976, 6502219, 6496281, 6502524, 6418800, 6195629, 6191268]"
3,24,deepseek-ai/DeepSeek-V3-0324,458,67,2621251416,3382922947,761671531,278928804,344564848,6319798,"[11528957, 6267823, 6272046, 6268128, 6272351, 6268494, 6272717, 6268860, 6273083, 6269226, 6273449, 6125024, 6128174, 6125268, 6128418, 6125451, 6128601, 6228356, 6232518, 6228539, 6189619, 6186207, 6189296, 6186329, 6189418, 6186512, 6189601, 6186634, 6189784, 6186817, 6189906, 6187000, 6190089, 6187122, 6190272, 6187305, 6190394, 6187488, 6190577, 6187610, 6190699, 6187793, 6190882, 6187915, 6191065, 6188098, 6191187, 6188281, 6191370, 6189316, 6193539, 6189560, 6193722, 6495305, 6501487, 6495610, 6501853, 6495976, 6502219, 6496281, 6502524, 6418800, 6195629, 6191268, 6193157, 6189684]"
3,26,deepseek-ai/DeepSeek-V3-0324,4009,51,2650593500,3389026598,738433098,365209651,424894111,6270779,"[7553079, 6232518, 6228539, 6189619, 6186207, 6189296, 6186329, 6189418, 6186512, 6189601, 6186634, 6189784, 6186817, 6189906, 6187000, 6190089, 6187122, 6190272, 6187305, 6190394, 6187488, 6190577, 6187610, 6190699, 6187793, 6190882, 6187915, 6191065, 6188098, 6191187, 6188281, 6191370, 6189316, 6193539, 6189560, 6193722, 6495305, 6501487, 6495610, 6501853, 6495976, 6502219, 6496281, 6502524, 6418800, 6195629, 6191268, 6193157, 6189684, 6103651]"
3,33,deepseek-ai/DeepSeek-V3-0324,1630,9,2798887333,3454945869,656058536,551554703,605414822,6330464,"[8261849, 6053425, 6055506, 6053608, 6055689, 6053791, 6055872, 6053974]"
3,23,deepseek-ai/DeepSeek-V3-0324,159,127,2621223916,3624640245,1003416329,188126821,237778483,6076490,"[5738767, 5740992, 5741204, 5743493, 5743705, 5745994, 5746206, 5748434, 5748646, 5750874, 6068309, 6070390, 6068370, 6070451, 6068431, 6070451, 6068431, 6070512, 6068492, 6270670, 6267823, 6272046, 6268128, 6272351, 6268494, 6272717, 6268860, 6273083, 6269226, 6273449, 6125024, 6128174, 6125268, 6128418, 6125451, 6128601, 6228356, 6232518, 6228539, 6189619, 6186207, 6189296, 6186329, 6189418, 6186512, 6189601, 6186634, 6189784, 6186817, 6189906, 6187000, 6190089, 6187122, 6190272, 6187305, 6190394, 6187488, 6190577, 6187610, 6190699, 6187793, 6190882, 6187915, 6191065, 6188098, 6191187, 6188281, 6191370, 6189316, 6193539, 6189560, 6193722, 6495305, 6501487, 6495610, 6501853, 6495976, 6502219, 6496281, 6502524, 6418800, 6195629, 6191268, 6193157, 6189684, 6103651, 5826360, 5828222, 5828007, 6054817, 6053425, 6055506, 6053608, 6055689, 6053791, 6055872, 6053974, 5836841, 5836486, 5838592, 5838743, 5840910, 5841061, 5843167, 5843318, 5845485, 5845575, 5847681, 5847832, 5849938, 5850028, 5852134, 5852224, 5854330, 5854420, 5856526, 5856616, 5858661, 5858751, 5860857, 5860886, 5862931, 5863021, 5865066, 5865095, 5867201]"
4,2,deepseek-ai/DeepSeek-V3-0324,110,27,8182416,284261713,276079297,92662991,127294165,5722505,"[5680939, 5682737, 5682522, 5684384, 5684169, 5685970, 5685755, 5687495, 5731284, 5734219, 5732992, 5735927, 5734761, 5737635, 5736469, 5739343, 5738177, 5740990, 5739824, 5742637, 5741471, 5744284, 5743057, 5745931, 5744704, 5747456]"
4,9,deepseek-ai/DeepSeek-V3-0324,201,24,108278083,313291158,205013075,27198498,71902575,5787413,"[6501178, 5734219, 5732992, 5735927, 5734761, 5737635, 5736469, 5739343, 5738177, 5740990, 5739824, 5742637, 5741471, 5744284, 5743057, 5745931, 5744704, 5747456, 5803607, 5805591, 5805498, 5807421, 5807328]"
4,6,deepseek-ai/DeepSeek-V3-0324,6985,9,58214250,598579195,540364945,425090767,489250490,6389306,"[6388658, 6389727, 6388719, 6389788, 6388841, 6389849, 6388902, 6389971]"
4,13,deepseek-ai/DeepSeek-V3-0324,3893,19,2465033916,2678121359,213087443,45034190,101181504,6216996,"[6216095, 6217036, 6216089, 6217158, 6216211, 6217280, 6216333, 6217402, 6216455, 6217524, 6216577, 6217646, 6216699, 6217768, 6216821, 6217890, 6216943, 6218012]"
4,17,deepseek-ai/DeepSeek-V3-0324,7436,9,2514822416,2860615624,345793208,219488941,294528321,6408110,"[6407574, 6408515, 6407507, 6408576, 6407629, 6408637, 6407690, 6408759]"
