req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit,plane
0,STEER,0,4,143917056,1,1,0,0,True,O
1,STEER,2,5,143917056,4347012,4347012,0,0,True,O
,STEER,0,4,143917056,44700994,44700994,0,0,True,O
,STEER,2,5,79547904,49048005,49048005,0,0,True,O
3,STEER,2,7,64369152,49048005,50979080,1931075,0,,E
,STEER,0,4,50033664,100845407,100845407,0,0,True,O
2,STEER,0,6,7729920,100845407,101077304,231897,0,,E
4,STEER,0,4,2389248,100845407,101226280,380873,0,,E
7,STEER,0,7,2389248,100845407,101321849,476442,0,,E
,STEER,2,7,143917056,105195319,109512831,4317512,0,,E
8,STEER,0,4,80461440,135476581,135476581,0,0,True,O
9,STEER,0,6,14124672,135476581,135900321,423740,0,,E
11,STEER,0,4,49330944,135476581,136281195,804614,0,False,O
,STEER,2,7,143917056,156413735,160731247,4317512,0,,E
,STEER,0,4,143917056,180180658,182824646,2643988,0,False,O
,STEER,2,7,143917056,217453947,221771459,4317512,0,,E
,STEER,0,4,143917056,230534643,230534643,0,0,True,O
,STEER,2,7,26211456,288020770,288807114,786344,0,,E
5,STEER,2,5,26281728,288020770,289857680,1836910,0,,E
6,STEER,2,6,91423872,288020770,292863213,4842443,0,,E
,STEER,0,4,143917056,290582385,290582385,0,0,True,O
,STEER,0,4,40828032,360015645,360015645,0,0,True,O
,STEER,2,6,143917056,367490638,367490638,0,0,True,O
,STEER,2,6,143917056,420647512,420647512,0,0,True,O
,STEER,2,6,111591936,483305017,483305017,0,0,True,O
10,STEER,2,7,9627264,483305017,483593835,288818,0,,E
12,STEER,2,5,109272960,2457579195,2457579195,0,0,True,O
13,STEER,0,6,143917056,2465367113,2465367113,0,0,True,O
14,STEER,2,7,128386944,2492514591,2496366199,3851608,0,,E
16,STEER,2,5,15530112,2492514591,2492514591,0,0,True,O
,STEER,0,6,129651840,2510068106,2510068106,0,0,True,O
15,STEER,0,4,14265216,2510068106,2510496062,427956,0,,E
,STEER,2,5,31903488,2537218549,2537218549,0,0,True,O
18,STEER,2,7,11102976,2537218549,2537551639,333090,0,,E
19,STEER,2,4,143917056,2554263150,2554263150,0,0,True,O
,STEER,0,4,13421952,2566215420,2566618079,402659,0,,E
17,STEER,0,6,130495104,2566215420,2566215420,0,0,True,O
,STEER,2,4,143917056,2598964207,2598964207,0,0,True,O
,STEER,0,6,143917056,2614119984,2614119984,0,0,True,O
,STEER,2,4,143917056,2655108556,2655108556,0,0,True,O
,STEER,0,6,143917056,2669619749,2669619749,0,0,True,O
,STEER,2,4,31130496,2720432676,2720432676,0,0,True,O
21,STEER,2,4,109343232,2720432676,2720743980,311304,0,False,O
22,STEER,2,5,3443328,2720432676,2720535976,103300,0,,E
,STEER,0,6,104213376,2734311357,2734311357,0,0,True,O
20,STEER,0,6,39703680,2734311357,2735353490,1042133,0,False,O
,STEER,2,5,143917056,2796292500,2800610012,4317512,0,,E
,STEER,0,6,13913856,2809350737,2809350737,0,0,True,O
23,STEER,0,5,11173248,2809350737,2809685934,335197,0,,E
25,STEER,0,5,118829952,2809350737,2813362565,4011828,0,,E
,STEER,2,5,143917056,2843722758,2848040270,4317512,0,,E
,STEER,0,5,54320256,2859002399,2860632007,1629608,0,,E
27,STEER,0,6,89596800,2859002399,2859002399,0,0,True,O
,STEER,2,5,67671936,2900180220,2902210378,2030158,0,,E
24,STEER,2,5,32184576,2900180220,2903852635,3672415,0,,E
26,STEER,2,5,44060544,2900180220,2905496296,5316076,0,,E
,STEER,0,6,25087104,2913888538,2913888538,0,0,True,O
29,STEER,0,4,51298560,2913888538,2915427495,1538957,0,,E
31,STEER,0,6,67531392,2913888538,2914139409,250871,0,False,O
,STEER,2,5,143917056,2965816264,2965816264,0,0,True,O
,STEER,0,6,112997376,2966915513,2966915513,0,0,True,O
34,STEER,0,6,30919680,2966915513,2967843104,927591,0,,E
,STEER,2,5,93742848,3015803151,3015803151,0,0,True,O
28,STEER,2,7,50174208,3015803151,3017308377,1505226,0,,E
,STEER,0,6,143917056,3018292749,3018292749,0,0,True,O
,STEER,0,6,143917056,3067358292,3067358292,0,0,True,O
,STEER,2,7,130214016,3075487611,3079394031,3906420,0,,E
30,STEER,2,5,13703040,3075487611,3075487611,0,0,True,O
,STEER,2,5,143917056,3125899580,3125899580,0,0,True,O
,STEER,0,6,143917056,3126080077,3126080077,0,0,True,O
,STEER,2,5,143917056,3173762450,3173762450,0,0,True,O
,STEER,0,6,210816,3194054644,3194054644,0,0,True,O
36,STEER,0,5,73363968,3194054644,3196255563,2200919,0,,E
37,STEER,0,7,22978944,3194054644,3197678570,3623926,0,,E
38,STEER,0,5,47363328,3194054644,3199329259,5274615,0,,E
,STEER,2,5,57412224,3231111244,3231111244,0,0,True,O
32,STEER,2,7,86504832,3231111244,3231685366,574122,10000000,False,O
,STEER,0,5,67180032,3271711011,3271711011,0,0,True,O
,STEER,2,7,42233472,3297646370,3297646370,0,0,True,O
33,STEER,2,5,101683584,3297646370,3300696878,3050508,0,,E
,STEER,2,5,12859776,3350442036,3350827830,385794,0,,E
35,STEER,2,7,131057280,3350442036,3353581791,3139755,0,False,O
,STEER,2,7,143917056,3404302155,3404302155,0,0,True,O
,STEER,2,7,143917056,3459830160,3459830160,0,0,True,O
,STEER,2,7,103651200,3524548916,3524548916,0,0,True,O
39,STEER,2,7,40265856,3524548916,3525585428,1036512,0,False,O
,STEER,2,7,143917056,3599623124,3599623124,0,0,True,O
,STEER,2,7,51298560,3649317519,3649317519,0,0,True,O
