req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit,plane
0,STEER,0,4,143917056,1,1,0,0,True,O
1,STEER,2,5,143917056,4347012,4347012,0,0,True,O
,STEER,0,4,143917056,44700994,44700994,0,0,True,O
,STEER,2,5,79547904,49048005,49048005,0,0,True,O
3,STEER,2,7,64369152,49048005,50979080,1931075,0,,E
,STEER,0,4,50033664,100845407,100845407,0,0,True,O
2,STEER,0,6,7729920,100845407,101077304,231897,0,,E
4,STEER,0,4,2389248,100845407,101226280,380873,0,,E
,STEER,2,7,143917056,105195319,109512831,4317512,0,,E
,STEER,2,7,143917056,156413735,160731247,4317512,0,,E
,STEER,2,7,143917056,217453947,217453947,0,0,True,O
,STEER,2,7,26211456,288020770,288020770,0,0,True,O
