label,sweep,mode,topology,fabric,panel,ep,per_device_batch,wg_count,intra_opt_bw,inter_bw,status,ttft_ms,e2e_latency_ms,tpot_avg_ms,tpot_steady_ms,tpot_gt_ms,tpot_gt_overlap_ms,exposed_frac_overlap,interactivity_tok_s_user,n_completed,total_cycles,exposed_cycles,compute_cycles,exposed_frac,all_to_all_us,weight_load_us,elapsed_s,error
epscale_fb_ep8,epscale,controlled,glass_fb,glass_fb,16,8,4,5,640,0,ok,206.51297300000007,1000.2706440000002,34.51120249999999,34.43805899999999,34.4,34.13579191362941,0.001934978446077109,29.037641174840903,32,1000270644.0,62740491.0,937530153.0,0.009600584533814856,4.893013333333334,51323.25658746268,25.650762796401978,
epscale_nvl72_ep8,epscale,controlled,nvl72,nvl72,64,8,4,0,900,0,ok,221.787864,1024.2615000000003,34.890157625,34.81701400000001,34.8,34.23260844019093,0.0041436483053896925,28.721589967479687,32,1024261500.0,86731347.0,937530153.0,0.020380443958658918,4.893013333333334,51323.25658746268,24.409600973129272,
epscale_fb_ep16,epscale,controlled,glass_fb,glass_fb,16,16,4,5,640,0,ok,224.78343000000015,1026.7591069999992,34.86850725000003,34.70578100000014,34.7,34.17686514114987,0.0038266738090927672,28.81364346764005,64,1026759107.0,119915675.0,906843432.0,0.01884491566463023,4.893013333333334,25661.62829373134,52.213693380355835,
epscale_nvl72_ep16,epscale,controlled,nvl72,nvl72,64,16,4,0,900,0,ok,257.234751,1077.8554700000018,35.679161250000014,35.51643499999997,35.5,34.328731646023556,0.008529796309209978,28.15597905589344,64,1077855470.0,171012038.0,906843432.0,0.04124184344987488,4.893013333333334,25661.62829373134,50.228142499923706,
epscale_fb_ep32,epscale,controlled,glass_fb,glass_fb,16,32,4,5,640,512,ok,119.956082,915.4181639999982,34.58530740625002,34.24341600000013,34.2,34.056685905707056,0.0010520261329136959,29.202694030291728,128,915418164.0,33980622.0,881437542.0,0.005238088241701369,8.600999999999999,12830.81414686567,95.0823028087616,
epscale_nvl72_ep32,epscale,controlled,nvl72,nvl72,64,32,4,0,900,0,ok,359.9674749999999,1219.656091000001,37.377765437499995,37.03587399999999,37.0,34.631573391977774,0.017097307283841578,27.00084788062515,128,1219656091.0,338218549.0,881437542.0,0.0800144124331832,4.893013333333334,12830.81414686567,109.65762329101562,
epscale_fb_ep64,epscale,controlled,glass_fb,glass_fb,16,64,4,5,640,512,ok,144.13422699999998,545.7572910000004,17.461871859375,16.76165000000018,16.8,16.269973032597257,0.008144250859248872,59.65999767325945,256,545757291.0,88354478.0,457402813.0,0.03943653031270422,8.600999999999999,6415.407073432835,198.07389378547668,
epscale_nvl72_ep64,epscale,controlled,nvl72,nvl72,64,64,4,0,900,0,ok,605.20108,1129.373388000002,22.790099890624983,22.089878000000073,22.1,17.312919389204595,0.06912584329625494,45.269602665981076,256,1129373388.0,671970575.0,457402813.0,0.27076247798616543,4.893013333333334,6415.407073432835,274.39110469818115,
epscale_fb_ep8,epscale,controlled,glass_fb,glass_fb,16,8,16,5,640,0,ok,552.8824890312503,1896.2614755937482,58.40778146874995,50.6548934145833,51.3,50.51687897773277,0.003875541393859734,19.74142935837478,128,1945699943.5,242884324.5,1702815619.0,0.019081896254074658,17.559324444444442,51323.25658746268,26.048802137374878,
epscale_nvl72_ep8,epscale,controlled,nvl72,nvl72,64,8,16,0,900,0,ok,598.2680781562501,1969.2532949687468,59.60805243749993,51.20418877708316,51.8,50.57736657069074,0.006043382209314975,19.529652239067556,128,2019224209.5,316408590.5,1702815619.0,0.02950370244472147,17.559324444444442,51323.25658746268,25.3896381855011,
