label,sweep,mode,topology,fabric,panel,ep,per_device_batch,wg_count,intra_opt_bw,inter_bw,status,ttft_ms,e2e_latency_ms,tpot_avg_ms,tpot_steady_ms,tpot_gt_ms,tpot_gt_overlap_ms,exposed_frac_overlap,interactivity_tok_s_user,n_completed,total_cycles,exposed_cycles,compute_cycles,exposed_frac,all_to_all_us,weight_load_us,elapsed_s,error
epscale_fb_ep8,epscale,controlled,glass_fb,glass_fb,16,8,4,5,640,0,ok,125.91182499999996,591.5174559999998,20.243722624999993,20.155745466666662,20.2,19.90312856398799,0.003728954408569185,49.613644985435464,32,591517456.0,58215793.0,533301663.0,0.01837075717896097,4.278044444444444,1059.218263880597,47.49890899658203,
epscale_nvl72_ep8,epscale,controlled,nvl72,nvl72,64,8,4,0,900,0,ok,139.51585600000004,617.651864,20.788521499999998,20.70054446666665,20.7,19.96784426814197,0.009166684721021159,48.30790811373413,32,617651864.0,84350201.0,533301663.0,0.04421230264843163,4.278044444444444,1059.218263880597,15.837063550949097,
epscale_fb_ep16,epscale,controlled,glass_fb,glass_fb,16,16,4,5,640,0,ok,155.11983700000008,632.4027459999999,20.75143043749999,20.558171466666682,20.6,20.00267024572031,0.0074656251758123925,48.642458383101555,64,632402746.0,111763635.0,520639111.0,0.036245737516971605,4.278044444444444,1059.218263880597,37.17464256286621,
epscale_nvl72_ep16,epscale,controlled,nvl72,nvl72,64,16,4,0,900,0,ok,184.0304439999999,688.1278800000002,21.917279312500007,21.72402046666667,21.7,20.175216276480317,0.01889426738509404,46.03199493088306,64,688127880.0,167488769.0,520639111.0,0.08783316379721674,4.278044444444444,1059.218263880597,33.617467403411865,
epscale_fb_ep32,epscale,controlled,glass_fb,glass_fb,16,32,4,5,640,512,ok,72.04137199999998,541.5124799999999,20.411786843749983,20.007964466666547,20.0,19.8228562752004,0.0022340842603648255,49.9800967592685,128,541512480.0,36202607.0,505309873.0,0.01107148279997483,7.5200000000000005,1059.218263880597,60.315451860427856,
epscale_nvl72_ep32,epscale,controlled,nvl72,nvl72,64,32,4,0,900,0,ok,283.7430020000002,837.9645099999999,24.096586812500007,23.69276446666689,23.7,20.57946041678977,0.03790842325322016,42.20697848099954,128,837964510.0,332654637.0,505309873.0,0.16458542105539187,4.278044444444444,1059.218263880597,84.60930824279785,
epscale_fb_ep64,epscale,controlled,glass_fb,glass_fb,16,64,4,5,640,512,ok,98.43016000000001,323.36446199999995,9.779751781250017,8.954802466666719,9.0,8.30276724777712,0.020993987047196426,111.67192171154993,256,323364462.0,94254695.0,229109767.0,0.09683788225317759,7.5200000000000005,1059.218263880597,133.51160669326782,
epscale_nvl72_ep64,epscale,controlled,nvl72,nvl72,64,64,4,0,900,0,ok,505.01832400000023,891.4799699999999,16.802679765625022,15.977730466666726,16.0,9.68229946521417,0.16312500345304293,62.58711161051523,256,891479970.0,662370203.0,229109767.0,0.49357035428014295,4.278044444444444,1059.218263880597,253.29898738861084,
epscale_fb_ep128,epscale,controlled,glass_fb,glass_fb,16,128,4,5,640,512,ok,167.846018,468.30003600000003,13.063217695312503,11.396014466665683,11.4,8.751899143094532,0.075643606422124,87.74997635577644,512,468300036.0,237943923.0,230356113.0,0.29036193606419614,7.5200000000000005,1059.218263880597,415.1117994785309,
epscale_nvl72_ep128,epscale,controlled,nvl72,nvl72,64,128,4,0,900,50.0,ok,203.01959599999972,447.38700999999975,10.62466969531252,8.95746646666664,9.0,8.300753220614599,0.02105973882131709,111.63870986526082,512,447387010.0,217030897.0,230356113.0,0.09711760824797233,77.0048,1059.218263880597,266.90719842910767,
epscale_fb_ep8,epscale,controlled,glass_fb,glass_fb,16,8,4,5,640,0,ok,125.91182499999996,591.5174559999998,20.243722624999993,20.155745466666662,20.2,19.90312856398799,0.003728954408569185,49.613644985435464,32,591517456.0,58215793.0,533301663.0,0.01837075717896097,4.278044444444444,1059.218263880597,17.07306480407715,
epscale_nvl72_ep8,epscale,controlled,nvl72,nvl72,64,8,4,0,900,0,ok,139.51585600000004,617.651864,20.788521499999998,20.70054446666665,20.7,19.96784426814197,0.009166684721021159,48.30790811373413,32,617651864.0,84350201.0,533301663.0,0.04421230264843163,4.278044444444444,1059.218263880597,15.969534158706665,
epscale_fb_ep16,epscale,controlled,glass_fb,glass_fb,16,16,4,5,640,0,ok,155.11983700000008,632.4027459999999,20.75143043749999,20.558171466666682,20.6,20.00267024572031,0.0074656251758123925,48.642458383101555,64,632402746.0,111763635.0,520639111.0,0.036245737516971605,4.278044444444444,1059.218263880597,38.05370759963989,
epscale_nvl72_ep16,epscale,controlled,nvl72,nvl72,64,16,4,0,900,0,ok,184.0304439999999,688.1278800000002,21.917279312500007,21.72402046666667,21.7,20.175216276480317,0.01889426738509404,46.03199493088306,64,688127880.0,167488769.0,520639111.0,0.08783316379721674,4.278044444444444,1059.218263880597,36.08468723297119,
epscale_fb_ep32,epscale,controlled,glass_fb,glass_fb,16,32,4,5,640,512,ok,72.04137199999998,541.5124799999999,20.411786843749983,20.007964466666547,20.0,19.8228562752004,0.0022340842603648255,49.9800967592685,128,541512480.0,36202607.0,505309873.0,0.01107148279997483,7.5200000000000005,1059.218263880597,60.72698163986206,
epscale_nvl72_ep32,epscale,controlled,nvl72,nvl72,64,32,4,0,900,0,ok,283.7430020000002,837.9645099999999,24.096586812500007,23.69276446666689,23.7,20.57946041678977,0.03790842325322016,42.20697848099954,128,837964510.0,332654637.0,505309873.0,0.16458542105539187,4.278044444444444,1059.218263880597,84.65251326560974,
epscale_fb_ep64,epscale,controlled,glass_fb,glass_fb,16,64,4,5,640,512,ok,98.43016000000001,323.36446199999995,9.779751781250017,8.954802466666719,9.0,8.30276724777712,0.020993987047196426,111.67192171154993,256,323364462.0,94254695.0,229109767.0,0.09683788225317759,7.5200000000000005,1059.218263880597,131.82770109176636,
epscale_nvl72_ep64,epscale,controlled,nvl72,nvl72,64,64,4,0,900,0,ok,505.01832400000023,891.4799699999999,16.802679765625022,15.977730466666726,16.0,9.68229946521417,0.16312500345304293,62.58711161051523,256,891479970.0,662370203.0,229109767.0,0.49357035428014295,4.278044444444444,1059.218263880597,248.14641499519348,
epscale_fb_ep128,epscale,controlled,glass_fb,glass_fb,16,128,4,5,640,512,ok,167.846018,468.30003600000003,13.063217695312503,11.396014466665683,11.4,8.751899143094532,0.075643606422124,87.74997635577644,512,468300036.0,237943923.0,230356113.0,0.29036193606419614,7.5200000000000005,1059.218263880597,410.1113862991333,
epscale_fb_ep8,epscale,controlled,glass_fb,glass_fb,16,8,16,5,640,0,ok,355.90112275000007,1154.863284218751,34.737484757812524,29.882280506250186,30.2,29.43815711558829,0.006469858841879507,33.4646480475558,128,1183946239.5,220545942.5,963400297.0,0.031533231970683286,15.400960000000001,1059.218263880597,18.224182844161987,
