req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit
,NEGOTIATOR,0,2,268435456,1,19000000,18999999,1000000,
,NEGOTIATOR,0,2,268435456,65874174,79000000,13125826,1000000,
,NEGOTIATOR,0,2,93323264,130048702,145000000,14951298,1000000,
,NEGOTIATOR,0,3,175112192,130048702,151000000,20951298,1000000,
,NEGOTIATOR,0,3,241696768,205925694,223000000,17074306,1000000,
,NEGOTIATOR,0,2,14417920,205925694,229000000,23074306,1000000,
,NEGOTIATOR,0,3,12320768,205925694,235000000,29074306,1000000,
,NEGOTIATOR,0,3,268435456,284711114,301000000,16288886,1000000,
,NEGOTIATOR,0,3,268435456,348074654,367000000,18925346,1000000,
,NEGOTIATOR,0,3,268435456,418266910,433000000,14733090,1000000,
,NEGOTIATOR,0,3,156631040,488152766,505000000,16847234,1000000,
,NEGOTIATOR,0,3,4456448,488152766,511000000,22847234,1000000,
