req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit
,QPSFIT,0,2,268435456,1,4000000,3999999,1000000,
,QPSFIT,0,2,268435456,50874174,52000000,1125826,1000000,
,QPSFIT,0,2,93323264,103048702,106000000,2951298,1000000,
,QPSFIT,0,3,175112192,103048702,107935000,4886298,1000000,
,QPSFIT,0,3,241696768,162860694,166000000,3139306,1000000,
,QPSFIT,0,2,14417920,162860694,169420000,6559306,1000000,
,QPSFIT,0,3,12320768,162860694,170575000,7714306,1000000,
,QPSFIT,0,3,268435456,220286114,223000000,2713886,1000000,
,QPSFIT,0,3,268435456,270074654,274000000,3925346,1000000,
,QPSFIT,0,3,268435456,325266910,328000000,2733090,1000000,
,QPSFIT,0,3,156631040,383152766,385000000,1847234,1000000,
,QPSFIT,0,2,4456448,383152766,387580000,4427234,1000000,
