req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit
0,REACTIVE,0,2,268435456,1,10000001,10000000,10000000,
,REACTIVE,0,2,268435456,56874175,56874175,0,0,
,REACTIVE,0,2,93323264,107922877,107922877,0,0,
1,REACTIVE,0,2,175112192,107922877,108856109,933232,0,
,REACTIVE,0,2,241696768,163781803,163781803,0,0,
2,REACTIVE,0,2,14417920,163781803,166198770,2416967,0,
3,REACTIVE,0,2,12320768,163781803,166342949,2561146,0,
,REACTIVE,0,2,268435456,216054063,216054063,0,0,
,REACTIVE,0,2,268435456,263128717,263128717,0,0,
,REACTIVE,0,2,268435456,314395627,314395627,0,0,
,REACTIVE,0,2,156631040,369548393,369548393,0,0,
4,REACTIVE,0,2,4456448,369548393,371114703,1566310,0,
