prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12.4157
0,0,1,32,12.352
0,0,1,64,12.3523
0,0,1,128,13.7387
0,0,1,256,14.656
0,0,1,512,15.445
0,0,1,1024,16.736
0,0,1,2048,17.9623
0,0,1,4096,21.0237
0,0,1,8192,26.795
0,0,1,16384,38.9013
0,0,1,32768,60.2347
0,0,2,16,12.6507
0,0,2,32,12.5227
0,0,2,64,12.6723
0,0,2,128,14.144
0,0,2,256,14.9017
0,0,2,512,16.7797
0,0,2,1024,18.0697
0,0,2,2048,20.5867
0,0,2,4096,26.7947
0,0,2,8192,37.6537
0,0,2,16384,58.5387
0,0,2,32768,101.781
0,0,4,16,12.8743
0,0,4,32,13.0457
0,0,4,64,12.949
0,0,4,128,14.5493
0,0,4,256,15.264
0,0,4,512,18.0803
0,0,4,1024,20.8323
0,0,4,2048,26.6137
0,0,4,4096,37.962
0,0,4,8192,58.6987
0,0,4,16384,100.981
0,0,4,32768,185.792
0,0,8,16,13.28
0,0,8,32,13.258
0,0,8,64,13.4613
0,0,8,128,14.6233
0,0,8,256,15.6053
0,0,8,512,20.7147
0,0,8,1024,26.624
0,0,8,2048,37.4933
0,0,8,4096,58.8697
0,0,8,8192,101.803
0,0,8,16384,185.792
0,0,8,32768,355.712
0,0,16,16,13.7913
0,0,16,32,13.8233
0,0,16,64,13.9093
0,0,16,128,15.691
0,0,16,256,18.5173
0,0,16,512,27.0507
0,0,16,1024,39.4243
0,0,16,2048,60.5973
0,0,16,4096,102.837
0,0,16,8192,187.626
0,0,16,16384,356.309
0,0,16,32768,692.405
0,0,32,16,17.984
0,0,32,32,18.059
0,0,32,64,18.1653
0,0,32,128,21.269
0,0,32,256,27.3383
0,0,32,512,41.9193
0,0,32,1024,63.595
0,0,32,2048,105.109
0,0,32,4096,189.28
0,0,32,8192,355.552
0,0,32,16384,690.901
0,0,32,32768,1365.01
0,0,64,16,24.4587
0,0,64,32,24.928
0,0,64,64,25.664
0,0,64,128,32.48
0,0,64,256,44.224
0,0,64,512,69.3433
0,0,64,1024,112
0,0,64,2048,192.383
0,0,64,4096,358.197
0,0,64,8192,691.829
0,0,64,16384,1365.65
0,0,64,32768,2709.59
0,0,128,16,37.3867
0,0,128,32,37.7067
0,0,128,64,39.1997
0,0,128,128,54.4847
0,0,128,256,73.4933
0,0,128,512,121.696
0,0,128,1024,205.428
0,0,128,2048,365.866
0,0,128,4096,695.381
0,0,128,8192,1362.93
