layer,tokens,time_us
act_fn,1,5.78133
act_fn,2,5.824
act_fn,3,5.90933
act_fn,4,6.05867
act_fn,5,5.89867
act_fn,6,5.89867
act_fn,7,5.89867
act_fn,8,5.941
act_fn,9,5.99467
act_fn,10,6.00567
act_fn,11,6.00533
act_fn,12,5.98433
act_fn,13,5.89867
act_fn,14,5.97333
act_fn,15,6.02633
act_fn,16,5.94133
act_fn,20,6.02667
act_fn,24,6.02667
act_fn,28,6.15433
act_fn,32,6.13367
act_fn,36,6.12267
act_fn,40,6.19733
act_fn,44,6.25067
act_fn,48,6.219
act_fn,52,5.62133
act_fn,56,5.52533
act_fn,60,5.632
act_fn,64,5.632
act_fn,80,6.70967
act_fn,96,7.11467
act_fn,112,7.06133
act_fn,128,7.49867
act_fn,144,9.632
act_fn,160,10.1653
act_fn,176,10.667
act_fn,192,11.552
act_fn,208,11.872
act_fn,224,12.277
act_fn,240,12.779
act_fn,256,13.8987
act_fn,272,16.3627
act_fn,288,17.8773
act_fn,304,20.096
act_fn,320,20.181
act_fn,336,20.416
act_fn,352,20.437
act_fn,368,20.8533
act_fn,384,21.5573
act_fn,400,21.3753
act_fn,416,22.0373
act_fn,432,23.2207
act_fn,448,24.085
act_fn,464,24.7353
act_fn,480,25.4183
act_fn,496,26.6243
act_fn,512,27.36
act_fn,528,28.5013
act_fn,544,30.2933
act_fn,560,32.853
act_fn,576,33.0663
act_fn,592,33.4507
act_fn,608,33.962
act_fn,624,34.624
act_fn,640,35.4773
act_fn,656,35.9783
act_fn,672,36.1493
act_fn,688,36.8107
act_fn,704,38.0373
act_fn,720,38.5387
act_fn,736,39.925
act_fn,752,41.1307
act_fn,768,41.3547
act_fn,784,41.6853
act_fn,800,43.3707
act_fn,816,43.7977
act_fn,832,45.4827
act_fn,848,46.3363
act_fn,864,46.6023
act_fn,880,47.2317
act_fn,896,48.0743
act_fn,912,48.2563
act_fn,928,49.824
act_fn,944,50.336
act_fn,960,50.9127
act_fn,976,52.1917
act_fn,992,54.688
act_fn,1008,54.5707
act_fn,1024,56.331
act_fn,1040,55.3283
act_fn,1056,56.8103
act_fn,1072,57.3547
act_fn,1088,58.9867
act_fn,1104,59.9787
act_fn,1120,61.7173
act_fn,1136,62.144
act_fn,1152,62.9973
act_fn,1168,64.0853
act_fn,1184,65.1417
act_fn,1200,65.6107
act_fn,1216,66.421
act_fn,1232,67.8613
act_fn,1248,68.2133
act_fn,1264,69.014
act_fn,1280,70.5813
act_fn,1296,71.1253
act_fn,1312,71.5303
act_fn,1328,72.768
act_fn,1344,73.867
act_fn,1360,74.9337
act_fn,1376,74.6453
act_fn,1392,76.3517
act_fn,1408,76.7253
act_fn,1424,78.3253
act_fn,1440,79.7547
act_fn,1456,80.5757
act_fn,1472,80.8857
act_fn,1488,83.264
act_fn,1504,83.712
act_fn,1520,84.2987
act_fn,1536,84.9067
act_fn,1552,86.0907
act_fn,1568,86.6133
act_fn,1584,88.0103
act_fn,1600,87.0827
act_fn,1616,86.88
act_fn,1632,89.6323
act_fn,1648,89.6427
act_fn,1664,92.5123
act_fn,1680,92.0747
act_fn,1696,92.5117
act_fn,1712,93.536
act_fn,1728,94.7303
act_fn,1744,96.2133
act_fn,1760,96.9067
act_fn,1776,97.6
act_fn,1792,98.432
act_fn,1808,98.208
act_fn,1824,99.9997
act_fn,1840,100.085
act_fn,1856,101.824
act_fn,1872,102.4
act_fn,1888,103.819
act_fn,1904,104.363
act_fn,1920,105.717
act_fn,1936,107.627
act_fn,1952,107.541
act_fn,1968,108.907
act_fn,1984,109.888
act_fn,2000,110.603
act_fn,2016,111.435
act_fn,2032,112.747
act_fn,2048,113.291
down_proj,1,155.36
down_proj,2,154.272
down_proj,3,155.488
down_proj,4,156.245
down_proj,5,155.53
down_proj,6,156.128
down_proj,7,156.416
down_proj,8,156.554
down_proj,9,156.074
down_proj,10,155.434
down_proj,11,155.893
down_proj,12,156.138
down_proj,13,156.683
down_proj,14,155.68
down_proj,15,156.139
down_proj,16,156.309
down_proj,20,157.227
down_proj,24,157.387
down_proj,28,158.26
down_proj,32,159.488
down_proj,36,160.511
down_proj,40,161.237
down_proj,44,160.704
down_proj,48,160.662
down_proj,52,162.165
down_proj,56,162.795
down_proj,60,164.224
down_proj,64,164.107
down_proj,80,165.642
down_proj,96,170.026
down_proj,112,169.717
down_proj,128,172.032
down_proj,144,175.264
down_proj,160,170.261
down_proj,176,173.259
down_proj,192,174.922
down_proj,208,177.941
down_proj,224,181.376
down_proj,240,185.279
down_proj,256,176.309
down_proj,272,186.976
down_proj,288,202.378
down_proj,304,188.725
down_proj,320,190.016
down_proj,336,251.584
down_proj,352,230.411
down_proj,368,225.195
down_proj,384,225.963
down_proj,400,215.297
down_proj,416,235.008
down_proj,432,223.029
down_proj,448,262.507
down_proj,464,248.811
down_proj,480,248.459
down_proj,496,263.85
down_proj,512,263.04
down_proj,528,269.824
down_proj,544,320.031
down_proj,560,320.448
down_proj,576,322.944
down_proj,592,313.792
down_proj,608,323.744
down_proj,624,316.064
down_proj,640,329.653
down_proj,656,374.997
down_proj,672,448.181
down_proj,688,400.736
down_proj,704,449.686
down_proj,720,435.222
down_proj,736,435.509
down_proj,752,437.035
down_proj,768,436.896
down_proj,784,442.656
down_proj,800,495.231
down_proj,816,425.142
down_proj,832,565.249
down_proj,848,432.533
down_proj,864,452.234
down_proj,880,452.277
down_proj,896,521.471
down_proj,912,481.973
down_proj,928,480.758
down_proj,944,480.746
down_proj,960,550.006
down_proj,976,511.637
down_proj,992,511.979
down_proj,1008,511.413
down_proj,1024,511.82
down_proj,1040,527.04
down_proj,1056,629.205
down_proj,1072,541.44
down_proj,1088,630.763
down_proj,1104,632.374
down_proj,1120,633.056
down_proj,1136,634.944
down_proj,1152,636.887
down_proj,1168,610.091
down_proj,1184,636.683
down_proj,1200,605.748
down_proj,1216,643.147
down_proj,1232,621.003
down_proj,1248,635.904
down_proj,1264,636.203
down_proj,1280,642.858
down_proj,1296,791.211
down_proj,1312,668.927
down_proj,1328,684.298
down_proj,1344,1009.59
down_proj,1360,808.054
down_proj,1376,805.738
down_proj,1392,820.202
down_proj,1408,1012.05
down_proj,1424,803.445
down_proj,1440,812.629
down_proj,1456,768.35
down_proj,1472,765.014
down_proj,1488,768.884
down_proj,1504,762.452
down_proj,1520,764.64
down_proj,1536,768.448
down_proj,1552,862.057
down_proj,1568,1049.46
down_proj,1584,900.692
down_proj,1600,1041.26
down_proj,1616,810.943
down_proj,1632,1055.15
down_proj,1648,972.267
down_proj,1664,984.543
down_proj,1680,969.556
down_proj,1696,970.613
down_proj,1712,970.774
down_proj,1728,976.395
down_proj,1744,1067.07
down_proj,1760,952.331
down_proj,1776,972.448
down_proj,1792,1000.63
down_proj,1808,968.905
down_proj,1824,954.08
down_proj,1840,969.376
down_proj,1856,1051.81
down_proj,1872,971.039
down_proj,1888,959.819
down_proj,1904,966.847
down_proj,1920,1008.06
down_proj,1936,1173.25
down_proj,1952,1065.95
down_proj,1968,1015.7
down_proj,1984,1028.05
down_proj,2000,1016.12
down_proj,2016,1024.25
down_proj,2032,1024.12
down_proj,2048,1017.21
embedding,1,3.87133
embedding,2,3.96833
embedding,3,4.30933
embedding,4,4.672
embedding,5,4.90567
embedding,6,5.21567
embedding,7,5.461
embedding,8,5.504
embedding,9,5.92
embedding,10,6.21833
embedding,11,6.40067
embedding,12,6.63467
embedding,13,7.05033
embedding,14,7.37067
embedding,15,7.47733
embedding,16,7.648
embedding,20,3.41333
embedding,24,3.29567
embedding,28,3.37067
embedding,32,3.275
embedding,36,3.349
embedding,40,3.38133
embedding,44,3.38133
embedding,48,3.28567
embedding,52,3.47733
embedding,56,3.47733
embedding,60,3.392
embedding,64,3.20067
embedding,80,3.27467
embedding,96,3.392
embedding,112,3.47733
embedding,128,3.57333
embedding,144,3.95733
embedding,160,4
embedding,176,4.032
embedding,192,4.096
embedding,208,4.28867
embedding,224,4.288
embedding,240,4.416
embedding,256,4.52233
embedding,272,5.152
embedding,288,5.20533
embedding,304,5.45067
embedding,320,5.515
embedding,336,5.51433
embedding,352,5.471
embedding,368,5.63133
