layer,sequences,time_us
lm_head,1,355.457
lm_head,2,354.252
lm_head,3,356.832
lm_head,4,354.666
lm_head,5,355.819
lm_head,6,356.276
lm_head,7,355.925
lm_head,8,358.112
lm_head,9,356.309
lm_head,10,358.272
lm_head,11,356.811
lm_head,12,357.6
lm_head,13,361.696
lm_head,14,356.864
lm_head,15,358.741
lm_head,16,356.384
lm_head,20,357.514
lm_head,24,357.653
lm_head,28,360.661
lm_head,32,360.81
lm_head,36,362.187
lm_head,40,360.992
lm_head,44,367.114
lm_head,48,363.648
lm_head,52,371.552
lm_head,56,369.6
lm_head,60,370.976
lm_head,64,371.115
lm_head,80,371.893
lm_head,96,367.659
lm_head,112,367.552
lm_head,128,369.728
lm_head,144,374.379
lm_head,160,377.013
lm_head,176,364.309
lm_head,192,376.266
lm_head,208,370.144
lm_head,224,376.554
lm_head,240,381.653
lm_head,256,384.192
sampler,1,21.6643
sampler,2,21.4403
sampler,3,21.7067
sampler,4,21.067
sampler,5,21.4183
sampler,6,20.9603
sampler,7,21.2593
sampler,8,21.1627
sampler,9,21.312
sampler,10,21.2693
sampler,11,21.206
sampler,12,21.4513
sampler,13,21.7063
sampler,14,21.4933
sampler,15,21.9093
sampler,16,21.9093
sampler,20,23.3173
sampler,24,23.4347
sampler,28,24.0213
sampler,32,24.2347
sampler,36,24.8853
sampler,40,25.4507
sampler,44,26.0267
sampler,48,26.261
sampler,52,26.9013
sampler,56,27.4347
sampler,60,28
sampler,64,28.4587
sampler,80,32.203
sampler,96,39.381
sampler,112,45.323
sampler,128,49.7603
sampler,144,54.827
sampler,160,59.52
sampler,176,63.222
sampler,192,68.2027
sampler,208,72.8107
sampler,224,77.1197
sampler,240,81.9623
sampler,256,86.432
