layer,tokens,time_us
embedding,1,3.80733
embedding,2,4.011
embedding,3,4.288
embedding,4,4.44833
embedding,5,4.90733
embedding,6,5.152
embedding,7,5.26933
embedding,8,5.472
embedding,9,5.84533
embedding,10,6.25067
embedding,11,6.432
embedding,12,6.677
embedding,13,7.02933
embedding,14,7.25333
embedding,15,7.60567
embedding,16,7.552
embedding,20,3.168
embedding,24,3.08267
embedding,28,3.264
embedding,32,2.976
embedding,36,3.17833
embedding,40,2.99733
embedding,44,3.2
embedding,48,3.00767
embedding,52,3.28533
embedding,56,3.104
embedding,60,3.30667
embedding,64,3.136
embedding,80,3.15733
embedding,96,3.2
embedding,112,3.30667
embedding,128,3.254
embedding,144,3.51
embedding,160,3.53033
embedding,176,3.488
embedding,192,3.53033
embedding,208,3.552
embedding,224,3.71233
embedding,240,3.71133
embedding,256,3.765
embedding,272,4.01067
embedding,288,4.07433
embedding,304,4.11767
embedding,320,4.11667
embedding,336,4.16
embedding,352,4.18133
embedding,368,4.298
embedding,384,4.299
embedding,400,4.62967
embedding,416,4.63
embedding,432,4.672
embedding,448,4.736
embedding,464,4.80033
embedding,480,4.80033
embedding,496,4.821
embedding,512,4.864
embedding,528,4.90633
embedding,544,5.216
embedding,560,5.27933
embedding,576,5.32267
embedding,592,5.323
embedding,608,5.333
embedding,624,5.376
embedding,640,5.34367
embedding,656,5.41867
embedding,672,5.46133
embedding,688,5.49333
embedding,704,5.429
embedding,720,5.51467
embedding,736,5.42967
embedding,752,5.54667
embedding,768,5.472
embedding,784,5.50433
embedding,800,5.63167
embedding,816,5.578
embedding,832,5.546
embedding,848,5.685
embedding,864,5.64267
embedding,880,5.72833
embedding,896,5.685
embedding,912,5.76
embedding,928,5.77033
embedding,944,5.824
embedding,960,5.89867
embedding,976,5.90933
embedding,992,5.942
embedding,1008,6.037
embedding,1024,6.00533
embedding,1040,6.19767
embedding,1056,6.15467
embedding,1072,6.50667
embedding,1088,6.432
embedding,1104,6.57067
embedding,1120,6.55967
embedding,1136,6.54933
embedding,1152,6.62367
embedding,1168,6.70967
embedding,1184,6.60267
embedding,1200,6.61267
embedding,1216,6.688
embedding,1232,6.72
embedding,1248,6.74133
embedding,1264,6.741
embedding,1280,6.912
embedding,1296,6.89067
embedding,1312,6.82667
embedding,1328,6.88
embedding,1344,6.86967
embedding,1360,6.86933
embedding,1376,6.98667
embedding,1392,6.96567
embedding,1408,7.01867
embedding,1424,6.94433
embedding,1440,7.08233
embedding,1456,7.12533
embedding,1472,7.02933
embedding,1488,7.18933
embedding,1504,7.24267
embedding,1520,7.21033
embedding,1536,7.382
embedding,1552,7.31733
embedding,1568,7.36
embedding,1584,7.39167
embedding,1600,7.37067
embedding,1616,7.42333
embedding,1632,7.488
embedding,1648,7.54167
embedding,1664,7.616
embedding,1680,7.59467
embedding,1696,7.584
embedding,1712,7.64767
embedding,1728,7.69067
embedding,1744,7.62667
embedding,1760,7.76533
embedding,1776,7.71167
embedding,1792,7.733
embedding,1808,7.82933
embedding,1824,7.78667
embedding,1840,7.86167
embedding,1856,7.86133
embedding,1872,7.90367
embedding,1888,7.84
embedding,1904,7.925
embedding,1920,7.99967
embedding,1936,7.89333
embedding,1952,8.096
embedding,1968,8.10667
embedding,1984,7.989
embedding,2000,8.13867
embedding,2016,8.05333
embedding,2032,8.21333
embedding,2048,8.23467
embedding,2064,8.21333
embedding,2080,8.19167
embedding,2096,8.256
embedding,2112,8.352
embedding,2128,8.46933
embedding,2144,8.48
embedding,2160,8.40533
embedding,2176,8.469
embedding,2192,8.48033
embedding,2208,8.64
embedding,2224,8.736
embedding,2240,8.65067
embedding,2256,8.84267
embedding,2272,8.81067
embedding,2288,8.87467
embedding,2304,9.03467
embedding,2320,8.99167
embedding,2336,9.035
embedding,2352,9.024
embedding,2368,9.27967
embedding,2384,9.18433
embedding,2400,9.216
embedding,2416,9.06667
embedding,2432,9.13033
embedding,2448,9.419
embedding,2464,9.429
embedding,2480,9.54633
embedding,2496,9.6
embedding,2512,9.578
embedding,2528,9.64267
embedding,2544,9.76
embedding,2560,9.696
embedding,2576,9.74933
embedding,2592,9.74933
embedding,2608,9.739
embedding,2624,9.78133
embedding,2640,9.78133
embedding,2656,9.803
embedding,2672,9.86667
embedding,2688,9.88733
embedding,2704,9.899
embedding,2720,9.96267
embedding,2736,9.963
embedding,2752,10.059
embedding,2768,10.1123
embedding,2784,9.995
embedding,2800,10.144
embedding,2816,10.1867
embedding,2832,10.1117
embedding,2848,10.0907
embedding,2864,10.1547
embedding,2880,10.336
embedding,2896,10.4007
embedding,2912,10.4853
embedding,2928,10.3257
embedding,2944,10.3893
embedding,2960,10.3787
embedding,2976,10.5067
embedding,2992,10.6453
embedding,3008,10.5487
embedding,3024,10.5927
embedding,3040,10.5387
embedding,3056,10.6027
embedding,3072,10.667
embedding,3088,10.6773
embedding,3104,10.688
embedding,3120,10.6677
embedding,3136,10.8057
embedding,3152,10.72
embedding,3168,10.763
embedding,3184,10.8373
embedding,3200,10.8693
embedding,3216,10.827
embedding,3232,10.998
embedding,3248,10.891
embedding,3264,11.2
embedding,3280,11.136
embedding,3296,11.2427
embedding,3312,11.1897
embedding,3328,11.168
embedding,3344,11.2533
embedding,3360,11.328
embedding,3376,11.392
embedding,3392,11.3923
embedding,3408,11.5093
embedding,3424,11.605
embedding,3440,11.6587
embedding,3456,11.5307
embedding,3472,11.6487
embedding,3488,11.5413
embedding,3504,11.7123
embedding,3520,11.6477
embedding,3536,11.8187
embedding,3552,11.6373
embedding,3568,11.712
embedding,3584,11.7547
embedding,3600,11.8397
embedding,3616,11.7227
embedding,3632,11.9467
embedding,3648,11.8827
embedding,3664,11.904
embedding,3680,12.1173
embedding,3696,12.021
embedding,3712,11.9463
embedding,3728,12.064
embedding,3744,11.9897
embedding,3760,12.1917
embedding,3776,12.0107
embedding,3792,12.0853
embedding,3808,12.1917
embedding,3824,12.405
embedding,3840,12.0527
embedding,3856,12.3307
embedding,3872,12.2133
embedding,3888,12.3093
embedding,3904,12.352
embedding,3920,12.32
embedding,3936,12.4587
embedding,3952,12.3307
embedding,3968,12.5553
embedding,3984,12.5867
embedding,4000,12.5227
embedding,4016,12.5973
embedding,4032,12.6507
embedding,4048,12.704
embedding,4064,12.5977
embedding,4080,12.6927
embedding,4096,12.8427
embedding,4112,12.7147
embedding,4128,12.7467
embedding,4144,13.024
embedding,4160,12.8107
embedding,4176,13.0983
embedding,4192,12.928
embedding,4208,12.9813
embedding,4224,12.843
embedding,4240,13.227
embedding,4256,13.1307
embedding,4272,13.2373
embedding,4288,13.163
embedding,4304,13.1627
embedding,4320,13.3123
embedding,4336,13.2047
embedding,4352,13.472
embedding,4368,13.3437
embedding,4384,13.4827
embedding,4400,13.3763
embedding,4416,13.4613
embedding,4432,13.4827
embedding,4448,13.5573
embedding,4464,13.664
embedding,4480,13.8663
embedding,4496,13.6643
embedding,4512,13.632
embedding,4528,13.696
embedding,4544,13.878
embedding,4560,13.8563
embedding,4576,13.8983
embedding,4592,13.8773
embedding,4608,14.0907
embedding,4624,13.9413
embedding,4640,14.208
embedding,4656,14.24
embedding,4672,14.1333
embedding,4688,14.2287
embedding,4704,14.3147
embedding,4720,14.2303
embedding,4736,14.4853
embedding,4752,14.3367
embedding,4768,14.304
embedding,4784,14.4747
embedding,4800,14.507
embedding,4816,14.5173
embedding,4832,14.752
embedding,4848,14.6983
embedding,4864,14.7093
embedding,4880,14.6983
embedding,4896,14.7207
embedding,4912,14.6667
embedding,4928,14.7093
embedding,4944,14.8913
embedding,4960,15.1253
embedding,4976,14.8587
embedding,4992,14.805
embedding,5008,14.9653
embedding,5024,15.0397
embedding,5040,15.094
embedding,5056,15.1257
embedding,5072,15.211
embedding,5088,15.3813
embedding,5104,15.2963
embedding,5120,15.616
embedding,5136,15.712
embedding,5152,15.328
embedding,5168,15.4347
embedding,5184,15.4667
embedding,5200,15.4453
embedding,5216,15.392
embedding,5232,15.883
embedding,5248,15.7547
embedding,5264,15.755
embedding,5280,15.7757
embedding,5296,15.744
embedding,5312,15.7543
embedding,5328,15.968
embedding,5344,15.7547
embedding,5360,16.2777
embedding,5376,16.0643
embedding,5392,16.16
embedding,5408,15.9787
embedding,5424,16.16
embedding,5440,16.0853
embedding,5456,16.1387
embedding,5472,16.384
embedding,5488,16.213
embedding,5504,16.4693
embedding,5520,16.576
embedding,5536,16.3843
embedding,5552,16.5867
embedding,5568,16.6933
embedding,5584,16.6187
embedding,5600,16.6077
embedding,5616,16.6293
embedding,5632,16.768
embedding,5648,16.6183
embedding,5664,16.7463
embedding,5680,16.8747
embedding,5696,17.0883
embedding,5712,16.8423
embedding,5728,16.8533
embedding,5744,16.96
embedding,5760,17.056
embedding,5776,17.344
embedding,5792,17.2587
embedding,5808,17.269
embedding,5824,17.0773
embedding,5840,17.2907
embedding,5856,17.344
embedding,5872,17.27
embedding,5888,17.376
embedding,5904,17.6107
embedding,5920,17.28
embedding,5936,17.5787
embedding,5952,17.6533
embedding,5968,17.6643
embedding,5984,17.4613
embedding,6000,17.5897
embedding,6016,17.6533
embedding,6032,17.8027
embedding,6048,17.6747
embedding,6064,17.9843
embedding,6080,17.92
embedding,6096,17.739
embedding,6112,17.9627
embedding,6128,17.9093
embedding,6144,17.9843
embedding,6160,18.0053
embedding,6176,18.006
embedding,6192,18.3573
embedding,6208,18.016
embedding,6224,18.304
embedding,6240,18.2293
embedding,6256,18.3253
embedding,6272,18.272
embedding,6288,18.4107
embedding,6304,18.3577
embedding,6320,18.3893
embedding,6336,18.4537
embedding,6352,18.6777
embedding,6368,18.56
embedding,6384,18.496
embedding,6400,18.6667
embedding,6416,18.7523
embedding,6432,18.624
embedding,6448,18.645
embedding,6464,19.0187
embedding,6480,18.8053
embedding,6496,19.104
embedding,6512,18.9763
embedding,6528,18.933
embedding,6544,18.976
embedding,6560,19.0613
embedding,6576,19.2
embedding,6592,19.0187
embedding,6608,19.1467
embedding,6624,19.2003
embedding,6640,19.285
embedding,6656,19.488
embedding,6672,19.339
embedding,6688,19.5627
embedding,6704,19.392
embedding,6720,19.552
embedding,6736,19.552
embedding,6752,19.7653
embedding,6768,20.0213
embedding,6784,19.8937
embedding,6800,19.7007
embedding,6816,19.7867
embedding,6832,19.8187
embedding,6848,19.9143
embedding,6864,19.8293
embedding,6880,20.1387
embedding,6896,20.2883
embedding,6912,20.1917
embedding,6928,20.1283
embedding,6944,19.936
embedding,6960,20.288
embedding,6976,20.5013
embedding,6992,20.5973
embedding,7008,20.832
embedding,7024,20.459
embedding,7040,20.3733
embedding,7056,20.6507
embedding,7072,20.747
embedding,7088,20.5763
embedding,7104,20.4163
embedding,7120,20.6613
embedding,7136,20.4903
embedding,7152,20.64
embedding,7168,20.7467
embedding,7184,20.5547
embedding,7200,21.1837
embedding,7216,21.1093
embedding,7232,20.6933
embedding,7248,21.0347
embedding,7264,21.1307
embedding,7280,20.864
embedding,7296,20.8747
embedding,7312,21.1413
embedding,7328,20.789
embedding,7344,21.0027
embedding,7360,21.216
embedding,7376,21.0133
embedding,7392,21.0987
embedding,7408,21.216
embedding,7424,21.109
embedding,7440,21.28
embedding,7456,21.5997
embedding,7472,21.3437
embedding,7488,21.5467
embedding,7504,21.5147
embedding,7520,21.8457
embedding,7536,21.4083
embedding,7552,21.5677
embedding,7568,21.3867
embedding,7584,22.0263
embedding,7600,21.824
embedding,7616,21.7497
embedding,7632,21.579
embedding,7648,21.739
embedding,7664,21.7497
embedding,7680,21.856
embedding,7696,21.6857
embedding,7712,21.9943
embedding,7728,21.856
embedding,7744,22.2617
embedding,7760,22.059
embedding,7776,22.2077
embedding,7792,22.2927
embedding,7808,22.2613
embedding,7824,22.2297
embedding,7840,22.3467
embedding,7856,22.305
embedding,7872,22.4323
embedding,7888,22.5173
embedding,7904,22.283
embedding,7920,22.6133
embedding,7936,22.8053
embedding,7952,22.8583
embedding,7968,22.6877
embedding,7984,22.9867
embedding,8000,23.072
embedding,8016,22.976
embedding,8032,22.6883
embedding,8048,23.0083
embedding,8064,22.912
embedding,8080,22.901
embedding,8096,23.0613
embedding,8112,23.264
embedding,8128,23.211
embedding,8144,23.1257
embedding,8160,23.253
embedding,8176,23.3607
embedding,8192,23.264
final_layernorm,1,2.74133
final_layernorm,2,2.69867
final_layernorm,3,2.65633
final_layernorm,4,2.66667
final_layernorm,5,2.65567
final_layernorm,6,2.66667
final_layernorm,7,2.67733
final_layernorm,8,2.677
final_layernorm,9,2.73067
final_layernorm,10,2.70933
final_layernorm,11,2.77333
final_layernorm,12,2.73067
final_layernorm,13,2.72033
final_layernorm,14,2.688
final_layernorm,15,2.69867
final_layernorm,16,2.72
final_layernorm,20,2.70933
final_layernorm,24,2.68833
final_layernorm,28,2.73067
final_layernorm,32,2.75233
final_layernorm,36,2.74133
final_layernorm,40,2.784
final_layernorm,44,2.73067
final_layernorm,48,2.72
final_layernorm,52,2.77333
final_layernorm,56,2.77333
final_layernorm,60,2.77333
final_layernorm,64,2.784
final_layernorm,80,2.80533
final_layernorm,96,2.82667
final_layernorm,112,3.051
final_layernorm,128,3.115
final_layernorm,144,3.39267
final_layernorm,160,3.44533
final_layernorm,176,3.509
final_layernorm,192,3.58467
final_layernorm,208,3.65867
final_layernorm,224,3.78633
final_layernorm,240,3.79667
final_layernorm,256,4.032
final_layernorm,272,4.416
final_layernorm,288,4.50133
final_layernorm,304,4.523
final_layernorm,320,4.69333
final_layernorm,336,4.72567
final_layernorm,352,4.84267
final_layernorm,368,4.82133
final_layernorm,384,5.00267
final_layernorm,400,5.323
final_layernorm,416,5.47167
final_layernorm,432,5.621
final_layernorm,448,5.589
final_layernorm,464,5.73867
final_layernorm,480,5.76
final_layernorm,496,5.824
final_layernorm,512,5.90933
final_layernorm,528,6.00533
final_layernorm,544,6.56
final_layernorm,560,6.53833
final_layernorm,576,6.54933
final_layernorm,592,6.70933
final_layernorm,608,6.82667
final_layernorm,624,6.741
final_layernorm,640,6.92267
final_layernorm,656,6.98633
final_layernorm,672,7.30667
final_layernorm,688,7.424
final_layernorm,704,7.488
final_layernorm,720,7.648
final_layernorm,736,7.712
final_layernorm,752,7.66933
final_layernorm,768,7.95733
final_layernorm,784,7.904
final_layernorm,800,8.288
final_layernorm,816,8.38367
final_layernorm,832,8.46933
final_layernorm,848,8.60833
final_layernorm,864,8.72567
final_layernorm,880,8.61867
final_layernorm,896,8.608
final_layernorm,912,8.85367
final_layernorm,928,9.00267
final_layernorm,944,9.30133
final_layernorm,960,9.13067
final_layernorm,976,9.46133
final_layernorm,992,9.52533
final_layernorm,1008,9.33333
final_layernorm,1024,9.32233
final_layernorm,1040,9.29067
final_layernorm,1056,9.792
final_layernorm,1072,11.0187
final_layernorm,1088,11.3493
final_layernorm,1104,11.4773
final_layernorm,1120,11.4667
final_layernorm,1136,11.5947
final_layernorm,1152,11.659
final_layernorm,1168,11.5627
final_layernorm,1184,11.7333
final_layernorm,1200,11.9787
final_layernorm,1216,11.9147
final_layernorm,1232,12.0963
final_layernorm,1248,12.032
final_layernorm,1264,12.192
final_layernorm,1280,12.5013
final_layernorm,1296,12.224
final_layernorm,1312,12.4373
final_layernorm,1328,12.5867
final_layernorm,1344,12.7257
final_layernorm,1360,12.395
final_layernorm,1376,12.6083
final_layernorm,1392,12.6827
final_layernorm,1408,12.6507
final_layernorm,1424,12.896
final_layernorm,1440,12.9387
final_layernorm,1456,13.2163
final_layernorm,1472,13.1417
final_layernorm,1488,13.195
final_layernorm,1504,13.2267
final_layernorm,1520,13.5573
final_layernorm,1536,13.4507
final_layernorm,1552,13.6317
final_layernorm,1568,13.7173
final_layernorm,1584,13.9307
final_layernorm,1600,14.0797
final_layernorm,1616,13.9093
final_layernorm,1632,14.2187
final_layernorm,1648,14.0797
final_layernorm,1664,14.1867
final_layernorm,1680,14.6027
final_layernorm,1696,14.6777
final_layernorm,1712,14.5387
final_layernorm,1728,14.816
final_layernorm,1744,15.1463
final_layernorm,1760,15.1787
final_layernorm,1776,15.648
final_layernorm,1792,15.584
final_layernorm,1808,15.3387
final_layernorm,1824,15.2427
final_layernorm,1840,15.8507
final_layernorm,1856,15.712
final_layernorm,1872,15.8293
final_layernorm,1888,16.288
final_layernorm,1904,16.3313
final_layernorm,1920,16.64
final_layernorm,1936,16.5653
final_layernorm,1952,17.4293
final_layernorm,1968,17.0453
final_layernorm,1984,17.28
final_layernorm,2000,17.973
final_layernorm,2016,17.4617
final_layernorm,2032,17.8347
final_layernorm,2048,18.2083
final_layernorm,2064,18.411
final_layernorm,2080,18.6343
final_layernorm,2096,18.6133
final_layernorm,2112,19.232
final_layernorm,2128,19.019
final_layernorm,2144,19.0827
final_layernorm,2160,19.712
final_layernorm,2176,19.4453
final_layernorm,2192,20.1387
final_layernorm,2208,19.915
final_layernorm,2224,20.3737
final_layernorm,2240,20.6507
final_layernorm,2256,20.8533
final_layernorm,2272,20.907
final_layernorm,2288,21.408
final_layernorm,2304,21.536
final_layernorm,2320,21.984
final_layernorm,2336,22.272
final_layernorm,2352,22.667
final_layernorm,2368,22.421
final_layernorm,2384,23.1897
final_layernorm,2400,23.3067
final_layernorm,2416,23.797
final_layernorm,2432,23.7757
final_layernorm,2448,24.1067
final_layernorm,2464,24.1493
final_layernorm,2480,24.267
final_layernorm,2496,24.896
final_layernorm,2512,24.6187
final_layernorm,2528,25.1317
final_layernorm,2544,25.2697
final_layernorm,2560,26.1337
final_layernorm,2576,25.8453
final_layernorm,2592,25.76
final_layernorm,2608,26.496
final_layernorm,2624,26.5387
final_layernorm,2640,26.656
final_layernorm,2656,27.6907
final_layernorm,2672,27.68
final_layernorm,2688,28.2987
final_layernorm,2704,27.5413
final_layernorm,2720,28.5013
final_layernorm,2736,28.6933
final_layernorm,2752,28.8747
final_layernorm,2768,29.0883
final_layernorm,2784,29.1307
final_layernorm,2800,29.6747
final_layernorm,2816,29.9093
final_layernorm,2832,29.867
final_layernorm,2848,30.7733
final_layernorm,2864,30.272
final_layernorm,2880,30.528
final_layernorm,2896,30.8057
final_layernorm,2912,31.4777
final_layernorm,2928,31.3067
final_layernorm,2944,31.7117
final_layernorm,2960,32.7893
final_layernorm,2976,32.3843
final_layernorm,2992,32.5657
final_layernorm,3008,33.451
final_layernorm,3024,33.6857
final_layernorm,3040,33.931
final_layernorm,3056,33.2373
final_layernorm,3072,33.4187
final_layernorm,3088,34.2187
final_layernorm,3104,34.8267
final_layernorm,3120,34.7407
final_layernorm,3136,34.496
final_layernorm,3152,34.9337
final_layernorm,3168,35.2107
final_layernorm,3184,34.9867
final_layernorm,3200,35.328
final_layernorm,3216,35.6693
final_layernorm,3232,36.1817
final_layernorm,3248,36.2667
final_layernorm,3264,36.9173
final_layernorm,3280,36.8527
final_layernorm,3296,36.8857
final_layernorm,3312,37.568
final_layernorm,3328,37.216
final_layernorm,3344,37.248
final_layernorm,3360,37.92
final_layernorm,3376,38.0693
final_layernorm,3392,37.7917
final_layernorm,3408,38.7627
final_layernorm,3424,38.2613
final_layernorm,3440,38.2823
final_layernorm,3456,39.349
final_layernorm,3472,39.5737
final_layernorm,3488,39.4773
