layer,sequences,time_us
lm_head,1,56.512
lm_head,2,57.6
lm_head,3,58.2507
lm_head,4,57.536
lm_head,5,58.0693
lm_head,6,58.2297
lm_head,7,57.9943
lm_head,8,58.4217
lm_head,9,57.152
lm_head,10,57.5573
lm_head,11,57.238
lm_head,12,56.6827
lm_head,13,56.4373
lm_head,14,56.1493
lm_head,15,58.0373
lm_head,16,56.6933
lm_head,20,57.44
lm_head,24,56.3837
lm_head,28,57.1733
lm_head,32,56.7253
lm_head,36,57.1307
lm_head,40,58.7307
lm_head,44,58.1653
lm_head,48,58.155
lm_head,52,56.128
lm_head,56,56.704
lm_head,60,56.7467
lm_head,64,56.7573
lm_head,80,59.424
lm_head,96,59.6373
lm_head,112,58.4747
lm_head,128,59.4773
lm_head,144,62.645
lm_head,160,61.9627
lm_head,176,62.592
lm_head,192,62.0053
lm_head,208,65.141
lm_head,224,69.1203
lm_head,240,69.067
lm_head,256,69.9947
sampler,1,14.6673
sampler,2,15.403
sampler,3,15.179
sampler,4,15.008
sampler,5,15.3067
sampler,6,15.52
sampler,7,15.9683
sampler,8,17.824
sampler,9,18.346
sampler,10,18.5493
sampler,11,18.7313
sampler,12,18.9333
sampler,13,19.4553
sampler,14,20.629
sampler,15,21.867
sampler,16,22.324
sampler,20,23.776
sampler,24,26.9757
sampler,28,29.44
sampler,32,32.992
sampler,36,34.0477
sampler,40,37.792
sampler,44,38.1013
sampler,48,40.8107
sampler,52,45.7173
sampler,56,49.857
sampler,60,53.8677
sampler,64,55.6583
sampler,80,67.7653
sampler,96,80.9387
sampler,112,93.0667
sampler,128,108.875
sampler,144,118.507
sampler,160,132.426
sampler,176,133.195
sampler,192,154.891
sampler,208,171.2
sampler,224,180
sampler,240,189.93
sampler,256,202.432
