pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0753,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.4644,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.1546,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.0435,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.4333,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.0583,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0979,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.2723,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.141,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,0.0122,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.5744,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,0.0424,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.0194,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.6602,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.1972,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0449,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.7765,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.069,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0478,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.7752,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.0754,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.0194,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.7213,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.1513,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.1127,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.5882,4
0,n<=16,sr>70%,kvB<=4k,kp=0,-0.0166,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.4358,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,1.445,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.5625,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0061,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.2538,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.002,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,0.0012,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.2653,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0193,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0292,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.1375,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0296,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.0089,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.1955,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0261,2
0,n<=256,sr>70%,kvB<=16k,kp=0,0.0122,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.4335,4
0,n<=256,sr>70%,kvB<=4k,kp=0,0.0845,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.0229,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.4342,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.0282,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.1614,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.4926,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.1377,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.1404,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.4393,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.0383,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,-0.0277,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.3673,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.0216,2
0,n<=32,sr>70%,kvB<=16k,kp=0,0.7071,4
0,n<=32,sr>70%,kvB<=1k,kp=0,1.5414,4
0,n<=32,sr>70%,kvB<=4k,kp=0,0.9544,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.3012,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.9775,4
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.6144,3
0,n<=4,sr<=70%,kvB<=16k,kp=0,0.1787,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.9718,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,0.5606,2
0,n<=4,sr>70%,kvB<=16k,kp=0,0.2285,2
0,n<=4,sr>70%,kvB<=1k,kp=0,2.4508,2
0,n<=4,sr>70%,kvB<=4k,kp=0,0.9672,1
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.0831,4
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.495,4
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.1586,4
0,n<=64,sr<=40%,kvB<=16k,kp=0,0.0317,2
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.3217,2
0,n<=64,sr<=40%,kvB<=4k,kp=0,0.036,2
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.1292,6
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.394,6
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.1793,6
0,n<=64,sr<=70%,kvB<=16k,kp=0,0.0005,2
0,n<=64,sr<=70%,kvB<=1k,kp=0,0.1789,2
0,n<=64,sr<=70%,kvB<=4k,kp=0,-0.0435,2
0,n<=64,sr>70%,kvB<=16k,kp=0,0.6733,4
0,n<=64,sr>70%,kvB<=1k,kp=0,0.9068,4
0,n<=64,sr>70%,kvB<=4k,kp=0,0.8963,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.1303,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.7832,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.2039,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.1351,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.9462,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.1432,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,0.0899,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.8809,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.2464,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.1448,4
0,n<=8,sr>70%,kvB<=1k,kp=0,1.3488,2
0,n<=8,sr>70%,kvB<=4k,kp=0,0.2252,4
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.1342,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.1374,4
16,n<=128,sr<=15%,kvB<=16k,kp<=4k,0.1388,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.138,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.1342,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.1371,4
