regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,42.369,45.119,44.256,0.6862
pure,2,1,0.5,4.0,0,0,256,1024,640,46.721,47.073,46.751,0.0852
pure,2,1,0.5,4.0,0,0,512,2048,1280,48.607,50.721,48.321,-0.1353
pure,2,1,0.5,4.0,0,0,1024,4096,2560,50.464,52.992,51.167,0.2781
pure,2,1,0.5,4.0,0,0,2048,8192,5120,54.337,62.91,58.24,0.4553
pure,2,1,0.5,4.0,0,0,4096,16384,10240,68.704,83.84,71.968,0.2156
mixed,2,1,0.5,4.0,16,0,128,512,320,50.689,51.263,53.792,5.4059
mixed,2,1,0.5,4.0,16,0,256,1024,640,51.453,54.145,53.218,0.6556
mixed,2,1,0.5,4.0,16,0,512,2048,1280,53.311,54.56,54.688,1.1025
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,55.905,59.264,57.121,0.362
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,61.472,67.39,62.817,0.2273
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,72.0,88.003,75.04,0.19
mixed,2,1,0.5,4.0,16,512,128,512,320,59.262,58.913,59.552,
mixed,2,1,0.5,4.0,16,512,256,1024,640,59.648,55.615,55.422,
mixed,2,1,0.5,4.0,16,512,512,2048,1280,54.433,55.136,55.616,1.6828
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,57.088,63.231,59.648,0.4167
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,66.207,73.473,68.065,0.2557
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,76.382,90.495,80.033,0.2587
mixed,2,1,0.5,4.0,16,1024,128,512,320,61.856,62.015,61.825,-0.195
mixed,2,1,0.5,4.0,16,1024,256,1024,640,62.434,60.896,62.496,
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,56.513,56.8,55.488,-3.5714
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,57.249,66.368,59.361,0.2316
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,67.84,73.183,69.088,0.2336
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,81.601,89.473,84.896,0.4186
mixed,2,1,0.5,4.0,16,2048,128,512,320,64.959,64.449,64.256,
mixed,2,1,0.5,4.0,16,2048,256,1024,640,64.928,65.152,64.384,-2.4286
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,64.736,64.257,64.224,
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,58.655,68.192,59.807,0.1208
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,71.553,75.038,72.512,0.2752
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,83.487,97.889,83.808,0.0223
mixed,2,1,0.5,4.0,16,4096,128,512,320,67.552,67.49,67.618,
mixed,2,1,0.5,4.0,16,4096,256,1024,640,67.395,67.362,65.983,
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,67.743,68.096,67.809,0.187
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,68.097,69.727,68.48,0.235
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,72.929,80.288,75.616,0.3651
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,85.344,94.56,86.304,0.1042
mixed,2,1,0.5,4.0,16,8192,128,512,320,73.217,72.832,73.95,
mixed,2,1,0.5,4.0,16,8192,256,1024,640,73.984,73.601,72.288,
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,73.695,74.24,74.08,0.7064
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,77.153,75.647,76.705,
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,77.088,83.427,76.577,-0.0806
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,88.033,99.136,90.145,0.1902
mixed,2,1,0.5,4.0,32,0,128,512,320,50.945,52.577,52.799,1.136
mixed,2,1,0.5,4.0,32,0,256,1024,640,52.064,54.239,54.56,1.1476
mixed,2,1,0.5,4.0,32,0,512,2048,1280,54.623,55.136,55.329,1.3762
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,56.13,58.785,58.272,0.8068
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,62.144,67.456,64.638,0.4695
mixed,2,1,0.5,4.0,32,0,4096,16384,10240,74.527,89.886,76.832,0.1501
mixed,2,1,0.5,4.0,32,512,128,512,320,60.031,59.264,60.161,
mixed,2,1,0.5,4.0,32,512,256,1024,640,60.513,56.03,56.288,
mixed,2,1,0.5,4.0,32,512,512,2048,1280,56.129,57.152,57.023,0.8739
mixed,2,1,0.5,4.0,32,512,1024,4096,2560,57.12,68.16,59.487,0.2144
mixed,2,1,0.5,4.0,32,512,2048,8192,5120,70.497,73.953,64.705,-1.6759
mixed,2,1,0.5,4.0,32,512,4096,16384,10240,84.576,90.273,79.777,-0.8424
mixed,2,1,0.5,4.0,32,1024,128,512,320,64.064,63.105,63.425,
mixed,2,1,0.5,4.0,32,1024,256,1024,640,64.03,62.944,63.939,
mixed,2,1,0.5,4.0,32,1024,512,2048,1280,57.408,58.751,57.794,0.2874
mixed,2,1,0.5,4.0,32,1024,1024,4096,2560,60.124,67.104,61.376,0.1794
mixed,2,1,0.5,4.0,32,1024,2048,8192,5120,70.4,75.202,66.304,-0.853
mixed,2,1,0.5,4.0,32,1024,4096,16384,10240,86.592,90.783,77.442,-2.1832
mixed,2,1,0.5,4.0,32,2048,128,512,320,65.536,64.864,65.633,
mixed,2,1,0.5,4.0,32,2048,256,1024,640,64.769,65.376,64.991,0.3657
mixed,2,1,0.5,4.0,32,2048,512,2048,1280,66.272,65.407,66.272,
mixed,2,1,0.5,4.0,32,2048,1024,4096,2560,65.984,71.359,67.777,0.3336
mixed,2,1,0.5,4.0,32,2048,2048,8192,5120,77.121,76.768,67.488,
mixed,2,1,0.5,4.0,32,2048,4096,16384,10240,82.72,98.624,78.943,-0.2375
mixed,2,1,0.5,4.0,32,4096,128,512,320,69.183,69.664,69.985,1.6674
mixed,2,1,0.5,4.0,32,4096,256,1024,640,71.072,71.616,69.984,-2.0
mixed,2,1,0.5,4.0,32,4096,512,2048,1280,68.896,72.096,70.816,0.6
mixed,2,1,0.5,4.0,32,4096,1024,4096,2560,75.008,72.672,74.496,
mixed,2,1,0.5,4.0,32,4096,2048,8192,5120,73.791,80.13,76.576,0.4393
mixed,2,1,0.5,4.0,32,4096,4096,16384,10240,84.802,96.064,81.823,-0.2645
mixed,2,1,0.5,4.0,32,8192,128,512,320,79.776,78.368,78.272,
mixed,2,1,0.5,4.0,32,8192,256,1024,640,79.328,81.728,80.193,0.3604
mixed,2,1,0.5,4.0,32,8192,512,2048,1280,80.832,84.13,80.288,-0.1649
mixed,2,1,0.5,4.0,32,8192,1024,4096,2560,89.697,79.647,90.465,
mixed,2,1,0.5,4.0,32,8192,2048,8192,5120,83.009,89.313,81.856,-0.1829
mixed,2,1,0.5,4.0,32,8192,4096,16384,10240,88.319,103.553,91.648,0.2185
