layer,tokens,time_us
embedding,1,3.72267
embedding,2,3.94667
embedding,3,4.352
embedding,4,4.363
embedding,5,4.832
embedding,6,5.12
embedding,7,5.34367
embedding,8,5.536
embedding,9,5.86667
embedding,10,6.21867
embedding,11,6.42167
embedding,12,6.62367
embedding,13,7.072
embedding,14,7.38167
embedding,15,7.584
embedding,16,7.59433
embedding,20,3.44533
embedding,24,3.45633
embedding,28,3.33867
embedding,32,3.328
embedding,36,3.424
embedding,40,3.33867
embedding,44,3.499
embedding,48,3.232
embedding,52,3.424
embedding,56,3.38133
embedding,60,3.53067
embedding,64,3.27467
embedding,80,3.35933
embedding,96,3.44533
embedding,112,3.509
embedding,128,3.55233
embedding,144,3.94633
embedding,160,3.98933
embedding,176,4.064
embedding,192,4.085
embedding,208,4.21333
embedding,224,4.23467
embedding,240,4.45867
embedding,256,4.543
embedding,272,5.06667
embedding,288,5.08767
embedding,304,5.23767
embedding,320,5.31233
embedding,336,5.35467
embedding,352,5.376
embedding,368,5.42933
embedding,384,5.53567
embedding,400,5.931
embedding,416,5.984
embedding,432,6.18733
embedding,448,6.144
embedding,464,6.123
embedding,480,6.251
embedding,496,6.31433
embedding,512,6.47467
embedding,528,6.496
embedding,544,6.656
embedding,560,6.62433
embedding,576,6.64567
embedding,592,6.76233
embedding,608,6.752
embedding,624,6.82667
embedding,640,6.89067
embedding,656,6.99733
embedding,672,7.072
embedding,688,7.01867
embedding,704,7.10433
embedding,720,7.20033
embedding,736,7.17867
embedding,752,7.328
embedding,768,7.403
embedding,784,7.34933
embedding,800,7.424
embedding,816,7.52033
embedding,832,7.45567
embedding,848,7.605
embedding,864,7.59467
embedding,880,7.829
embedding,896,7.797
embedding,912,7.93567
embedding,928,7.96733
embedding,944,7.94667
embedding,960,8.03167
embedding,976,8.181
embedding,992,8.20333
embedding,1008,8.277
embedding,1024,8.36267
embedding,1040,8.59733
embedding,1056,8.843
embedding,1072,8.747
embedding,1088,8.768
embedding,1104,8.84233
embedding,1120,8.98167
embedding,1136,9.00267
embedding,1152,9.06633
embedding,1168,8.96033
embedding,1184,9.01333
embedding,1200,9.088
embedding,1216,9.206
embedding,1232,9.16267
embedding,1248,9.13033
embedding,1264,9.259
embedding,1280,9.35433
embedding,1296,9.46133
embedding,1312,9.39733
embedding,1328,9.51467
embedding,1344,9.483
embedding,1360,9.664
embedding,1376,9.621
embedding,1392,9.66367
embedding,1408,9.813
embedding,1424,9.76
embedding,1440,9.90933
embedding,1456,9.98367
embedding,1472,10.016
embedding,1488,10.123
embedding,1504,10.1333
embedding,1520,10.1657
embedding,1536,10.1867
embedding,1552,10.2507
embedding,1568,10.5067
embedding,1584,10.4423
embedding,1600,10.5163
embedding,1616,10.5067
embedding,1632,10.5917
embedding,1648,10.5817
embedding,1664,10.6777
embedding,1680,10.7087
embedding,1696,10.7733
embedding,1712,10.7947
embedding,1728,10.816
embedding,1744,10.8803
embedding,1760,11.008
embedding,1776,11.179
embedding,1792,11.0827
embedding,1808,11.1997
embedding,1824,11.2847
embedding,1840,11.339
embedding,1856,11.424
embedding,1872,11.3813
embedding,1888,11.4553
embedding,1904,11.6473
embedding,1920,11.552
embedding,1936,11.7547
embedding,1952,11.786
embedding,1968,11.8827
embedding,1984,11.9467
embedding,2000,11.9467
embedding,2016,12.043
embedding,2032,12.0853
embedding,2048,12.267
final_layernorm,1,3.18933
final_layernorm,2,3.168
final_layernorm,3,3.15767
final_layernorm,4,3.15733
final_layernorm,5,3.13567
final_layernorm,6,3.14667
final_layernorm,7,3.12533
final_layernorm,8,3.14667
final_layernorm,9,3.168
final_layernorm,10,3.14633
final_layernorm,11,3.232
final_layernorm,12,3.12533
final_layernorm,13,3.15733
final_layernorm,14,3.2
final_layernorm,15,3.15733
final_layernorm,16,3.2
final_layernorm,20,3.13567
final_layernorm,24,3.17867
final_layernorm,28,3.2
final_layernorm,32,3.24233
final_layernorm,36,3.20033
final_layernorm,40,3.27467
final_layernorm,44,3.168
final_layernorm,48,3.33833
final_layernorm,52,3.328
final_layernorm,56,3.38133
final_layernorm,60,3.296
final_layernorm,64,3.33833
final_layernorm,80,3.488
final_layernorm,96,3.53067
final_layernorm,112,3.573
final_layernorm,128,3.74433
final_layernorm,144,4.61867
final_layernorm,160,4.76767
final_layernorm,176,4.85333
final_layernorm,192,4.896
final_layernorm,208,5.08767
final_layernorm,224,5.19467
final_layernorm,240,5.237
final_layernorm,256,5.824
final_layernorm,272,6.43167
final_layernorm,288,6.56
final_layernorm,304,6.82667
final_layernorm,320,7.04
final_layernorm,336,6.92267
final_layernorm,352,7.019
final_layernorm,368,7.285
final_layernorm,384,7.296
final_layernorm,400,7.947
final_layernorm,416,8.23467
final_layernorm,432,8.44767
final_layernorm,448,8.42667
final_layernorm,464,8.576
final_layernorm,480,8.74667
final_layernorm,496,8.832
final_layernorm,512,9.00267
final_layernorm,528,9.10933
final_layernorm,544,9.888
final_layernorm,560,10.08
final_layernorm,576,10.0803
final_layernorm,592,10.2933
final_layernorm,608,10.4003
final_layernorm,624,10.496
final_layernorm,640,10.6133
final_layernorm,656,10.7733
final_layernorm,672,11.5733
final_layernorm,688,11.616
final_layernorm,704,11.6803
final_layernorm,720,12
final_layernorm,736,12.011
final_layernorm,752,12.277
final_layernorm,768,12.4693
final_layernorm,784,12.5543
final_layernorm,800,13.0773
final_layernorm,816,13.3867
final_layernorm,832,13.3337
final_layernorm,848,13.6527
final_layernorm,864,14.0157
final_layernorm,880,13.8983
final_layernorm,896,14.005
final_layernorm,912,14.3787
final_layernorm,928,15.1573
final_layernorm,944,15.4133
final_layernorm,960,15.4663
final_layernorm,976,15.5733
final_layernorm,992,15.8287
final_layernorm,1008,16.032
final_layernorm,1024,16.2663
final_layernorm,1040,16.3517
