tokens,activated_experts,time_us
1,8,294.441
2,8,294.249
2,16,538.644
4,8,296.073
4,16,540.445
4,32,1001.26
8,8,297.172
8,16,536.958
8,32,987.793
8,64,1887.21
16,8,308.618
16,16,549.447
16,32,1001.62
16,64,1888.29
16,128,3651.22
32,8,403.754
32,16,570.471
32,32,1021.37
32,64,1899.91
32,128,3649.01
32,256,7118.88
64,8,379.945
64,16,560.179
64,32,1042.04
64,64,1941.42
64,128,3714.43
64,256,7158.89
128,8,439.304
128,16,595.815
128,32,1139.11
128,64,2009.35
128,128,3829.14
128,256,7365.04
256,8,656.093
256,16,759.868
256,32,1203.92
256,64,2058.83
256,128,3932.59
256,256,7505.59
512,8,1182.55
512,16,1205.17
512,32,1419.98
512,64,2072.93
512,128,3901.03
512,256,7506.84
1024,8,1620.49
1024,16,1627.08
1024,32,1724.2
1024,64,2222.45
1024,128,4082.04
1024,256,7804.9
2048,8,3193.62
2048,16,3196.12
2048,32,3261.41
2048,64,3475.19
2048,128,4407.98
2048,256,8152.89
