prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,70.731
0,0,1,32,70.26
0,0,1,64,72.6293
0,0,1,128,73.4293
0,0,1,256,75.8073
0,0,1,512,77.9933
0,0,1,1024,79.0393
0,0,1,2048,80.117
0,0,1,4096,82.5063
0,0,1,8192,88.0523
0,0,1,16384,92.0203
0,0,1,32768,98.0673
0,0,2,16,70.23
0,0,2,32,70.8477
0,0,2,64,71.595
0,0,2,128,73.5777
0,0,2,256,75.9883
0,0,2,512,78.559
0,0,2,1024,78.792
0,0,2,2048,80.7573
0,0,2,4096,85.141
0,0,2,8192,88.959
0,0,2,16384,95.3163
0,0,2,32768,109.012
0,0,4,16,70.3047
0,0,4,32,71.0723
0,0,4,64,72.532
0,0,4,128,73.813
0,0,4,256,76.383
0,0,4,512,78.9867
0,0,4,1024,80.1923
0,0,4,2048,83.7437
0,0,4,4096,87.6803
0,0,4,8192,94.5177
0,0,4,16384,107.925
0,0,4,32768,134.41
0,0,8,16,71.0507
0,0,8,32,71.7747
0,0,8,64,73.2263
0,0,8,128,74.8577
0,0,8,256,79.3483
0,0,8,512,80.8413
0,0,8,1024,84.4273
0,0,8,2048,89.4173
0,0,8,4096,95.9247
0,0,8,8192,107.934
0,0,8,16384,134.464
0,0,8,32768,183.563
0,0,16,16,73.8347
0,0,16,32,73.29
0,0,16,64,75.0293
0,0,16,128,76.7783
0,0,16,256,84.4577
0,0,16,512,87.0713
0,0,16,1024,89.984
0,0,16,2048,97.1837
0,0,16,4096,109.93
0,0,16,8192,134.324
0,0,16,16384,181.982
0,0,16,32768,276.659
0,0,32,16,77.183
0,0,32,32,77.7053
0,0,32,64,79.2633
0,0,32,128,81.002
0,0,32,256,90.3673
0,0,32,512,93.524
0,0,32,1024,100.608
0,0,32,2048,113.781
0,0,32,4096,138.602
0,0,32,8192,185.888
0,0,32,16384,281.257
0,0,32,32768,473.086
0,0,64,16,81.6313
0,0,64,32,82.4963
0,0,64,64,83.3703
0,0,64,128,86.645
0,0,64,256,100.917
0,0,64,512,107.625
0,0,64,1024,119.646
0,0,64,2048,144.308
0,0,64,4096,192.416
0,0,64,8192,288.573
0,0,64,16384,478.589
0,0,64,32768,857.767
0,0,128,16,88.3513
0,0,128,32,89.1183
0,0,128,64,91.1147
0,0,128,128,94.8463
0,0,128,256,110.464
0,0,128,512,122.56
0,0,128,1024,148.309
0,0,128,2048,194.944
0,0,128,4096,290.271
0,0,128,8192,482.313
0,0,128,16384,864.411
0,0,128,32768,1623.31
0,0,256,16,103.723
0,0,256,32,104.479
0,0,256,64,108.289
0,0,256,128,115.157
0,0,256,256,149.706
0,0,256,512,175.829
0,0,256,1024,223.167
0,0,256,2048,317.535
0,0,256,4096,506.578
0,0,256,8192,887.324
0,0,256,16384,1646.57
0,0,256,32768,3168.78
16,0,0,0,77.6637
16,0,1,16,79.0183
16,0,1,32,78.8057
16,0,1,64,79.9357
16,0,1,128,81.1517
16,0,1,256,85.888
16,0,1,512,87.51
16,0,1,1024,87.4763
16,0,1,2048,89.3753
16,0,1,4096,92.778
16,0,1,8192,99.6907
16,0,1,16384,114.218
16,0,1,32768,140.832
16,0,2,16,78.7507
16,0,2,32,77.962
16,0,2,64,80.406
16,0,2,128,81.856
16,0,2,256,84.5013
16,0,2,512,85.877
16,0,2,1024,87.2533
16,0,2,2048,88.6833
16,0,2,4096,92.1267
16,0,2,8192,98.5497
16,0,2,16384,113.481
16,0,2,32768,140.576
16,0,4,16,78.9437
16,0,4,32,78.261
16,0,4,64,79.9463
16,0,4,128,81.6207
16,0,4,256,85.973
16,0,4,512,87.743
16,0,4,1024,88.618
16,0,4,2048,92.193
16,0,4,4096,95.9573
16,0,4,8192,103.594
16,0,4,16384,118.409
16,0,4,32768,146.484
16,0,8,16,79.9247
16,0,8,32,78.839
16,0,8,64,80.744
16,0,8,128,82.3677
16,0,8,256,86.868
16,0,8,512,88.341
16,0,8,1024,91.785
16,0,8,2048,96.5007
16,0,8,4096,102.091
16,0,8,8192,115.691
16,0,8,16384,145.066
16,0,8,32768,192.531
16,0,16,16,81.748
16,0,16,32,81.835
16,0,16,64,82.024
16,0,16,128,83.968
16,0,16,256,90.816
16,0,16,512,91.8293
16,0,16,1024,95.9463
16,0,16,2048,102.867
16,0,16,4096,116.787
16,0,16,8192,141.311
16,0,16,16384,188.597
16,0,16,32768,284.415
16,0,32,16,84.1707
16,0,32,32,83.6687
16,0,32,64,85.3757
16,0,32,128,86.047
16,0,32,256,95.242
16,0,32,512,98.784
16,0,32,1024,106.227
16,0,32,2048,118.741
16,0,32,4096,144.063
16,0,32,8192,192.244
16,0,32,16384,288.06
16,0,32,32768,480.436
16,0,64,16,86.8263
16,0,64,32,87.2107
16,0,64,64,88.9283
16,0,64,128,89.5687
16,0,64,256,104.576
16,0,64,512,110.71
16,0,64,1024,123.997
16,0,64,2048,148.331
16,0,64,4096,196.009
16,0,64,8192,292.745
16,0,64,16384,484.935
16,0,64,32768,861.884
16,0,128,16,101.738
16,0,128,32,102.411
16,0,128,64,102.411
16,0,128,128,105.27
16,0,128,256,117.332
16,0,128,512,130.442
16,0,128,1024,155.688
16,0,128,2048,203.403
16,0,128,4096,299.23
