layer,tokens,time_us
embedding,1,3.72267
embedding,2,4.02133
embedding,3,4.26667
embedding,4,4.416
embedding,5,4.83167
embedding,6,5.088
embedding,7,5.237
embedding,8,5.58933
embedding,9,5.93033
embedding,10,6.23967
embedding,11,6.39967
embedding,12,6.73067
embedding,13,7.06133
embedding,14,7.33933
embedding,15,7.552
embedding,16,7.64767
embedding,20,3.40233
embedding,24,3.36067
embedding,28,3.38133
embedding,32,3.264
embedding,36,3.39233
embedding,40,3.34933
embedding,44,3.38167
embedding,48,3.189
embedding,52,3.47667
embedding,56,3.35967
embedding,60,3.46667
embedding,64,3.30667
embedding,80,3.33867
embedding,96,3.424
embedding,112,3.51933
embedding,128,3.552
embedding,144,3.904
embedding,160,3.93633
embedding,176,4.04233
embedding,192,4.15967
embedding,208,4.18133
embedding,224,4.27767
embedding,240,4.416
embedding,256,4.533
embedding,272,5.08767
embedding,288,5.06667
embedding,304,5.25867
embedding,320,5.259
embedding,336,5.408
embedding,352,5.53633
embedding,368,5.54667
embedding,384,5.56767
embedding,400,5.95267
embedding,416,5.95167
embedding,432,6.03767
embedding,448,6.19733
embedding,464,6.26133
embedding,480,6.26133
embedding,496,6.336
embedding,512,6.44267
embedding,528,6.50667
embedding,544,6.58133
embedding,560,6.752
embedding,576,6.677
embedding,592,6.79467
embedding,608,6.784
embedding,624,6.87967
embedding,640,6.976
embedding,656,7.06133
embedding,672,7.019
embedding,688,7.06133
embedding,704,7.11467
embedding,720,7.30667
embedding,736,7.30667
embedding,752,7.274
embedding,768,7.33867
embedding,784,7.45567
embedding,800,7.60533
embedding,816,7.54067
embedding,832,7.58433
embedding,848,7.65867
embedding,864,7.627
embedding,880,7.84
embedding,896,7.872
embedding,912,7.92533
embedding,928,8.07433
embedding,944,8.06367
embedding,960,8.043
embedding,976,8.27733
embedding,992,8.21333
embedding,1008,8.33033
embedding,1024,8.42667
embedding,1040,8.416
embedding,1056,8.629
embedding,1072,8.715
embedding,1088,8.672
embedding,1104,8.77833
embedding,1120,8.93867
embedding,1136,8.907
embedding,1152,8.86367
embedding,1168,8.88533
embedding,1184,8.90633
embedding,1200,9.088
embedding,1216,9.088
embedding,1232,9.22667
embedding,1248,9.216
