layer,sequences,time_us
lm_head,1,626.332
lm_head,2,619.686
lm_head,3,621.062
lm_head,4,620.956
lm_head,5,621.638
lm_head,6,620.657
lm_head,7,622.94
lm_head,8,621.724
lm_head,9,624.551
lm_head,10,624.337
lm_head,11,622.481
lm_head,12,623.046
lm_head,13,625.04
lm_head,14,624.263
lm_head,15,628.252
lm_head,16,625.222
lm_head,20,625.062
lm_head,24,627.281
lm_head,28,627.111
lm_head,32,628.475
lm_head,36,629.682
lm_head,40,629.874
lm_head,44,630.363
lm_head,48,630.609
lm_head,52,643.729
lm_head,56,645.329
lm_head,60,646.299
lm_head,64,644.188
lm_head,80,648.71
lm_head,96,627.804
lm_head,112,633.223
lm_head,128,637.254
lm_head,144,641.958
lm_head,160,646.129
lm_head,176,642.577
lm_head,192,654.022
lm_head,208,655.772
lm_head,224,669.797
lm_head,240,676.624
lm_head,256,683.9
sampler,1,32.8853
sampler,2,32.7253
sampler,3,33.2157
sampler,4,32.9167
sampler,5,33.1307
sampler,6,32.9063
sampler,7,32.9277
sampler,8,32.9813
sampler,9,34.2827
sampler,10,34.7093
sampler,11,35.0287
sampler,12,34.805
sampler,13,35.1147
sampler,14,35.37
sampler,15,35.4777
sampler,16,35.5303
sampler,20,37.2903
sampler,24,38.3357
sampler,28,39.8933
sampler,32,40.8963
sampler,36,42.3147
sampler,40,45.664
sampler,44,50.0907
sampler,48,55.5417
sampler,52,58.6987
sampler,56,61.375
sampler,60,64.1277
sampler,64,66.591
sampler,80,76.1803
sampler,96,85.4497
sampler,112,93.1513
sampler,128,100.948
sampler,144,109.312
sampler,160,116.362
sampler,176,124.01
sampler,192,132.682
sampler,208,140.318
sampler,224,148.543
sampler,240,156.372
sampler,256,164.607
