layer,tokens,time_us
act_fn,1,3.47767
act_fn,2,3.56267
act_fn,3,3.56267
act_fn,4,3.669
act_fn,5,3.65867
act_fn,6,3.65867
act_fn,7,3.65867
act_fn,8,3.63733
act_fn,9,3.69067
act_fn,10,3.66933
act_fn,11,3.67967
act_fn,12,3.904
act_fn,13,3.68033
act_fn,14,3.72233
act_fn,15,3.68
act_fn,16,3.72233
act_fn,20,3.70167
act_fn,24,3.68
act_fn,28,3.72267
act_fn,32,3.75467
act_fn,36,3.808
act_fn,40,3.81867
act_fn,44,3.861
act_fn,48,3.54167
act_fn,52,3.616
act_fn,56,3.53067
act_fn,60,3.54133
act_fn,64,3.53067
act_fn,80,3.92533
act_fn,96,3.82967
act_fn,112,3.90433
act_fn,128,4.66133
act_fn,144,5.58933
act_fn,160,5.73867
act_fn,176,6.432
act_fn,192,6.496
act_fn,208,6.75233
act_fn,224,6.752
act_fn,240,6.731
act_fn,256,6.93333
act_fn,272,8.48
act_fn,288,8.73633
act_fn,304,8.82167
act_fn,320,10.0373
act_fn,336,9.93067
act_fn,352,10.9227
act_fn,368,11.296
act_fn,384,11.5523
act_fn,400,11.2853
act_fn,416,11.7867
act_fn,432,12.096
act_fn,448,11.968
act_fn,464,12.5653
act_fn,480,13.056
act_fn,496,13.461
act_fn,512,13.621
act_fn,528,13.504
act_fn,544,15.4457
act_fn,560,15.3387
act_fn,576,15.669
act_fn,592,16.5653
act_fn,608,16.2347
act_fn,624,16.778
act_fn,640,17.1947
act_fn,656,17.6213
act_fn,672,17.9627
act_fn,688,18.2613
act_fn,704,18.5387
act_fn,720,18.9653
act_fn,736,19.3173
act_fn,752,19.4773
act_fn,768,20.48
act_fn,784,21.0557
act_fn,800,21.93
act_fn,816,22.1653
act_fn,832,22.4743
act_fn,848,23.072
act_fn,864,23.296
act_fn,880,23.7653
act_fn,896,24.6503
act_fn,912,24.0533
act_fn,928,25.152
act_fn,944,25.5143
act_fn,960,25.589
act_fn,976,26.1973
act_fn,992,26.3787
act_fn,1008,27.851
act_fn,1024,27.4343
act_fn,1040,28.16
act_fn,1056,28.8747
act_fn,1072,29.2587
act_fn,1088,29.3013
act_fn,1104,30.2293
act_fn,1120,31.4023
act_fn,1136,31.093
act_fn,1152,31.2217
act_fn,1168,31.7223
act_fn,1184,32.2237
act_fn,1200,32.9173
act_fn,1216,33.2373
act_fn,1232,33.0877
act_fn,1248,34.1333
act_fn,1264,34.8373
act_fn,1280,34.688
act_fn,1296,35.2
act_fn,1312,35.9147
act_fn,1328,36.8213
act_fn,1344,36.9387
act_fn,1360,37.0987
act_fn,1376,37.376
act_fn,1392,38.5813
act_fn,1408,37.5787
act_fn,1424,39.2427
act_fn,1440,39.4773
act_fn,1456,39.701
act_fn,1472,39.9787
act_fn,1488,39.808
act_fn,1504,40.1383
act_fn,1520,40.6717
act_fn,1536,41.621
act_fn,1552,41.301
act_fn,1568,42.208
act_fn,1584,41.9943
act_fn,1600,43.4453
act_fn,1616,44.2027
act_fn,1632,44.4373
act_fn,1648,45.5573
act_fn,1664,46.144
act_fn,1680,45.728
act_fn,1696,45.0027
act_fn,1712,45.44
