layer,sequences,time_us
lm_head,1,181.28
lm_head,2,180.981
lm_head,3,181.535
lm_head,4,181.589
lm_head,5,185.195
lm_head,6,183.018
lm_head,7,183.744
lm_head,8,181.781
lm_head,9,182.09
lm_head,10,185.429
lm_head,11,184.192
lm_head,12,185.621
lm_head,13,183.679
lm_head,14,185.632
lm_head,15,183.306
lm_head,16,182.848
lm_head,20,186.699
lm_head,24,187.274
lm_head,28,187.477
lm_head,32,186.848
lm_head,36,188.778
lm_head,40,188.021
lm_head,44,186.677
lm_head,48,188.298
lm_head,52,188.352
lm_head,56,188.448
lm_head,60,189.077
lm_head,64,189.717
lm_head,80,190.89
lm_head,96,188.053
lm_head,112,187.455
lm_head,128,190.474
lm_head,144,190.623
lm_head,160,194.229
lm_head,176,189.066
lm_head,192,196.415
lm_head,208,193.173
lm_head,224,199.595
lm_head,240,201.098
lm_head,256,203.722
sampler,1,32.544
sampler,2,32.6833
sampler,3,33.013
sampler,4,32.8097
sampler,5,33.0877
sampler,6,33.109
sampler,7,33.1307
sampler,8,32.9703
sampler,9,34.5917
sampler,10,34.7733
sampler,11,34.912
sampler,12,34.7097
sampler,13,35.1783
sampler,14,35.499
sampler,15,35.1453
sampler,16,35.6053
sampler,20,37.0457
sampler,24,37.482
sampler,28,39.0717
sampler,32,40.0747
sampler,36,42.1547
sampler,40,45.3977
sampler,44,50.624
sampler,48,53.9953
sampler,52,57.3437
sampler,56,60.725
sampler,60,63.1787
sampler,64,66.3893
sampler,80,75.361
sampler,96,84.9707
sampler,112,92.5757
sampler,128,100.106
sampler,144,108.181
sampler,160,115.616
sampler,176,123.499
sampler,192,131.787
sampler,208,139.477
sampler,224,147.136
sampler,240,155.253
sampler,256,163.093
