prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,11.189
0,0,1,32,11.3813
0,0,1,64,11.3277
0,0,1,128,12.864
0,0,1,256,13.4073
0,0,1,512,14.0793
0,0,1,1024,15.4353
0,0,1,2048,16.1277
0,0,1,4096,17.2593
0,0,1,8192,18.6133
0,0,1,16384,22.89
0,0,1,32768,30.2927
0,0,2,16,11.3707
0,0,2,32,11.5623
0,0,2,64,11.3817
0,0,2,128,12.8853
0,0,2,256,13.568
0,0,2,512,14.752
0,0,2,1024,15.8827
0,0,2,2048,16.512
0,0,2,4096,17.9413
0,0,2,8192,21.6
0,0,2,16384,28.1817
0,0,2,32768,39.3173
0,0,4,16,11.648
0,0,4,32,11.424
0,0,4,64,11.52
0,0,4,128,12.4587
0,0,4,256,13.5893
0,0,4,512,15.531
0,0,4,1024,16.1277
0,0,4,2048,17.3337
0,0,4,4096,20.9173
0,0,4,8192,27.0077
0,0,4,16384,38.496
0,0,4,32768,60.3413
0,0,8,16,11.722
0,0,8,32,11.723
0,0,8,64,11.7757
0,0,8,128,13.0347
0,0,8,256,13.9417
0,0,8,512,15.904
0,0,8,1024,17.1623
0,0,8,2048,20.6933
0,0,8,4096,26.5497
0,0,8,8192,38.1017
0,0,8,16384,59.7967
0,0,8,32768,103.019
0,0,16,16,12.4053
0,0,16,32,12.5227
0,0,16,64,12.352
0,0,16,128,13.664
0,0,16,256,14.7733
0,0,16,512,17.781
0,0,16,1024,20.672
0,0,16,2048,26.9337
0,0,16,4096,38.784
0,0,16,8192,60.3307
0,0,16,16384,103.392
0,0,16,32768,187.925
0,0,32,16,12.7463
0,0,32,32,12.7043
0,0,32,64,12.8743
0,0,32,128,13.898
0,0,32,256,15.232
0,0,32,512,21.4077
0,0,32,1024,28.1383
0,0,32,2048,39.7977
0,0,32,4096,61.877
0,0,32,8192,103.125
0,0,32,16384,189.056
0,0,32,32768,358.592
0,0,64,16,13.0123
0,0,64,32,13.067
0,0,64,64,12.9813
0,0,64,128,15.7013
0,0,64,256,19.4987
0,0,64,512,30.0157
0,0,64,1024,42.283
0,0,64,2048,65.0453
0,0,64,4096,107.275
0,0,64,8192,192.117
0,0,64,16384,361.759
0,0,64,32768,698.238
0,0,128,16,17.2693
0,0,128,32,17.5147
0,0,128,64,19.4033
0,0,128,128,24.128
0,0,128,256,31.3067
0,0,128,512,47.52
0,0,128,1024,70.923
0,0,128,2048,112.693
0,0,128,4096,196.223
0,0,128,8192,362.377
0,0,128,16384,700.072
0,0,128,32768,1362.18
0,0,256,16,24.587
0,0,256,32,25.344
0,0,256,64,27.3607
0,0,256,128,35.9147
0,0,256,256,46.5277
0,0,256,512,73.9627
0,0,256,1024,117.279
0,0,256,2048,199.082
0,0,256,4096,364.053
0,0,256,8192,696.563
0,0,256,16384,1367.93
0,0,256,32768,2717.73
16,0,0,0,12.4377
16,0,1,16,11.7437
16,0,1,32,11.787
16,0,1,64,11.6373
16,0,1,128,12.6077
16,0,1,256,13.653
16,0,1,512,14.6877
16,0,1,1024,15.7973
16,0,1,2048,16.1703
16,0,1,4096,17.0773
16,0,1,8192,18.6773
16,0,1,16384,22.7307
16,0,1,32768,30.7627
16,0,2,16,11.744
16,0,2,32,11.6257
16,0,2,64,11.6373
16,0,2,128,12.6933
16,0,2,256,13.7703
16,0,2,512,14.9223
16,0,2,1024,15.999
16,0,2,2048,16.5337
16,0,2,4096,17.9627
16,0,2,8192,21.28
16,0,2,16384,28.3413
16,0,2,32768,39.6267
16,0,4,16,11.7653
16,0,4,32,11.819
16,0,4,64,11.7657
16,0,4,128,12.6613
16,0,4,256,13.7493
16,0,4,512,15.403
16,0,4,1024,16.3523
16,0,4,2048,17.4073
16,0,4,4096,20.7677
16,0,4,8192,27.104
16,0,4,16384,38.4957
16,0,4,32768,61.0873
16,0,8,16,11.7867
16,0,8,32,11.6803
16,0,8,64,11.7433
16,0,8,128,13.0133
16,0,8,256,13.8877
16,0,8,512,16.032
16,0,8,1024,17.3227
16,0,8,2048,20.586
16,0,8,4096,27.1257
16,0,8,8192,39.136
16,0,8,16384,59.8403
16,0,8,32768,103.51
16,0,16,16,12.3737
16,0,16,32,12.3093
16,0,16,64,12.341
16,0,16,128,13.76
16,0,16,256,14.4853
16,0,16,512,17.8137
16,0,16,1024,21.184
16,0,16,2048,27.3707
16,0,16,4096,39.1147
16,0,16,8192,60.4267
16,0,16,16384,103.199
16,0,16,32768,187.252
16,0,32,16,12.9593
16,0,32,32,12.8207
16,0,32,64,12.9277
16,0,32,128,14.154
16,0,32,256,15.4027
16,0,32,512,21.3117
16,0,32,1024,28.458
16,0,32,2048,40.811
16,0,32,4096,61.7277
16,0,32,8192,103.828
16,0,32,16384,189.344
16,0,32,32768,360.383
16,0,64,16,13.1513
16,0,64,32,12.9923
16,0,64,64,13.1307
16,0,64,128,15.531
16,0,64,256,19.189
16,0,64,512,30.4317
16,0,64,1024,42.4
16,0,64,2048,64.448
16,0,64,4096,106.432
16,0,64,8192,191.839
16,0,64,16384,361.6
16,0,64,32768,697.929
16,0,128,16,17.2587
16,0,128,32,17.7283
16,0,128,64,19.264
16,0,128,128,23.552
16,0,128,256,30.8153
16,0,128,512,47.093
16,0,128,1024,70.4747
16,0,128,2048,111.071
16,0,128,4096,194.794
16,0,128,8192,360.479
16,0,128,16384,699.624
16,0,128,32768,1368.22
16,16,0,0,12.4907
16,16,1,16,11.7867
16,16,1,32,11.6693
16,16,1,64,11.7227
16,16,1,128,12.6507
16,16,1,256,13.5783
16,16,1,512,14.357
16,16,1,1024,15.818
16,16,1,2048,16.149
16,16,1,4096,16.8853
16,16,1,8192,18.7623
16,16,1,16384,22.8263
16,16,1,32768,31.0507
16,16,2,16,11.691
16,16,2,32,11.744
16,16,2,64,11.7113
16,16,2,128,12.7253
16,16,2,256,13.6853
16,16,2,512,15.0293
16,16,2,1024,15.7653
16,16,2,2048,16.3943
16,16,2,4096,17.8453
16,16,2,8192,21.141
16,16,2,16384,28.149
16,16,2,32768,39.104
16,16,4,16,11.7543
16,16,4,32,11.766
16,16,4,64,11.797
16,16,4,128,12.6717
16,16,4,256,13.7497
16,16,4,512,15.211
16,16,4,1024,16.32
16,16,4,2048,17.2267
16,16,4,4096,20.7353
16,16,4,8192,27.6267
16,16,4,16384,39.6373
16,16,4,32768,60.9487
16,16,8,16,11.701
16,16,8,32,11.8403
16,16,8,64,11.7657
16,16,8,128,13.0127
16,16,8,256,13.9417
16,16,8,512,16.139
16,16,8,1024,17.269
16,16,8,2048,20.6713
16,16,8,4096,27.0083
16,16,8,8192,38.6453
16,16,8,16384,60.49
16,16,8,32768,101.482
16,16,16,16,12.373
16,16,16,32,12.2777
16,16,16,64,12.245
16,16,16,128,13.813
16,16,16,256,14.5387
16,16,16,512,17.9413
16,16,16,1024,21.0667
16,16,16,2048,27.9037
16,16,16,4096,39.307
16,16,16,8192,60.7893
16,16,16,16384,102.944
16,16,16,32768,187.731
16,16,32,16,12.864
16,16,32,32,12.715
16,16,32,64,12.81
16,16,32,128,14.2073
16,16,32,256,15.2
16,16,32,512,22.3463
16,16,32,1024,28.2667
16,16,32,2048,40.1703
16,16,32,4096,62.101
16,16,32,8192,104.555
16,16,32,16384,190.101
16,16,32,32768,359.733
16,16,64,16,13.0243
16,16,64,32,13.0873
16,16,64,64,13.568
16,16,64,128,15.584
16,16,64,256,19.339
16,16,64,512,29.835
16,16,64,1024,42.7207
16,16,64,2048,64.6187
16,16,64,4096,107.242
16,16,64,8192,191.733
16,16,64,16384,362.421
16,16,64,32768,699.987
16,16,128,16,17.2047
16,16,128,32,18.0583
16,16,128,64,19.52
16,16,128,128,23.093
16,16,128,256,31.136
16,16,128,512,47.1147
16,16,128,1024,70.282
16,16,128,2048,111.349
16,16,128,4096,194.784
16,16,128,8192,362.793
16,16,128,16384,699.049
16,16,128,32768,1372.1
16,32,0,0,12.683
16,32,1,16,11.7437
16,32,1,32,11.808
16,32,1,64,11.6267
16,32,1,128,12.502
16,32,1,256,13.749
16,32,1,512,14.9553
16,32,1,1024,15.5627
16,32,1,2048,15.947
16,32,1,4096,17.035
16,32,1,8192,18.911
16,32,1,16384,22.838
16,32,1,32768,30.763
16,32,2,16,11.7223
16,32,2,32,11.722
16,32,2,64,11.744
16,32,2,128,12.4163
16,32,2,256,13.7273
16,32,2,512,15.2533
16,32,2,1024,16.0953
16,32,2,2048,16.4797
16,32,2,4096,17.75
16,32,2,8192,21.4083
16,32,2,16384,28.6293
16,32,2,32768,39.3917
16,32,4,16,11.8297
16,32,4,32,11.84
16,32,4,64,11.648
16,32,4,128,12.907
16,32,4,256,13.7813
16,32,4,512,15.424
16,32,4,1024,16.2247
16,32,4,2048,17.482
16,32,4,4096,20.8427
16,32,4,8192,27.6693
16,32,4,16384,39.0717
16,32,4,32768,60.896
16,32,8,16,11.808
16,32,8,32,11.8497
16,32,8,64,11.7657
16,32,8,128,12.9387
16,32,8,256,13.8457
16,32,8,512,15.968
16,32,8,1024,17.4293
16,32,8,2048,20.9283
16,32,8,4096,27.0293
16,32,8,8192,39.1037
16,32,8,16384,60.0097
16,32,8,32768,102.357
16,32,16,16,12.2453
16,32,16,32,12.3523
16,32,16,64,12.266
16,32,16,128,13.6427
16,32,16,256,14.5067
16,32,16,512,17.835
16,32,16,1024,20.9913
16,32,16,2048,27.296
16,32,16,4096,39.4773
16,32,16,8192,60.2667
16,32,16,16384,102.826
16,32,16,32768,187.445
16,32,32,16,12.7893
16,32,32,32,12.896
16,32,32,64,12.8
16,32,32,128,14.1123
16,32,32,256,15.0087
16,32,32,512,21.7807
16,32,32,1024,28.4057
16,32,32,2048,40.6927
16,32,32,4096,62.3463
16,32,32,8192,104.245
16,32,32,16384,189.301
16,32,32,32768,359.829
16,32,64,16,12.9173
16,32,64,32,12.8533
16,32,64,64,13.28
16,32,64,128,15.5307
16,32,64,256,19.2643
16,32,64,512,30.5387
16,32,64,1024,42.8697
16,32,64,2048,64.9173
16,32,64,4096,106.326
16,32,64,8192,192.202
16,32,64,16384,362.89
16,32,64,32768,699.326
16,32,128,16,17.483
16,32,128,32,17.899
16,32,128,64,19.4343
16,32,128,128,23.4243
16,32,128,256,30.1437
16,32,128,512,48
16,32,128,1024,68.6507
16,32,128,2048,112.107
16,32,128,4096,194.442
16,32,128,8192,363.679
16,32,128,16384,699.731
16,32,128,32768,1365.5
16,64,0,0,12.5543
16,64,1,16,11.669
16,64,1,32,11.8933
16,64,1,64,11.7763
16,64,1,128,12.523
16,64,1,256,13.7283
16,64,1,512,15.008
16,64,1,1024,15.9143
16,64,1,2048,16.0853
16,64,1,4096,17.0777
16,64,1,8192,18.8907
16,64,1,16384,22.4857
16,64,1,32768,31.008
16,64,2,16,11.6163
16,64,2,32,11.6583
16,64,2,64,11.6477
16,64,2,128,12.3527
16,64,2,256,13.8557
16,64,2,512,14.858
16,64,2,1024,16.2237
16,64,2,2048,16.256
16,64,2,4096,17.888
16,64,2,8192,21.2267
16,64,2,16384,27.8503
16,64,2,32768,39.6267
16,64,4,16,11.7973
16,64,4,32,11.7967
16,64,4,64,11.787
16,64,4,128,12.682
16,64,4,256,13.7917
16,64,4,512,15.2853
16,64,4,1024,16.277
16,64,4,2048,17.4187
16,64,4,4096,20.7787
16,64,4,8192,27.4767
16,64,4,16384,39.3807
16,64,4,32768,61.5463
16,64,8,16,11.883
16,64,8,32,11.808
16,64,8,64,11.723
16,64,8,128,12.8537
16,64,8,256,13.9413
16,64,8,512,15.9887
16,64,8,1024,17.333
16,64,8,2048,20.896
16,64,8,4096,26.7627
16,64,8,8192,38.752
16,64,8,16384,59.328
16,64,8,32768,102.816
16,64,16,16,12.1173
16,64,16,32,12.341
16,64,16,64,12.2137
16,64,16,128,13.696
16,64,16,256,14.4003
16,64,16,512,17.44
16,64,16,1024,20.96
16,64,16,2048,27.211
16,64,16,4096,38.912
16,64,16,8192,60.4903
16,64,16,16384,103.371
16,64,16,32768,186.879
16,64,32,16,12.8427
16,64,32,32,12.8953
16,64,32,64,13.034
16,64,32,128,14.368
16,64,32,256,15.029
16,64,32,512,22.165
16,64,32,1024,28.32
16,64,32,2048,41.248
16,64,32,4096,62.7097
16,64,32,8192,103.563
16,64,32,16384,189.248
16,64,32,32768,358.846
16,64,64,16,13.1093
16,64,64,32,13.1087
16,64,64,64,13.184
16,64,64,128,15.7333
16,64,64,256,19.1993
16,64,64,512,30.9547
16,64,64,1024,43.3707
16,64,64,2048,65.3973
16,64,64,4096,107.242
16,64,64,8192,192.245
16,64,64,16384,361.013
16,64,64,32768,697.011
16,64,128,16,17.5037
16,64,128,32,17.7487
16,64,128,64,19.2857
16,64,128,128,23.573
16,64,128,256,30.5173
16,64,128,512,48.3203
16,64,128,1024,69.9623
16,64,128,2048,113.183
16,64,128,4096,195.104
16,64,128,8192,360.98
16,64,128,16384,699.198
16,64,128,32768,1367.84
16,128,0,0,13.7923
16,128,1,16,12.832
16,128,1,32,12.8963
16,128,1,64,12.8007
16,128,1,128,12.8847
16,128,1,256,13.7177
16,128,1,512,15.8613
16,128,1,1024,16.1707
16,128,1,2048,16.2773
16,128,1,4096,17.1197
16,128,1,8192,19.0187
16,128,1,16384,23.0293
16,128,1,32768,30.7627
16,128,2,16,12.7897
16,128,2,32,12.8523
16,128,2,64,12.662
16,128,2,128,12.7673
16,128,2,256,13.7173
16,128,2,512,15.2427
16,128,2,1024,16.1707
16,128,2,2048,16.288
16,128,2,4096,17.9523
16,128,2,8192,21.312
16,128,2,16384,27.5627
16,128,2,32768,39.296
16,128,4,16,12.8747
16,128,4,32,12.8213
16,128,4,64,12.9927
16,128,4,128,12.9703
16,128,4,256,13.7387
16,128,4,512,15.7443
16,128,4,1024,16.7993
16,128,4,2048,17.5037
16,128,4,4096,20.7573
16,128,4,8192,27.797
16,128,4,16384,38.8483
16,128,4,32768,60.8217
16,128,8,16,12.896
16,128,8,32,12.896
16,128,8,64,12.7893
16,128,8,128,12.896
16,128,8,256,13.7813
16,128,8,512,16.4693
16,128,8,1024,17.173
16,128,8,2048,20.7687
16,128,8,4096,27.1153
16,128,8,8192,39.1993
16,128,8,16384,59.9037
16,128,8,32768,102.314
16,128,16,16,12.832
16,128,16,32,12.6617
16,128,16,64,12.8633
16,128,16,128,13.4297
16,128,16,256,14.528
16,128,16,512,17.8243
16,128,16,1024,21.0557
16,128,16,2048,27.509
16,128,16,4096,38.5173
16,128,16,8192,60.1917
16,128,16,16384,102.72
16,128,16,32768,188.117
16,128,32,16,13.0557
16,128,32,32,12.8313
16,128,32,64,12.8957
16,128,32,128,14.1977
16,128,32,256,15.2
16,128,32,512,21.685
16,128,32,1024,28.981
16,128,32,2048,40.7147
16,128,32,4096,62.3677
16,128,32,8192,104.223
16,128,32,16384,189.483
16,128,32,32768,359.881
16,128,64,16,13.995
16,128,64,32,14.0053
16,128,64,64,14.25
16,128,64,128,15.9463
16,128,64,256,19.552
16,128,64,512,30.9447
16,128,64,1024,43.0393
16,128,64,2048,65.183
16,128,64,4096,108.383
16,128,64,8192,192.715
16,128,64,16384,360.564
16,128,64,32768,700.595
16,128,128,16,17.4297
16,128,128,32,17.7393
16,128,128,64,19.3067
16,128,128,128,24.086
16,128,128,256,31.1567
16,128,128,512,48.107
16,128,128,1024,70.6557
16,128,128,2048,112.587
16,128,128,4096,194.624
16,128,128,8192,362.41
16,128,128,16384,698.366
16,128,128,32768,1369.27
16,256,0,0,14.9117
16,256,1,16,14.176
16,256,1,32,14.048
16,256,1,64,14.048
16,256,1,128,14.0263
16,256,1,256,13.9627
16,256,1,512,15.3817
16,256,1,1024,16.1703
16,256,1,2048,16.309
16,256,1,4096,17.0987
16,256,1,8192,19.093
16,256,1,16384,22.742
16,256,1,32768,31.157
16,256,2,16,13.7387
16,256,2,32,13.888
16,256,2,64,14.0263
16,256,2,128,13.9517
16,256,2,256,13.8347
16,256,2,512,15.573
16,256,2,1024,15.9573
16,256,2,2048,16.907
16,256,2,4096,18.4107
16,256,2,8192,21.3437
16,256,2,16384,27.7867
16,256,2,32768,38.9657
16,256,4,16,13.8667
16,256,4,32,14.0903
16,256,4,64,13.9627
16,256,4,128,13.8563
16,256,4,256,14.0903
16,256,4,512,15.605
16,256,4,1024,16.6613
16,256,4,2048,18.005
16,256,4,4096,20.629
16,256,4,8192,27.2103
16,256,4,16384,39.3063
16,256,4,32768,60.9707
16,256,8,16,13.8663
16,256,8,32,13.7497
16,256,8,64,13.7813
16,256,8,128,13.9633
16,256,8,256,13.781
16,256,8,512,16.64
16,256,8,1024,17.7813
16,256,8,2048,20.9277
16,256,8,4096,27.1037
16,256,8,8192,39.0077
16,256,8,16384,59.8503
16,256,8,32768,102.965
16,256,16,16,13.8133
16,256,16,32,13.7917
