layer,tokens,time_us
embedding,1,3.893
embedding,2,4
embedding,3,4.18133
embedding,4,4.45833
embedding,5,4.917
embedding,6,5.10933
embedding,7,5.301
embedding,8,5.62133
embedding,9,5.90933
embedding,10,6.14367
embedding,11,6.42133
embedding,12,6.742
embedding,13,7.10367
embedding,14,7.23167
embedding,15,7.573
embedding,16,7.669
embedding,20,3.35967
embedding,24,3.328
embedding,28,3.28533
embedding,32,3.072
embedding,36,3.296
embedding,40,3.264
embedding,44,3.33867
embedding,48,3.136
embedding,52,3.32833
embedding,56,3.45567
embedding,60,3.38133
embedding,64,3.24233
embedding,80,3.32867
embedding,96,3.34967
embedding,112,3.33833
embedding,128,3.41367
embedding,144,3.86133
embedding,160,3.851
embedding,176,3.92533
embedding,192,3.979
embedding,208,4
embedding,224,4.064
embedding,240,4.16033
embedding,256,4.20267
embedding,272,4.576
embedding,288,4.65033
embedding,304,4.747
embedding,320,4.88567
embedding,336,4.94933
embedding,352,4.90667
embedding,368,5.34367
embedding,384,5.29067
embedding,400,5.66367
embedding,416,5.75967
embedding,432,5.866
embedding,448,5.792
embedding,464,5.86667
embedding,480,5.92
embedding,496,5.952
embedding,512,5.984
embedding,528,5.99467
embedding,544,6.03733
embedding,560,6.14433
embedding,576,6.19733
embedding,592,6.28267
embedding,608,6.41067
embedding,624,6.34633
embedding,640,6.46367
embedding,656,6.41067
embedding,672,6.51733
embedding,688,6.528
embedding,704,6.52767
embedding,720,6.56
embedding,736,6.67733
embedding,752,6.76267
embedding,768,6.78333
embedding,784,6.89067
embedding,800,6.848
embedding,816,6.99733
embedding,832,7.12533
embedding,848,6.98667
embedding,864,6.96533
embedding,880,7.06133
embedding,896,7.104
embedding,912,7.199
embedding,928,7.22133
embedding,944,7.24233
embedding,960,7.29567
embedding,976,7.39167
embedding,992,7.424
embedding,1008,7.49867
embedding,1024,7.53033
embedding,1040,7.70167
embedding,1056,7.81867
embedding,1072,7.86133
embedding,1088,8.14933
embedding,1104,8.04233
embedding,1120,8.192
embedding,1136,8.24533
embedding,1152,8.256
embedding,1168,8.17
embedding,1184,8.245
embedding,1200,8.32033
embedding,1216,8.49067
embedding,1232,8.53333
embedding,1248,8.39467
embedding,1264,8.56533
embedding,1280,8.59767
embedding,1296,8.49067
embedding,1312,8.58633
embedding,1328,8.661
embedding,1344,8.71433
embedding,1360,8.62933
embedding,1376,8.74667
embedding,1392,8.78933
embedding,1408,8.93867
embedding,1424,8.93867
embedding,1440,9.077
embedding,1456,9.03467
embedding,1472,9.04533
embedding,1488,9.216
embedding,1504,9.13067
embedding,1520,9.30133
embedding,1536,9.23767
embedding,1552,9.28
embedding,1568,9.472
embedding,1584,9.41833
embedding,1600,9.49333
embedding,1616,9.40767
embedding,1632,9.55733
embedding,1648,9.579
embedding,1664,9.64267
embedding,1680,9.66433
embedding,1696,9.728
embedding,1712,9.74933
embedding,1728,9.83567
embedding,1744,9.86633
embedding,1760,9.824
embedding,1776,9.80267
embedding,1792,9.87733
embedding,1808,10.0373
embedding,1824,10.0907
embedding,1840,10.0797
embedding,1856,10.1547
embedding,1872,10.24
embedding,1888,10.176
embedding,1904,10.2827
embedding,1920,10.4107
embedding,1936,10.4
embedding,1952,10.4853
embedding,1968,10.497
embedding,1984,10.4107
embedding,2000,10.5707
embedding,2016,10.6557
embedding,2032,10.645
embedding,2048,10.72
final_layernorm,1,3.01867
final_layernorm,2,2.976
final_layernorm,3,3.12567
final_layernorm,4,2.89033
final_layernorm,5,3.01867
final_layernorm,6,2.89067
final_layernorm,7,2.997
final_layernorm,8,2.891
final_layernorm,9,2.89067
final_layernorm,10,2.912
final_layernorm,11,2.92233
final_layernorm,12,2.90133
final_layernorm,13,2.912
final_layernorm,14,2.923
final_layernorm,15,2.912
final_layernorm,16,2.923
final_layernorm,20,2.93333
final_layernorm,24,2.944
final_layernorm,28,2.94367
final_layernorm,32,2.92267
final_layernorm,36,2.997
final_layernorm,40,2.944
final_layernorm,44,2.95467
final_layernorm,48,2.976
final_layernorm,52,2.95433
final_layernorm,56,3.16767
final_layernorm,60,3.01933
final_layernorm,64,2.976
final_layernorm,80,3.08267
final_layernorm,96,3.13633
final_layernorm,112,3.36
final_layernorm,128,3.44533
final_layernorm,144,4.14967
final_layernorm,160,4.245
final_layernorm,176,4.27733
final_layernorm,192,4.38367
final_layernorm,208,4.43733
final_layernorm,224,4.48
final_layernorm,240,4.565
final_layernorm,256,5.12
final_layernorm,272,5.482
final_layernorm,288,5.84533
final_layernorm,304,5.84533
final_layernorm,320,6.04767
final_layernorm,336,6.03733
final_layernorm,352,6.15467
final_layernorm,368,6.432
final_layernorm,384,6.528
final_layernorm,400,7.008
final_layernorm,416,7.11467
final_layernorm,432,7.44533
final_layernorm,448,7.61567
final_layernorm,464,7.59433
final_layernorm,480,7.90367
final_layernorm,496,8
final_layernorm,512,8.021
final_layernorm,528,8
final_layernorm,544,8.64
final_layernorm,560,8.90667
final_layernorm,576,8.81033
final_layernorm,592,9.03467
final_layernorm,608,9.152
final_layernorm,624,9.26933
final_layernorm,640,9.42933
final_layernorm,656,9.47233
final_layernorm,672,9.792
final_layernorm,688,10.0267
final_layernorm,704,10.2507
final_layernorm,720,10.4853
final_layernorm,736,10.5173
final_layernorm,752,10.5067
final_layernorm,768,10.6987
final_layernorm,784,10.8697
final_layernorm,800,11.2853
final_layernorm,816,11.6583
final_layernorm,832,11.8613
final_layernorm,848,11.9573
final_layernorm,864,12.1813
final_layernorm,880,12.0213
final_layernorm,896,12.1813
final_layernorm,912,12.512
final_layernorm,928,13.0877
final_layernorm,944,13.387
final_layernorm,960,13.7173
final_layernorm,976,13.7923
final_layernorm,992,14.1223
final_layernorm,1008,14.048
final_layernorm,1024,14.336
final_layernorm,1040,13.984
final_layernorm,1056,14.251
final_layernorm,1072,16.917
final_layernorm,1088,17.0347
final_layernorm,1104,17.3867
final_layernorm,1120,17.3867
final_layernorm,1136,17.824
final_layernorm,1152,17.4613
final_layernorm,1168,17.5357
final_layernorm,1184,17.824
final_layernorm,1200,18.0373
final_layernorm,1216,18.0583
final_layernorm,1232,18.0373
final_layernorm,1248,18.1117
final_layernorm,1264,18.4847
final_layernorm,1280,18.5063
final_layernorm,1296,18.5387
final_layernorm,1312,19.1573
final_layernorm,1328,19.264
final_layernorm,1344,19.0503
final_layernorm,1360,19.1033
final_layernorm,1376,19.4133
final_layernorm,1392,19.6797
final_layernorm,1408,19.7547
final_layernorm,1424,20.437
final_layernorm,1440,20.3303
final_layernorm,1456,20.7467
final_layernorm,1472,20.6187
final_layernorm,1488,21.216
final_layernorm,1504,21.269
final_layernorm,1520,21.792
final_layernorm,1536,22.3893
final_layernorm,1552,22.2077
final_layernorm,1568,22.496
final_layernorm,1584,22.7627
final_layernorm,1600,22.9547
final_layernorm,1616,23.456
final_layernorm,1632,23.4557
final_layernorm,1648,24.2777
final_layernorm,1664,24.949
final_layernorm,1680,24.5867
final_layernorm,1696,25.056
final_layernorm,1712,25.3543
final_layernorm,1728,26.0267
final_layernorm,1744,26.325
final_layernorm,1760,26.3997
final_layernorm,1776,26.5707
final_layernorm,1792,27.413
final_layernorm,1808,27.5203
final_layernorm,1824,28.416
final_layernorm,1840,28.3623
final_layernorm,1856,29.408
final_layernorm,1872,29.344
final_layernorm,1888,30.421
final_layernorm,1904,30.3147
final_layernorm,1920,31.3067
final_layernorm,1936,31.125
final_layernorm,1952,31.3707
final_layernorm,1968,32.01
final_layernorm,1984,32.3197
final_layernorm,2000,32.224
final_layernorm,2016,33.504
final_layernorm,2032,32.9387
final_layernorm,2048,33.749
layernorm,1,2.8
layernorm,2,2.81617
layernorm,3,2.72533
layernorm,4,2.76267
layernorm,5,2.71467
layernorm,6,2.81583
layernorm,7,2.7415
layernorm,8,2.80017
layernorm,9,2.70367
layernorm,10,2.73067
layernorm,11,2.6985
layernorm,12,2.72
layernorm,13,2.6985
layernorm,14,2.72533
layernorm,15,2.76267
layernorm,16,2.74667
layernorm,20,2.7785
layernorm,24,2.752
layernorm,28,2.71483
layernorm,32,2.72533
layernorm,36,2.70933
layernorm,40,2.72533
layernorm,44,2.736
layernorm,48,2.768
layernorm,52,2.7625
layernorm,56,2.76783
layernorm,60,2.70917
layernorm,64,2.73067
layernorm,80,2.8215
layernorm,96,2.912
layernorm,112,2.98133
layernorm,128,3.056
layernorm,144,3.55217
layernorm,160,3.64267
layernorm,176,3.77067
layernorm,192,3.72283
layernorm,208,3.80783
layernorm,224,3.90383
layernorm,240,4.04783
layernorm,256,4.5545
layernorm,272,4.83733
layernorm,288,4.84217
layernorm,304,5.01333
layernorm,320,5.136
layernorm,336,5.3335
layernorm,352,5.39183
layernorm,368,5.52
layernorm,384,5.58933
layernorm,400,5.7015
layernorm,416,5.89333
layernorm,432,5.94117
layernorm,448,6.09583
layernorm,464,6.096
layernorm,480,6.25067
layernorm,496,6.352
layernorm,512,6.44817
layernorm,528,6.48033
layernorm,544,6.8585
layernorm,560,7.024
layernorm,576,7.152
layernorm,592,7.115
layernorm,608,7.296
layernorm,624,7.44533
layernorm,640,7.42933
layernorm,656,7.59467
layernorm,672,8.07467
layernorm,688,7.9735
layernorm,704,8.34117
layernorm,720,8.144
layernorm,736,8.6295
layernorm,752,8.69317
layernorm,768,8.72
layernorm,784,8.6185
layernorm,800,8.95467
layernorm,816,9.104
layernorm,832,9.696
layernorm,848,9.10933
layernorm,864,9.80783
layernorm,880,9.312
layernorm,896,10.0585
layernorm,912,10.0903
layernorm,928,10.4747
layernorm,944,10.7037
layernorm,960,10.7732
layernorm,976,10.7518
layernorm,992,10.8692
layernorm,1008,10.9812
layernorm,1024,11.04
layernorm,1040,11.152
layernorm,1056,11.3707
layernorm,1072,12.7358
layernorm,1088,13.1518
layernorm,1104,12.9973
layernorm,1120,13.0347
layernorm,1136,13.2107
layernorm,1152,13.5945
layernorm,1168,13.4023
layernorm,1184,13.5198
layernorm,1200,13.9038
layernorm,1216,13.7867
layernorm,1232,13.7652
layernorm,1248,14.0053
layernorm,1264,14.1652
layernorm,1280,14.2238
layernorm,1296,14.2718
layernorm,1312,14.3733
layernorm,1328,14.6023
layernorm,1344,14.656
layernorm,1360,14.8692
layernorm,1376,14.9013
layernorm,1392,15.3813
layernorm,1408,15.1733
layernorm,1424,15.632
layernorm,1440,15.744
layernorm,1456,15.8667
layernorm,1472,16.0957
layernorm,1488,16.1547
layernorm,1504,16.2292
layernorm,1520,16.576
layernorm,1536,16.645
layernorm,1552,16.944
layernorm,1568,17.2105
layernorm,1584,17.3385
layernorm,1600,17.5733
layernorm,1616,17.6478
layernorm,1632,17.9787
layernorm,1648,18.0427
layernorm,1664,18.1173
layernorm,1680,18.5815
layernorm,1696,18.6292
layernorm,1712,19.0397
layernorm,1728,19.6848
layernorm,1744,19.4027
layernorm,1760,19.3917
layernorm,1776,19.5518
layernorm,1792,20.0213
layernorm,1808,20.2132
layernorm,1824,20.5492
layernorm,1840,20.9172
layernorm,1856,21.2693
layernorm,1872,21.3492
layernorm,1888,21.8825
layernorm,1904,22.1813
layernorm,1920,22.3253
layernorm,1936,22.5067
layernorm,1952,22.469
layernorm,1968,22.592
layernorm,1984,23.264
layernorm,2000,22.981
layernorm,2016,23.4557
layernorm,2032,23.392
layernorm,2048,23.4398
o_proj,1,28.437
o_proj,2,28.704
o_proj,3,29.749
o_proj,4,28.8957
o_proj,5,29.2373
o_proj,6,28.8637
o_proj,7,29.3547
o_proj,8,28.9383
o_proj,9,29.4293
o_proj,10,28.949
o_proj,11,29.205
o_proj,12,29.184
o_proj,13,29.44
o_proj,14,29.6213
o_proj,15,29.5253
o_proj,16,29.3223
o_proj,20,29.8133
o_proj,24,29.7387
o_proj,28,29.8343
