prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,11.7867
0,0,1,32,11.8397
0,0,1,64,12
0,0,1,128,13.2583
0,0,1,256,16.3627
0,0,1,512,17.1093
0,0,1,1024,16.7677
0,0,1,2048,17.8983
0,0,1,4096,21.2587
0,0,1,8192,27.2643
0,0,1,16384,39.52
0,0,2,16,11.7653
0,0,2,32,11.8183
0,0,2,64,11.9793
0,0,2,128,13.0667
0,0,2,256,16.3417
0,0,2,512,16.2773
0,0,2,1024,16.8
0,0,2,2048,19.9257
0,0,2,4096,25.5043
0,0,2,8192,37.5467
0,0,2,16384,60.2447
0,0,4,16,12.0537
0,0,4,32,12.1923
0,0,4,64,12.2133
0,0,4,128,13.8453
0,0,4,256,16.7253
0,0,4,512,16.9707
0,0,4,1024,19.6373
0,0,4,2048,25.504
0,0,4,4096,36.8
0,0,4,8192,59.21
0,0,4,16384,100.288
0,0,8,16,12.2453
0,0,8,32,12.6823
0,0,8,64,13.0137
0,0,8,128,14.5497
0,0,8,256,17.3543
0,0,8,512,19.36
0,0,8,1024,25.6743
0,0,8,2048,37.098
0,0,8,4096,58.6977
0,0,8,8192,100.533
0,0,8,16384,184.619
0,0,16,16,12.811
0,0,16,32,12.8427
0,0,16,64,13.4827
0,0,16,128,15.669
0,0,16,256,17.7707
0,0,16,512,26.282
0,0,16,1024,38.357
0,0,16,2048,59.36
0,0,16,4096,100.789
0,0,16,8192,185.599
0,0,16,16384,353.129
0,0,32,16,13.184
0,0,32,32,13.514
0,0,32,64,14.304
0,0,32,128,18.017
0,0,32,256,22.2183
0,0,32,512,37.7917
0,0,32,1024,59.0403
0,0,32,2048,101.087
0,0,32,4096,185.29
0,0,32,8192,354.847
0,0,32,16384,689.033
0,0,64,16,17.3547
0,0,64,32,17.9947
0,0,64,64,19.328
0,0,64,128,25.536
0,0,64,256,37.0347
0,0,64,512,63.5307
0,0,64,1024,106.453
0,0,64,2048,189.823
0,0,64,4096,358.698
0,0,64,8192,694.217
0,0,64,16384,1365.95
0,0,128,16,26.4
0,0,128,32,26.7197
0,0,128,64,28.8643
0,0,128,128,40.9167
0,0,128,256,63.6587
0,0,128,512,112.191
0,0,128,1024,196.373
0,0,128,2048,362.1
0,0,128,4096,700.5
0,0,128,8192,1375.14
0,0,128,16384,2715.83
0,0,256,16,43.7547
0,0,256,32,44.1817
0,0,256,64,47.1577
0,0,256,128,67.0187
0,0,256,256,113.589
0,0,256,512,210.015
0,0,256,1024,377.557
0,0,256,2048,711.646
0,0,256,4096,1381.33
0,0,256,8192,2721.59
0,0,256,16384,5420.74
16,0,0,0,14.475
16,0,1,16,14.5387
16,0,1,32,14.3257
16,0,1,64,14.56
16,0,1,128,15.883
16,0,1,256,18.9763
