layer,tokens,time_us
embedding,1,3.83
embedding,2,4.01067
embedding,3,4.22367
embedding,4,4.39467
embedding,5,4.88567
embedding,6,5.03467
embedding,7,5.33333
embedding,8,5.58933
embedding,9,6.12267
embedding,10,6.208
embedding,11,6.43233
embedding,12,6.591
embedding,13,6.944
embedding,14,7.30667
embedding,15,7.51967
embedding,16,7.64833
embedding,20,3.26433
embedding,24,3.27467
embedding,28,3.168
embedding,32,3.07167
embedding,36,3.25333
embedding,40,3.147
embedding,44,3.157
embedding,48,3.093
embedding,52,3.328
embedding,56,3.264
embedding,60,3.28567
embedding,64,3.14667
embedding,80,3.27433
embedding,96,3.2
embedding,112,3.28533
embedding,128,3.296
embedding,144,3.69067
embedding,160,3.69067
embedding,176,3.70133
embedding,192,3.71233
embedding,208,3.829
embedding,224,3.77567
embedding,240,3.88267
embedding,256,3.883
embedding,272,4.24533
embedding,288,4.28767
embedding,304,4.34133
embedding,320,4.34133
embedding,336,4.40533
embedding,352,4.48
embedding,368,4.608
embedding,384,4.49067
embedding,400,4.94867
embedding,416,5.03467
embedding,432,4.992
embedding,448,5.04533
embedding,464,5.14133
embedding,480,5.226
embedding,496,5.17333
embedding,512,5.333
embedding,528,5.22667
embedding,544,5.55733
embedding,560,5.654
embedding,576,5.58933
embedding,592,5.69567
embedding,608,5.739
embedding,624,5.74967
embedding,640,5.845
embedding,656,5.69533
embedding,672,5.84533
embedding,688,5.84533
embedding,704,5.74967
embedding,720,5.824
embedding,736,5.89867
embedding,752,5.94133
embedding,768,6.00567
embedding,784,5.878
embedding,800,5.95167
embedding,816,5.97333
embedding,832,6.112
embedding,848,6.08
embedding,864,6.03733
embedding,880,6.20767
embedding,896,6.19767
embedding,912,6.12267
embedding,928,6.14433
embedding,944,6.13333
embedding,960,6.24067
embedding,976,6.262
embedding,992,6.33633
embedding,1008,6.368
embedding,1024,6.53833
embedding,1040,6.46367
embedding,1056,6.56
embedding,1072,6.75233
embedding,1088,6.84833
embedding,1104,6.86933
embedding,1120,6.87
embedding,1136,6.976
embedding,1152,6.92267
embedding,1168,6.98667
embedding,1184,6.99733
embedding,1200,6.923
embedding,1216,6.97567
embedding,1232,7.04
embedding,1248,7.01833
embedding,1264,7.08267
embedding,1280,7.157
embedding,1296,7.051
embedding,1312,7.136
embedding,1328,7.13633
embedding,1344,7.13633
embedding,1360,7.14633
embedding,1376,7.189
embedding,1392,7.24267
embedding,1408,7.25333
embedding,1424,7.24267
embedding,1440,7.21067
embedding,1456,7.296
embedding,1472,7.41267
embedding,1488,7.29533
embedding,1504,7.392
embedding,1520,7.392
embedding,1536,7.456
embedding,1552,7.55233
embedding,1568,7.53067
embedding,1584,7.64833
embedding,1600,7.72267
embedding,1616,7.616
embedding,1632,7.712
embedding,1648,7.75467
embedding,1664,7.70133
embedding,1680,7.78633
embedding,1696,7.74367
embedding,1712,7.893
embedding,1728,7.90433
embedding,1744,7.85033
embedding,1760,7.904
embedding,1776,7.96767
embedding,1792,8.02133
embedding,1808,8.04267
embedding,1824,7.97867
embedding,1840,8.032
embedding,1856,8.11733
embedding,1872,8.15933
embedding,1888,8.14933
embedding,1904,8.117
embedding,1920,8.11733
embedding,1936,8.22433
embedding,1952,8.235
embedding,1968,8.29833
embedding,1984,8.34133
embedding,2000,8.35167
embedding,2016,8.43733
embedding,2032,8.416
embedding,2048,8.48
final_layernorm,1,2.688
final_layernorm,2,2.69867
final_layernorm,3,2.656
final_layernorm,4,2.64533
final_layernorm,5,2.656
final_layernorm,6,2.63467
final_layernorm,7,2.67733
final_layernorm,8,2.709
final_layernorm,9,2.65633
final_layernorm,10,2.72
final_layernorm,11,2.70933
final_layernorm,12,2.65633
final_layernorm,13,2.64567
final_layernorm,14,2.63467
final_layernorm,15,2.688
final_layernorm,16,2.66633
final_layernorm,20,2.60233
final_layernorm,24,2.859
final_layernorm,28,2.64533
final_layernorm,32,2.63433
final_layernorm,36,2.656
final_layernorm,40,2.66667
final_layernorm,44,2.66667
final_layernorm,48,2.667
final_layernorm,52,2.72
final_layernorm,56,2.67733
final_layernorm,60,2.76267
final_layernorm,64,2.688
final_layernorm,80,2.74133
final_layernorm,96,2.78433
final_layernorm,112,2.816
final_layernorm,128,2.85867
final_layernorm,144,3.37033
final_layernorm,160,3.40267
final_layernorm,176,3.53067
final_layernorm,192,3.53067
final_layernorm,208,3.61567
final_layernorm,224,3.62667
final_layernorm,240,3.71167
final_layernorm,256,3.872
final_layernorm,272,4.33067
final_layernorm,288,4.36267
final_layernorm,304,4.36233
final_layernorm,320,4.45833
final_layernorm,336,4.55467
final_layernorm,352,4.74667
final_layernorm,368,4.736
final_layernorm,384,4.981
final_layernorm,400,5.344
final_layernorm,416,5.22667
final_layernorm,432,5.39733
final_layernorm,448,5.39733
final_layernorm,464,5.50433
final_layernorm,480,5.79167
final_layernorm,496,5.84533
final_layernorm,512,5.632
final_layernorm,528,6.048
final_layernorm,544,6.37867
final_layernorm,560,6.45333
final_layernorm,576,6.58133
final_layernorm,592,6.53867
final_layernorm,608,6.741
final_layernorm,624,6.656
final_layernorm,640,6.93367
final_layernorm,656,6.92267
final_layernorm,672,7.32833
final_layernorm,688,7.38133
final_layernorm,704,7.424
final_layernorm,720,7.49867
final_layernorm,736,7.552
final_layernorm,752,7.61633
final_layernorm,768,7.82933
final_layernorm,784,7.73333
final_layernorm,800,8.05333
final_layernorm,816,8.309
final_layernorm,832,8.39467
final_layernorm,848,8.384
final_layernorm,864,8.448
final_layernorm,880,8.44833
final_layernorm,896,8.75733
final_layernorm,912,8.49033
final_layernorm,928,8.928
final_layernorm,944,9.32233
final_layernorm,960,9.22667
final_layernorm,976,9.16267
final_layernorm,992,9.19467
final_layernorm,1008,9.216
final_layernorm,1024,9.45067
final_layernorm,1040,9.42933
final_layernorm,1056,9.74967
final_layernorm,1072,10.8693
final_layernorm,1088,11.264
final_layernorm,1104,11.5413
final_layernorm,1120,11.52
final_layernorm,1136,11.84
final_layernorm,1152,11.7227
final_layernorm,1168,11.733
final_layernorm,1184,11.9893
final_layernorm,1200,11.979
final_layernorm,1216,12.3093
final_layernorm,1232,12.2987
final_layernorm,1248,12.5013
final_layernorm,1264,12.5227
final_layernorm,1280,12.4907
final_layernorm,1296,12.501
final_layernorm,1312,12.544
final_layernorm,1328,12.6293
final_layernorm,1344,12.704
final_layernorm,1360,12.8427
final_layernorm,1376,13.0133
final_layernorm,1392,13.344
final_layernorm,1408,13.248
final_layernorm,1424,13.3013
final_layernorm,1440,13.12
final_layernorm,1456,13.4933
final_layernorm,1472,13.8663
final_layernorm,1488,13.76
final_layernorm,1504,13.8133
final_layernorm,1520,14.3787
final_layernorm,1536,14.048
final_layernorm,1552,14.1973
final_layernorm,1568,14.005
final_layernorm,1584,14.3253
final_layernorm,1600,14.3467
final_layernorm,1616,14.7307
final_layernorm,1632,14.3257
final_layernorm,1648,14.5177
final_layernorm,1664,15.0507
final_layernorm,1680,14.6877
final_layernorm,1696,15.285
final_layernorm,1712,14.8477
final_layernorm,1728,15.1253
final_layernorm,1744,15.136
final_layernorm,1760,15.5087
final_layernorm,1776,15.424
final_layernorm,1792,15.904
final_layernorm,1808,15.797
final_layernorm,1824,15.7863
