layer,sequences,time_us
lm_head,1,25.4187
lm_head,2,25.227
lm_head,3,25.0133
lm_head,4,25.0883
lm_head,5,25.1733
lm_head,6,25.493
lm_head,7,25.141
lm_head,8,25.5787
lm_head,9,24.2773
lm_head,10,25.5147
lm_head,11,25.6853
lm_head,12,25.5147
lm_head,13,25.2907
lm_head,14,25.7497
lm_head,15,25.728
lm_head,16,26.2933
lm_head,20,26.0267
lm_head,24,25.0983
lm_head,28,25.8027
lm_head,32,26.5813
lm_head,36,26.357
lm_head,40,26.2297
lm_head,44,27.0503
lm_head,48,25.376
lm_head,52,26.7197
lm_head,56,26.613
lm_head,60,26.6667
lm_head,64,26.4107
lm_head,80,26.0907
lm_head,96,27.3813
lm_head,112,27.136
lm_head,128,27.5627
lm_head,144,27.7977
lm_head,160,27.7433
lm_head,176,27.9787
lm_head,192,28.256
lm_head,208,30.2503
lm_head,224,30.2187
lm_head,240,30.8163
lm_head,256,31.2107
sampler,1,15.0613
sampler,2,15.1883
sampler,3,15.2853
sampler,4,15.2217
sampler,5,15.2747
sampler,6,15.2533
sampler,7,15.1787
sampler,8,15.1573
sampler,9,15.2323
sampler,10,15.2423
sampler,11,15.1787
sampler,12,15.4237
sampler,13,15.3707
sampler,14,15.5093
sampler,15,15.2637
sampler,16,14.987
sampler,20,15.296
sampler,24,15.2427
sampler,28,15.68
sampler,32,15.648
sampler,36,16.97
sampler,40,16.885
sampler,44,17.12
sampler,48,17.3227
sampler,52,17.632
sampler,56,17.312
sampler,60,17.6213
sampler,64,18.0483
sampler,80,19.3817
sampler,96,19.936
sampler,112,21.5037
sampler,128,22.4957
sampler,144,26.8267
sampler,160,27.968
sampler,176,30.1013
sampler,192,32.4267
sampler,208,34.4847
sampler,224,36.4267
sampler,240,39.072
sampler,256,40.9917
