prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,101.803
0,0,1,32,103.232
0,0,1,64,104.351
0,0,1,128,105.588
0,0,1,256,109.364
0,0,1,512,111.188
0,0,1,1024,111.231
0,0,1,2048,112.415
0,0,1,4096,117.887
0,0,1,8192,123.455
0,0,1,16384,130.207
0,0,1,32768,138.773
0,0,2,16,102.708
0,0,2,32,102.634
0,0,2,64,104.351
0,0,2,128,106.165
0,0,2,256,110.175
0,0,2,512,111.275
0,0,2,1024,113.353
0,0,2,2048,116.223
0,0,2,4096,123.498
0,0,2,8192,129.292
0,0,2,16384,138.805
0,0,2,32768,147.487
0,0,4,16,103.518
0,0,4,32,103.008
0,0,4,64,104.938
0,0,4,128,106.646
0,0,4,256,111.776
0,0,4,512,114.144
0,0,4,1024,115.968
0,0,4,2048,123.541
0,0,4,4096,130.186
0,0,4,8192,140.649
0,0,4,16384,148.574
0,0,4,32768,176.16
0,0,8,16,105.567
0,0,8,32,105.12
0,0,8,64,106.815
0,0,8,128,108.863
0,0,8,256,116.235
0,0,8,512,118.122
0,0,8,1024,124.266
0,0,8,2048,131.297
0,0,8,4096,138.528
0,0,8,8192,149.588
0,0,8,16384,177.289
0,0,8,32768,225.96
0,0,16,16,105.493
0,0,16,32,105.832
0,0,16,64,107.093
0,0,16,128,108.8
0,0,16,256,122.326
0,0,16,512,123.988
0,0,16,1024,130.132
0,0,16,2048,136.02
0,0,16,4096,148.853
0,0,16,8192,173.322
0,0,16,16384,221.034
0,0,16,32768,316.576
0,0,32,16,114.901
0,0,32,32,113.931
0,0,32,64,115.466
0,0,32,128,117.151
0,0,32,256,135.156
0,0,32,512,139.732
0,0,32,1024,146.452
0,0,32,2048,158.239
0,0,32,4096,181.129
0,0,32,8192,231.743
0,0,32,16384,324.905
0,0,32,32768,518.387
0,0,64,16,114.369
0,0,64,32,113.878
0,0,64,64,116.063
0,0,64,128,117.577
0,0,64,256,143.274
0,0,64,512,149.302
0,0,64,1024,160.597
0,0,64,2048,185.782
0,0,64,4096,234.069
0,0,64,8192,332.66
0,0,64,16384,522.686
0,0,64,32768,902.075
0,0,128,16,122.271
0,0,128,32,122.049
0,0,128,64,123.391
0,0,128,128,127.049
0,0,128,256,146.909
0,0,128,512,160.448
0,0,128,1024,184.788
0,0,128,2048,234.357
0,0,128,4096,328.511
0,0,128,8192,520.679
0,0,128,16384,900.902
0,0,128,32768,1657.94
0,0,256,16,143.051
0,0,256,32,144.576
0,0,256,64,148.073
0,0,256,128,155.583
0,0,256,256,202.336
0,0,256,512,228.051
0,0,256,1024,277.236
0,0,256,2048,371.145
0,0,256,4096,559.613
0,0,256,8192,943.932
0,0,256,16384,1700.06
0,0,256,32768,3218.18
16,0,0,0,107.338
16,0,1,16,109.514
16,0,1,32,109.888
16,0,1,64,110.912
16,0,1,128,112.075
16,0,1,256,119.508
16,0,1,512,121.898
16,0,1,1024,123.445
16,0,1,2048,126.794
16,0,1,4096,133.418
16,0,1,8192,146.453
16,0,1,16384,172.457
16,0,1,32768,222.485
16,0,2,16,110.176
16,0,2,32,109.951
16,0,2,64,111.051
16,0,2,128,112.63
16,0,2,256,119.294
16,0,2,512,121.782
16,0,2,1024,123.2
16,0,2,2048,125.856
16,0,2,4096,131.754
16,0,2,8192,144.244
16,0,2,16384,170.4
16,0,2,32768,220.895
16,0,4,16,111.275
16,0,4,32,111.456
16,0,4,64,112.778
16,0,4,128,113.353
16,0,4,256,122.506
16,0,4,512,123.636
16,0,4,1024,125.077
16,0,4,2048,129.781
16,0,4,4096,134.453
16,0,4,8192,147.509
16,0,4,16384,173.396
16,0,4,32768,225.749
16,0,8,16,113.386
16,0,8,32,113.237
16,0,8,64,113.749
16,0,8,128,115.199
16,0,8,256,123.904
16,0,8,512,125.428
16,0,8,1024,128.16
16,0,8,2048,131.51
16,0,8,4096,139.445
16,0,8,8192,154.43
