tokens,activated_experts,time_us
1,8,293.033
2,8,294.878
2,16,543.208
4,8,296.597
4,16,542.375
4,32,1001.26
8,8,298.976
8,16,541.438
8,32,994.47
8,64,1890.4
16,8,309.108
16,16,551.912
16,32,1005
16,64,1888.63
16,128,3652.11
32,8,399.113
32,16,568.765
32,32,1025.43
32,64,1901.94
32,128,3651.46
32,256,7117.77
64,8,396.82
64,16,572.103
64,32,1037.83
64,64,1931.4
64,128,3701.43
64,256,7176.4
128,8,424.712
128,16,611.207
128,32,1139.33
128,64,1994.56
128,128,3815.74
128,256,7358.19
256,8,685.277
256,16,771.569
256,32,1215.11
256,64,2066.36
256,128,3924.53
256,256,7453.26
512,8,1208.11
512,16,1217.06
512,32,1404.82
512,64,2073.91
512,128,3895.41
512,256,7507.18
1024,8,1642.6
1024,16,1658.89
1024,32,1735.03
1024,64,2238.83
1024,128,4107.01
1024,256,7822.76
2048,8,3238.22
2048,16,3243.39
2048,32,3280.55
2048,64,3497.87
2048,128,4436.71
2048,256,8159.68
