layer,sequences,time_us
lm_head,1,393.684
lm_head,2,393.971
lm_head,3,401.245
lm_head,4,399.123
lm_head,5,398.793
lm_head,6,396.99
lm_head,7,396.83
lm_head,8,397.48
lm_head,9,397.63
lm_head,10,386.995
lm_head,11,397.427
lm_head,12,407.337
lm_head,13,395.103
lm_head,14,397.565
lm_head,15,395.614
lm_head,16,399.091
lm_head,20,395.657
lm_head,24,398.121
lm_head,28,394.344
lm_head,32,400.403
lm_head,36,407.326
lm_head,40,397.961
lm_head,44,398.366
lm_head,48,409.139
lm_head,52,398.867
lm_head,56,397.107
lm_head,60,400.243
lm_head,64,399.731
lm_head,80,403.902
lm_head,96,395.134
lm_head,112,398.558
lm_head,128,407.464
lm_head,144,405.362
lm_head,160,401.993
lm_head,176,405.32
lm_head,192,409.598
lm_head,208,415.635
lm_head,224,425.694
lm_head,240,429.982
lm_head,256,458.035
sampler,1,15.104
sampler,2,15.0827
sampler,3,15.3173
sampler,4,15.3277
sampler,5,15.5943
sampler,6,15.6793
sampler,7,17.941
sampler,8,18.5167
sampler,9,18.8913
sampler,10,18.912
sampler,11,19.2313
sampler,12,19.2747
sampler,13,20.0423
sampler,14,22.016
sampler,15,23.072
sampler,16,23.1047
sampler,20,26.176
sampler,24,27.818
sampler,28,31.232
sampler,32,34.6343
sampler,36,37.5893
sampler,40,38.741
sampler,44,39.828
sampler,48,43.2107
sampler,52,49.6
sampler,56,52.939
sampler,60,55.4027
sampler,64,59.9567
sampler,80,72.992
sampler,96,87.9477
sampler,112,103.925
sampler,128,121.695
sampler,144,130.719
sampler,160,145.194
sampler,176,148.436
sampler,192,171.018
sampler,208,184.649
sampler,224,198.484
sampler,240,207.188
sampler,256,220.393
