tokens,activated_experts,time_us
1,4,86.102
2,4,87.4027
2,8,88.0327
4,4,100.852
4,8,101.153
4,16,101.206
8,4,101.321
8,8,101.024
8,16,101.451
8,32,101.366
16,4,101.088
16,8,101.227
16,16,101.185
16,32,100.928
16,64,101.206
32,4,102.133
32,8,102.421
32,16,102.218
32,32,102.198
32,64,102.272
32,128,102.197
64,4,141.355
64,8,141.196
64,16,141.387
64,32,141.119
64,64,141.462
64,128,141.482
128,4,216.17
128,8,216.255
128,16,216.085
128,32,217.236
128,64,216.702
128,128,216.767
256,4,383.347
256,8,383.636
256,16,383.358
256,32,383.592
256,64,384.822
256,128,383.709
512,4,481.429
512,8,480.938
512,16,481.333
512,32,481.323
512,64,481.204
512,128,481.237
1024,4,582.997
1024,8,582.184
1024,16,582.004
1024,32,582.837
1024,64,582.878
1024,128,582.473
2048,4,1102.99
2048,8,1103.18
2048,16,1103.27
2048,32,1105.96
2048,64,1103
2048,128,1103.42
