layer,sequences,time_us
lm_head,1,192.127
lm_head,2,192.415
lm_head,3,193.664
lm_head,4,193.279
lm_head,5,192.938
lm_head,6,193.813
lm_head,7,194.037
lm_head,8,193.898
lm_head,9,195.189
lm_head,10,194.538
lm_head,11,195.487
lm_head,12,194.933
lm_head,13,195.882
lm_head,14,195.573
lm_head,15,195.808
lm_head,16,195.701
lm_head,20,196.459
lm_head,24,197.568
lm_head,28,198.303
lm_head,32,198.389
lm_head,36,197.823
lm_head,40,197.588
lm_head,44,198.634
lm_head,48,198.901
lm_head,52,199.594
lm_head,56,199.812
lm_head,60,199.637
lm_head,64,200.341
lm_head,80,203.306
lm_head,96,205.589
lm_head,112,207.829
lm_head,128,210.282
lm_head,144,215.284
lm_head,160,215.445
lm_head,176,215.669
lm_head,192,219.316
lm_head,208,221.429
lm_head,224,228.192
lm_head,240,232
lm_head,256,233.365
sampler,1,27.7333
sampler,2,28
sampler,3,27.872
sampler,4,27.904
sampler,5,27.8937
sampler,6,28.2773
sampler,7,27.9147
sampler,8,27.9687
sampler,9,28.0537
sampler,10,28.1063
sampler,11,29.4187
sampler,12,30.1017
sampler,13,29.9513
sampler,14,29.972
sampler,15,30.101
sampler,16,30.1437
sampler,20,30.336
sampler,24,31.6693
sampler,28,32.5333
sampler,32,33.877
sampler,36,34.464
sampler,40,35.2527
sampler,44,36.352
sampler,48,37.7587
sampler,52,40.661
sampler,56,44.3423
sampler,60,46.8267
sampler,64,49.845
sampler,80,58.4743
sampler,96,65.5147
sampler,112,72.7143
sampler,128,79.008
sampler,144,86.5067
sampler,160,92.7357
sampler,176,99.2213
sampler,192,105.184
sampler,208,112.149
sampler,224,119.381
sampler,240,125.29
sampler,256,131.583
