layer,tokens,time_us
embedding,1,3.63733
embedding,2,3.89333
embedding,3,4.08533
embedding,4,4.32033
embedding,5,4.70433
embedding,6,4.97067
embedding,7,5.152
embedding,8,5.42933
embedding,9,5.824
embedding,10,6.08033
embedding,11,6.368
embedding,12,6.74133
embedding,13,6.95433
embedding,14,7.22133
embedding,15,7.403
embedding,16,7.531
embedding,20,3.36
embedding,24,3.17867
embedding,28,3.27467
embedding,32,3.07233
embedding,36,3.22133
embedding,40,3.13567
embedding,44,3.275
embedding,48,3.08233
embedding,52,3.29633
embedding,56,3.30633
embedding,60,3.30667
embedding,64,3.11467
embedding,80,3.24267
embedding,96,3.28567
embedding,112,3.27433
embedding,128,3.318
embedding,144,3.61633
embedding,160,3.63733
embedding,176,3.60533
embedding,192,3.627
embedding,208,3.68
embedding,224,3.75467
embedding,240,3.75467
embedding,256,3.755
embedding,272,4.11733
embedding,288,4.181
embedding,304,4.256
embedding,320,4.16
embedding,336,4.256
embedding,352,4.24567
embedding,368,4.34167
embedding,384,4.29833
embedding,400,4.768
embedding,416,4.78967
embedding,432,4.84267
embedding,448,4.864
embedding,464,4.864
embedding,480,4.94867
embedding,496,5.00267
embedding,512,5.056
embedding,528,5.10933
embedding,544,5.36533
embedding,560,5.22667
embedding,576,5.27933
embedding,592,5.36533
embedding,608,5.35433
embedding,624,5.408
embedding,640,5.376
embedding,656,5.408
embedding,672,5.40767
embedding,688,5.398
embedding,704,5.45067
embedding,720,5.46167
embedding,736,5.50367
embedding,752,5.55767
embedding,768,5.64233
embedding,784,5.568
embedding,800,5.68567
embedding,816,5.58933
embedding,832,5.57867
embedding,848,5.64267
embedding,864,5.65333
embedding,880,5.70633
embedding,896,5.77067
embedding,912,5.70733
embedding,928,5.792
embedding,944,5.813
embedding,960,5.81333
embedding,976,5.83467
embedding,992,5.89833
embedding,1008,5.93067
embedding,1024,5.984
embedding,1040,6.00533
embedding,1056,6.05833
embedding,1072,6.24
embedding,1088,6.22967
embedding,1104,6.34667
embedding,1120,6.43167
embedding,1136,6.368
embedding,1152,6.50633
embedding,1168,6.41133
embedding,1184,6.38967
embedding,1200,6.432
embedding,1216,6.38933
embedding,1232,6.49633
embedding,1248,6.47467
embedding,1264,6.57067
embedding,1280,6.51733
embedding,1296,6.45333
embedding,1312,6.56033
embedding,1328,6.50667
embedding,1344,6.592
embedding,1360,6.677
embedding,1376,6.624
embedding,1392,6.699
embedding,1408,6.69867
embedding,1424,6.70933
embedding,1440,6.74133
embedding,1456,6.76267
embedding,1472,6.78367
embedding,1488,6.84767
embedding,1504,6.86933
embedding,1520,6.87967
embedding,1536,6.848
embedding,1552,6.81567
embedding,1568,6.86933
